cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-0905-00-1177849-1-1,473,Total Referencial:,"45,500.00",Total Recepcionado:,"45,500.00",,
21-0046-00-1165538-2-1,474,Total Referencial:,"196.950,00",Total Adjudicado:,"190.890,00",Total Recepcionado:,"190.890,00"
20-0046-00-1039060-0-E,475,Total Adjudicado:,"65.100,00",Total Recepcionado:,"65.100,00",,
20-1532-00-1093453-1-1,476,Total Referencial:,"1.376.150,00",Total Recepcionado:,"1.340.532,00",,
21-0905-00-1177859-1-1,477,Total Referencial:,"45.500,00",Total Recepcionado:,"45.500,00",,
22-1508-00-1191464-1-1,478,Total Referencial:,"213.484,00",Total Adjudicado:,"103.983,80",Total Recepcionado:,
21-1201-00-1153724-1-1,479,Total Referencial:,"49.950,00",Total Recepcionado:,"49.950,00",,
20-1227-00-1082271-1-1,480,Total Referencial:,"42.500,00",Total Recepcionado:,"42.500,00",,
20-0901-00-1095074-1-1,481,Total Referencial:,"24.540,00",Total Recepcionado:,"24.540,00",,
21-1531-00-1109862-1-1,482,Total Referencial:,"162,100.00",Total Adjudicado:,"158,000.00",Total Recepcionado:,"158,000.00"
20-1302-00-1048818-0-E,483,Total Adjudicado:,"1.735.708,00",Total Recepcionado:,"1.735.708,00",,
21-0145-00-1108702-1-1,484,Total Referencial:,"48,500.00",Total Recepcionado:,"40,594.00",,
20-1501-00-1045382-0-E,485,Total Adjudicado:,"46.500,00",Total Recepcionado:,"46.500,00",,
20-1712-00-1041999-0-E,486,Total Adjudicado:,"168.000,00",,,,
21-1101-00-1184392-1-1,487,Total Referencial:,"28.805,98",Total Recepcionado:,"20.000,00",,
21-1301-00-1137497-1-1,488,Total Referencial:,"49,986.00",Total Recepcionado:,"30,547.00",,
20-1701-00-1085278-1-1,489,Total Referencial:,"2.022.860,00",Total Recepcionado:,"1.375.940,00",,
20-0902-01-1045747-0-E,490,Total Adjudicado:,"30.240,00",Total Recepcionado:,"30.240,00",,
20-0906-00-1043866-0-E,491,Total Adjudicado:,"621.566,00",,,,
21-1519-00-1117318-1-1,492,Total Referencial:,"21.800,00",Total Recepcionado:,"19.798,00",,
20-1315-00-1044130-0-E,493,Total Adjudicado:,"149.997,00",,,,
21-0417-06-1119813-1-2,494,Total Referencial:,"980,500.00",Total Adjudicado:,"240,500.00",Total Recepcionado:,"240,500.00"
20-1206-00-1038818-0-E,495,Total Adjudicado:,"20.796,48",Total Recepcionado:,"20.796,48",,
20-1205-00-1039574-0-E,496,Total Adjudicado:,"21.273,16",Total Recepcionado:,"21.273,16",,
20-0660-13-1039499-0-E,497,Total Adjudicado:,"46.700,00",Total Recepcionado:,"46.700,00",,
20-0903-00-1039596-0-E,498,Total Adjudicado:,"43.440,00",Total Recepcionado:,"43.440,00",,
20-1201-00-1090708-1-1,499,Total Referencial:,"49.846,00",,,,
20-1805-00-1037410-0-E,500,Total Adjudicado:,"98.700,00",Total Recepcionado:,"98.700,00",,
20-0901-02-1098101-1-1,501,Total Referencial:,"105.000,00",Total Recepcionado:,"105.000,00",,
20-1306-00-1074461-1-1,502,Total Referencial:,"525.428,75",Total Adjudicado:,"502.228,00",Total Recepcionado:,"502.228,00"
20-1101-00-1048958-0-E,503,Total Adjudicado:,"49.961,00",Total Recepcionado:,"49.961,00",,
20-1207-00-1092111-1-1,504,Total Referencial:,"340.000,00",Total Adjudicado:,"340.000,00",Total Recepcionado:,"340.000,00"
20-0417-01-1074755-1-1,505,Total Referencial:,"879,000.00",Total Recepcionado:,"226,800.00",,
20-1302-00-1051586-0-E,506,Total Adjudicado:,"45.000,00",Total Recepcionado:,"45.000,00",,
20-0901-02-1085107-1-1,507,Total Referencial:,"27.924,00",Total Recepcionado:,"24.425,00",,
20-1306-00-1040448-0-E,508,Total Adjudicado:,"126.350,00",Total Recepcionado:,"126.350,00",,
21-1701-00-1125966-2-1,509,Total Referencial:,"188.160,00",Total Adjudicado:,"188.160,00",Total Recepcionado:,"188.160,00"
21-0906-03-1140227-1-1,510,Total Referencial:,"50,000.00",Total Recepcionado:,"50,000.00",,
21-1306-00-1107507-1-1,511,Total Referencial:,"49.938,00",Total Recepcionado:,"32.699,50",,
20-1606-00-1048966-0-E,512,Total Adjudicado:,"22.000,00",Total Recepcionado:,"22.000,00",,
20-1344-00-1058644-2-1,513,Total Referencial:,"400.000,00",Total Adjudicado:,"398.808,00",Total Recepcionado:,"398.808,00"
20-0901-00-1083934-1-1,514,Total Referencial:,"602.784,00",Total Adjudicado:,"556.416,00",,
20-1734-00-1046281-0-E,515,Total Adjudicado:,"63.000,00",Total Recepcionado:,"63.000,00",,
20-1601-00-1064994-1-1,516,Total Referencial:,"158.000,00",Total Adjudicado:,"116.000,00",,
20-1228-00-1084138-1-1,517,Total Referencial:,"34.100,00",Total Recepcionado:,"34.100,00",,
20-0681-01-1091567-1-1,518,Total Referencial:,"28.100,00",Total Recepcionado:,"21.025,00",,
20-1805-00-1040662-0-E,519,Total Adjudicado:,"36.077,00",Total Recepcionado:,"36.077,00",,
20-0417-01-1049598-0-E,520,Total Adjudicado:,"102.000,00",Total Recepcionado:,"102.000,00",,
20-1539-00-1089149-1-1,521,Total Referencial:,"423.116,00",Total Adjudicado:,"26.738,00",Total Recepcionado:,"26.738,00"
20-0417-04-1047390-0-E,522,Total Adjudicado:,"200.000,00",,,,
20-1120-00-1040556-0-E,523,Total Adjudicado:,"217.140,00",Total Recepcionado:,"217.140,00",,
20-1304-00-1091978-1-1,524,Total Referencial:,"133.050,00",Total Adjudicado:,"133.050,00",Total Recepcionado:,"133.050,00"
20-1304-00-1091978-1-1,524,Total Referencial:,"654.228,00",Total Adjudicado:,"609.470,00",Total Recepcionado:,"609.470,00"
20-1304-00-1091978-1-1,524,Total Referencial:,"68.804,00",Total Adjudicado:,"68.804,00",Total Recepcionado:,"68.804,00"
20-1304-00-1091978-1-1,524,Total Referencial:,"66.290,00",Total Adjudicado:,"58.400,00",Total Recepcionado:,"58.400,00"
20-1304-00-1091978-1-1,524,Total Referencial:,"63.300,00",Total Adjudicado:,"63.300,00",Total Recepcionado:,"63.300,00"
20-1601-00-1093781-1-1,525,Total Referencial:,"49.250,00",Total Recepcionado:,"37.250,00",,
20-0418-07-1052487-0-E,526,Total Adjudicado:,"430.000,00",Total Recepcionado:,"430.000,00",,
20-0902-01-1044182-0-E,527,Total Adjudicado:,"49.993,60",Total Recepcionado:,"49.993,60",,
20-0906-03-1049077-0-E,528,Total Adjudicado:,"22.000,00",Total Recepcionado:,"22.000,00",,
21-1341-00-1119584-1-1,529,Total Referencial:,"106.200,00",Total Adjudicado:,"102.540,00",Total Recepcionado:,"102.540,00"
21-1341-00-1119584-1-1,529,Total Referencial:,"60.615,00",Total Adjudicado:,"55.870,00",Total Recepcionado:,"55.870,00"
20-1406-00-1037976-0-E,530,Total Adjudicado:,"48.950,00",Total Recepcionado:,"48.950,00",,
20-1201-00-1089744-1-1,531,Total Referencial:,"49.660,00",Total Recepcionado:,"49.660,00",,
20-1228-00-1086361-1-1,532,Total Referencial:,"47.768,00",Total Recepcionado:,"47.768,00",,
20-1205-00-1094719-1-1,533,Total Referencial:,"274.000,00",Total Recepcionado:,"140.000,00",,
21-0046-00-1174274-1-1,534,Total Referencial:,"89.999,00",Total Adjudicado:,"89.999,00",Total Recepcionado:,"89.999,00"
20-1734-00-1094570-1-1,535,Total Referencial:,"200.000,00",Total Adjudicado:,"196.800,00",Total Recepcionado:,"196.800,00"
21-0046-21-1138478-1-1,536,Total Referencial:,"46.950,00",Total Recepcionado:,"40.000,00",,
20-1805-00-1041262-0-E,537,Total Adjudicado:,"100.000,00",Total Recepcionado:,"100.000,00",,
21-1706-00-1148595-2-1,538,Total Referencial:,"45,000.00",Total Recepcionado:,"45,000.00",,
21-0906-03-1152317-1-1,539,Total Referencial:,"200.000,00",Total Adjudicado:,"200.000,00",Total Recepcionado:,"200.000,00"
21-1601-00-1123750-1-1,540,Total Referencial:,"50.000,00",Total Recepcionado:,"20.625,00",,
20-4601-00-1040645-0-E,541,Total Adjudicado:,"49.997,00",Total Recepcionado:,"49.997,00",,
20-0423-00-1049691-0-E,542,Total Adjudicado:,"47.600,00",Total Recepcionado:,"47.600,00",,
20-0148-00-1101305-1-1,543,Total Referencial:,"51,542.00",Total Recepcionado:,"49,897.00",,
21-0417-09-1107586-1-1,544,Total Referencial:,"118.500,00",Total Recepcionado:,"118.500,00",,
20-1280-00-1095739-1-1,545,Total Referencial:,"35.980,00",Total Recepcionado:,"35.980,00",,
20-0148-00-1101315-1-1,546,Total Referencial:,"375.000,00",Total Recepcionado:,"375.000,00",,
20-1501-00-1038985-0-E,547,Total Adjudicado:,"626.300,00",,,,
20-1328-00-1080548-1-1,548,Total Referencial:,"132,755.00",Total Adjudicado:,"33,475.00",Total Recepcionado:,"33,475.00"
20-1206-00-1052120-0-E,549,Total Adjudicado:,"272.028,00",Total Recepcionado:,"272.028,00",,
21-0422-00-1144209-1-1,550,Total Referencial:,"90.000,00",Total Adjudicado:,"48.400,00",Total Recepcionado:,"48.400,00"
21-0417-06-1184503-1-1,551,Total Referencial:,"49,855.00",Total Recepcionado:,"42,250.00",,
20-1255-00-1047598-0-E,552,Total Adjudicado:,"37.627,00",Total Recepcionado:,"37.627,00",,
21-1601-00-1149524-1-1,553,Total Referencial:,"49,998.00",Total Recepcionado:,"38,460.00",,
21-0417-07-1123834-2-1,554,Total Referencial:,"256.000,00",Total Adjudicado:,"255.200,00",Total Recepcionado:,"255.200,00"
22-1712-00-1194523-1-1,555,Total Referencial:,"49.995,00",Total Recepcionado:,"45.450,00",,
20-0908-00-1047150-0-E,556,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1201-00-1043111-0-E,557,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-0417-07-1078759-1-1,558,Total Referencial:,"62,300.00",Total Recepcionado:,"62,300.00",,
20-1805-00-1037462-0-E,559,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
21-1247-00-1123454-1-1,560,Total Referencial:,"23.700,00",Total Recepcionado:,"23.700,00",,
20-0417-07-1078621-1-1,561,Total Referencial:,"30,400.00",Total Recepcionado:,"30,400.00",,
21-1201-00-1182975-1-1,562,Total Referencial:,"59,991.20",Total Adjudicado:,"56,881.90",Total Recepcionado:,"103,671.60"
20-1531-00-1077241-1-1,563,Total Referencial:,"528,990.00",Total Adjudicado:,"501,380.00",Total Recepcionado:,"501,380.00"
20-0046-00-1092680-1-1,564,Total Referencial:,"42,000.00",Total Recepcionado:,"29,950.00",,
22-0203-00-1192871-1-1,565,Total Referencial:,"14.365,00",,,,
22-0203-00-1192871-1-1,565,Total Referencial:,"1.760,00",,,,
21-1712-00-1134663-1-1,566,Total Referencial:,"28,800.00",,,,
20-0342-00-1048145-0-E,567,Total Adjudicado:,"22.950,00",Total Recepcionado:,"22.950,00",,
20-1306-00-1083092-1-2,568,Total Referencial:,"3.541.666,80",Total Recepcionado:,"3.267.536,00",,
21-0417-06-1156531-1-1,569,Total Referencial:,"42.000,00",Total Recepcionado:,"32.000,00",,
20-0418-03-1097530-1-1,570,Total Referencial:,"200.000,00",Total Recepcionado:,"200.000,00",,
20-1734-00-1094192-1-1,571,Total Referencial:,"200.000,00",Total Adjudicado:,"199.872,00",Total Recepcionado:,"199.872,00"
20-1274-00-1045128-0-E,572,Total Adjudicado:,"25.778,00",Total Recepcionado:,"25.778,00",,
21-0901-02-1144934-1-1,573,Total Referencial:,"32.000,00",Total Recepcionado:,"32.000,00",,
20-1315-00-1040635-0-E,574,Total Adjudicado:,"47.200,00",Total Recepcionado:,"47.200,00",,
20-1310-00-1039773-0-E,575,Total Adjudicado:,"49.990,00",Total Recepcionado:,"49.990,00",,
21-0046-28-1118635-1-1,576,Total Referencial:,"36,550.00",Total Recepcionado:,"30,490.00",,
20-1325-00-1086014-1-1,577,Total Referencial:,"315.725,90",Total Recepcionado:,"315.725,90",,
20-0901-02-1049645-2-1,578,Total Referencial:,"180,000.00",Total Adjudicado:,"180,000.00",Total Recepcionado:,"180,000.00"
21-0901-00-1156142-1-1,579,Total Referencial:,"23.940,00",Total Recepcionado:,"23.142,00",,
20-1811-00-1089678-1-1,580,Total Referencial:,"610.700,00",Total Adjudicado:,"449.673,00",Total Recepcionado:,"449.673,00"
20-0901-00-1067835-1-1,581,Total Referencial:,"732.450,00",Total Adjudicado:,"640.775,00",Total Recepcionado:,"640.775,00"
20-0417-01-1050864-0-E,582,Total Adjudicado:,"33.000,00",Total Recepcionado:,"33.000,00",,
20-1705-00-1064566-1-1,583,Total Referencial:,"140.000,00",Total Adjudicado:,"125.000,00",Total Recepcionado:,"125.000,00"
20-0147-00-1082733-1-1,584,Total Referencial:,"988.836,95",Total Adjudicado:,"986.776,39",Total Recepcionado:,"986.776,39"
20-0904-00-1041312-0-E,585,Total Adjudicado:,"24.800,00",Total Recepcionado:,"24.800,00",,
21-1302-00-1175155-1-1,586,Total Referencial:,"135.250,00",Total Adjudicado:,"121.519,80",Total Recepcionado:,"121.519,80"
20-1306-00-1050355-0-E,587,Total Adjudicado:,"47.135,00",Total Recepcionado:,"47.135,00",,
20-1801-00-1049637-0-E,588,Total Adjudicado:,"373.750,00",Total Recepcionado:,"373.750,00",,
21-0025-00-1178927-1-1,589,Total Referencial:,"50,000.00",Total Recepcionado:,"50,000.00",,
21-0670-00-1112928-1-1,590,Total Referencial:,"35.765,00",Total Recepcionado:,"26.293,00",,
21-1505-00-1154635-1-1,591,Total Referencial:,"3,600.00",Total Adjudicado:,"124,800.00",Total Recepcionado:,"124,800.00"
21-0046-31-1128505-1-1,592,Total Referencial:,"50.000,00",Total Recepcionado:,"48.000,00",,
21-1409-00-1178944-1-1,593,Total Referencial:,"36.574,00",Total Recepcionado:,"29.497,00",,
20-0015-01-1043210-0-E,594,Total Adjudicado:,"175.000,00",Total Recepcionado:,"175.000,00",,
20-1801-00-1041850-0-E,595,Total Adjudicado:,"51.255,00",Total Recepcionado:,"51.255,00",,
20-1803-00-1041199-0-E,596,Total Adjudicado:,"554.110,00",Total Recepcionado:,"554.110,00",,
20-1401-00-1048694-0-E,597,Total Adjudicado:,"46.010,00",Total Recepcionado:,"46.010,00",,
21-0906-03-1140218-1-1,598,Total Referencial:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1734-00-1094176-1-1,599,Total Referencial:,"200,000.00",Total Adjudicado:,"196,800.00",Total Recepcionado:,"196,800.00"
20-0902-21-1081660-1-1,600,Total Referencial:,"20.964,52",Total Recepcionado:,"20.964,52",,
20-0903-00-1072659-1-1,601,Total Referencial:,"270.000,00",Total Adjudicado:,"260.000,00",Total Recepcionado:,"260.000,00"
20-0908-00-1047630-0-E,602,Total Adjudicado:,"120.000,00",,,,
20-0417-05-1085274-1-1,603,Total Referencial:,"49.950,00",Total Recepcionado:,"25.515,00",,
20-0206-00-1092655-1-1,604,Total Referencial:,"40,780.00",Total Recepcionado:,"37,960.00",,
20-0035-01-1040591-0-E,605,Total Adjudicado:,"43.560,00",Total Recepcionado:,"43.560,00",,
20-1315-00-1040476-0-E,606,Total Adjudicado:,"27.500,00",Total Recepcionado:,"27.500,00",,
21-0417-09-1107327-1-1,607,Total Referencial:,"62,050.00",Total Adjudicado:,"45,170.00",Total Recepcionado:,"45,170.00"
20-1207-00-1079941-1-1,608,Total Referencial:,"649,999.00",Total Adjudicado:,"630,248.00",Total Recepcionado:,"630,248.00"
20-1301-00-1044839-0-E,609,Total Adjudicado:,"22.760,00",,,,
20-1342-00-1052725-0-E,610,Total Adjudicado:,"25.200,00",,,,
20-1342-00-1049493-0-E,611,Total Adjudicado:,"23.464,00",Total Recepcionado:,"23.464,00",,
20-1434-00-1100683-1-1,612,Total Referencial:,"42,000.00",Total Recepcionado:,"41,700.00",,
20-0903-02-1041301-0-E,613,Total Adjudicado:,"2.999.974,25",,,,
21-1307-00-1146878-1-1,614,Total Referencial:,"120.000,00",Total Adjudicado:,"101.010,00",Total Recepcionado:,"101.010,00"
21-1412-00-1124552-1-1,615,Total Referencial:,"45.110,00",Total Recepcionado:,"26.922,00",,
21-1501-00-1137482-1-1,616,Total Referencial:,"49.640,00",Total Recepcionado:,"25.550,00",,
20-1304-00-1050953-0-E,617,Total Adjudicado:,"81,000.00",Total Recepcionado:,"81,000.00",,
20-1315-00-1039769-0-E,618,Total Adjudicado:,"24.500,00",Total Recepcionado:,"24.500,00",,
20-1605-00-1042981-0-E,619,Total Adjudicado:,"51.352,00",Total Recepcionado:,"51.352,00",,
21-1310-00-1107618-1-1,620,Total Referencial:,"76.181,00",Total Recepcionado:,"73.914,90",,
21-0417-03-1153688-1-1,621,Total Referencial:,"38.400,00",Total Recepcionado:,"24.960,00",,
20-1201-00-1036263-0-E,622,Total Adjudicado:,"50,000.00",Total Recepcionado:,"50,000.00",,
20-0411-00-1090290-1-1,623,Total Referencial:,"44.710,00",Total Recepcionado:,"35.840,00",,
20-1801-00-1085827-1-1,624,Total Referencial:,"56.100,00",Total Recepcionado:,"54.000,00",,
21-1324-00-1181257-1-1,625,Total Referencial:,,,,,
21-1324-00-1181257-1-1,625,Total Recepcionado:,,,,,
21-1706-00-1150531-1-1,626,Total Referencial:,"145,898.28",Total Recepcionado:,"81,537.00",,
20-0906-03-1040726-0-E,627,Total Adjudicado:,"40.000,00",Total Recepcionado:,"40.000,00",,
20-1801-00-1040664-0-E,628,Total Adjudicado:,"196.300,00",Total Recepcionado:,"196.300,00",,
20-0902-01-1046764-0-E,629,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-0902-00-1042169-0-E,630,Total Adjudicado:,"2.103.492,20",Total Recepcionado:,"2.103.492,20",,
20-1801-00-1090589-1-1,631,Total Referencial:,"105.650,00",Total Recepcionado:,"105.335,00",,
20-1262-00-1090068-1-1,632,Total Referencial:,"342.824,00",Total Adjudicado:,"342.000,00",Total Recepcionado:,"342.000,00"
20-4601-03-1042164-0-E,633,Total Adjudicado:,"49.499,00",Total Recepcionado:,"49.499,00",,
20-1801-00-1085845-1-1,634,Total Referencial:,"71.400,00",Total Recepcionado:,"35.689,80",,
21-0905-00-1183120-1-1,635,Total Referencial:,"45.500,00",Total Recepcionado:,"45.500,00",,
20-1739-00-1089001-1-2,636,Total Referencial:,"345.388,00",Total Recepcionado:,"324.488,00",,
20-0902-44-1046068-1-1,637,Total Referencial:,"114.000,00",Total Adjudicado:,"114.000,00",,
20-0417-06-1094715-1-1,638,Total Referencial:,"45,000.00",Total Recepcionado:,"36,000.00",,
20-0902-40-1045866-1-1,639,Total Referencial:,"385.000,00",Total Adjudicado:,"313.500,00",Total Recepcionado:,"313.500,00"
20-1432-00-1098297-1-1,640,Total Referencial:,"23,361.00",Total Recepcionado:,"23,361.00",,
20-0908-36-1049447-0-E,641,Total Adjudicado:,"43.120,00",Total Recepcionado:,"43.120,00",,
20-1305-00-1098038-1-1,642,Total Referencial:,"518,010.00",,,,
20-1312-00-1092390-1-1,643,Total Referencial:,"945.599,85",Total Recepcionado:,"652.430,39",,
20-0417-09-1076008-1-1,644,Total Referencial:,"76.136,68",Total Adjudicado:,"60.912,12",Total Recepcionado:,"60.912,12"
20-0138-00-1062014-2-1,645,Total Referencial:,"308.040,00",Total Adjudicado:,"308.040,00",Total Recepcionado:,"308.040,00"
20-0902-01-1052116-0-E,646,Total Adjudicado:,"49.950,00",Total Recepcionado:,"49.950,00",,
21-0138-00-1155207-1-1,647,Total Referencial:,"326.139,00",Total Adjudicado:,"324.500,00",Total Recepcionado:,"324.500,00"
20-0908-36-1049457-0-E,648,Total Adjudicado:,"39.159,26",Total Recepcionado:,"39.159,26",,
21-1801-00-1129860-1-1,649,Total Referencial:,"49.999,50",Total Recepcionado:,"49.999,50",,
20-0411-00-1093396-1-1,650,Total Referencial:,"33.000,00",Total Recepcionado:,"33.000,00",,
20-0906-03-1038141-0-E,651,Total Adjudicado:,"44,268.00",Total Recepcionado:,"44,268.00",,
20-1113-00-1095071-1-1,652,Total Referencial:,"49,990.00",Total Recepcionado:,"49,990.00",,
21-0901-02-1170907-1-1,653,Total Referencial:,"34.020,00",Total Recepcionado:,"23.058,00",,
20-0411-00-1080395-1-1,654,Total Referencial:,"148.500,00",Total Recepcionado:,"114.675,00",,
20-1604-00-1093201-1-1,655,Total Referencial:,"49.960,00",Total Recepcionado:,"49.960,00",,
20-1336-00-1039179-0-E,656,Total Adjudicado:,"48.000,00",Total Recepcionado:,"48.000,00",,
20-0046-30-1053022-1-1,657,Total Referencial:,"165,000.00",Total Adjudicado:,"150,000.00",Total Recepcionado:,"150,000.00"
21-0417-09-1142442-2-1,658,Total Referencial:,"75,000.00",Total Adjudicado:,"74,989.50",Total Recepcionado:,"74,989.50"
20-1324-00-1045895-0-E,659,Total Adjudicado:,"23.000,00",Total Recepcionado:,"23.000,00",,
20-1720-00-1063331-2-1,660,Total Referencial:,"73.500,00",Total Adjudicado:,"71.588,61",,
20-1720-00-1063331-2-1,660,Total Referencial:,"70.492,80",Total Adjudicado:,"70.242,80",,
20-1720-00-1063331-2-1,660,Total Referencial:,"45.000,00",Total Adjudicado:,"44.500,00",,
20-1720-00-1063331-2-1,660,Total Referencial:,"95.350,00",Total Adjudicado:,"94.915,00",,
20-0417-09-1046756-0-E,661,Total Adjudicado:,"49.980,00",Total Recepcionado:,"49.980,00",,
20-0417-01-1048555-0-E,662,Total Adjudicado:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1734-00-1046430-0-E,663,Total Adjudicado:,"30.000,00",Total Recepcionado:,"30.000,00",,
20-0660-12-1051697-0-E,664,Total Adjudicado:,"10.573,50",Total Recepcionado:,"10.573,50",,
20-0417-07-1078116-2-1,665,Total Referencial:,"97.500,00",Total Adjudicado:,"48.000,00",Total Recepcionado:,"48.000,00"
20-0422-00-1055916-1-1,666,Total Referencial:,"200,000.00",Total Adjudicado:,"42,550.00",Total Recepcionado:,"42,550.00"
20-0249-00-1037836-0-E,667,Total Adjudicado:,"36.000,00",Total Recepcionado:,"36.000,00",,
20-4601-00-1047422-0-E,668,Total Adjudicado:,"49.950,00",Total Recepcionado:,"49.950,00",,
21-0046-28-1114271-1-1,669,Total Referencial:,"913.741,20",Total Adjudicado:,"299.969,80",Total Recepcionado:,"333.819,80"
21-0905-00-1164404-1-1,670,Total Referencial:,"49,440.00",Total Recepcionado:,"49,440.00",,
21-0417-01-1107706-1-1,671,Total Referencial:,"32,500.00",Total Recepcionado:,"27,500.00",,
20-1801-00-1088790-1-1,672,Total Referencial:,"49.967,40",Total Recepcionado:,"48.396,00",,
20-1201-00-1038983-0-E,673,Total Adjudicado:,"24.310,00",,,,
21-0417-03-1119794-2-1,674,Total Referencial:,"650.000,00",Total Adjudicado:,"340.000,00",Total Recepcionado:,"340.000,00"
20-1734-00-1046499-0-E,675,Total Adjudicado:,"35.000,00",Total Recepcionado:,"35.000,00",,
21-1346-00-1113450-1-1,676,Total Referencial:,"29,422.00",Total Recepcionado:,"23,867.50",,
20-1423-00-1067905-1-3,677,Total Referencial:,"186,195.51",Total Adjudicado:,"185,322.39",Total Recepcionado:,"185,322.39"
20-1801-00-1041822-0-E,678,Total Adjudicado:,"98.745,00",Total Recepcionado:,"98.745,00",,
20-1805-00-1052605-0-E,679,Total Adjudicado:,"44.400,00",Total Recepcionado:,"44.400,00",,
20-1301-00-1050046-0-E,680,Total Adjudicado:,"103.280,00",,,,
21-0423-00-1131722-1-1,681,Total Referencial:,"48.000,00",Total Recepcionado:,"48.000,00",,
21-0138-00-1111157-1-1,682,Total Referencial:,"228.846,00",Total Adjudicado:,"228.846,00",Total Recepcionado:,"224.842,10"
20-1501-00-1099374-1-1,683,Total Referencial:,"119.890,00",Total Recepcionado:,"119.458,00",,
20-0903-00-1030531-2-1,684,Total Referencial:,"179.640,00",Total Adjudicado:,"156.643,80",Total Recepcionado:,"156.643,80"
20-1302-00-1036469-0-E,685,Total Adjudicado:,"25.600,00",Total Recepcionado:,"25.600,00",,
20-1260-00-1044138-0-E,686,Total Adjudicado:,"888.950,00",Total Recepcionado:,"888.950,00",,
20-1201-00-1088213-1-1,687,Total Referencial:,"49.954,80",Total Recepcionado:,"49.954,80",,
20-1201-00-1043248-0-E,688,Total Adjudicado:,"273.000,00",Total Recepcionado:,"273.000,00",,
20-1305-00-1051966-0-E,689,Total Adjudicado:,"600.000,00",,,,
21-0418-03-1152683-1-1,690,Total Referencial:,"39,919.80",Total Recepcionado:,"34,304.00",,
20-1604-00-1039058-0-E,691,Total Adjudicado:,"1.206.203,60",Total Recepcionado:,"1.206.203,60",,
21-1517-00-1171331-1-1,692,Total Referencial:,"25.795,00",Total Recepcionado:,"21.835,00",,
20-1604-00-1042004-0-E,693,Total Adjudicado:,"448.443,75",,,,
21-0417-06-1120423-1-1,694,Total Referencial:,"105,478.00",Total Adjudicado:,"84,598.00",Total Recepcionado:,"84,598.00"
20-0046-00-1040185-0-E,695,Total Adjudicado:,"278.850,00",Total Recepcionado:,"278.850,00",,
20-1312-00-1038592-0-E,696,Total Adjudicado:,"49.940,00",Total Recepcionado:,"49.940,00",,
21-1101-00-1173592-1-1,697,Total Referencial:,"50.000,00",Total Recepcionado:,"50.000,00",,
20-1608-00-1082398-1-1,698,Total Referencial:,"372,000.00",Total Adjudicado:,"349,290.00",Total Recepcionado:,"349,290.00"
20-0903-00-1043531-0-E,699,Total Adjudicado:,"55.000,00",,,,
21-1312-00-1151055-1-1,700,Total Referencial:,"423,872.28",Total Adjudicado:,"413,446.46",Total Recepcionado:,"445,930.79"
20-0901-02-1098588-1-1,701,Total Referencial:,"66,780.00",Total Recepcionado:,"66,780.00",,
21-0046-00-1124930-1-1,702,Total Referencial:,"22,470.00",Total Recepcionado:,"9,362.50",,
21-0901-00-1156120-1-2,703,Total Referencial:,"493.552,00",Total Adjudicado:,"358.507,00",Total Recepcionado:,"358.507,00"
21-0417-06-1120415-1-1,704,Total Referencial:,"487,635.00",Total Adjudicado:,"369,860.00",Total Recepcionado:,"369,860.00"
20-1305-00-1040976-0-E,705,Total Adjudicado:,"48.000,00",Total Recepcionado:,"48.000,00",,
20-0418-07-1048405-0-E,706,Total Adjudicado:,"469.000,00",Total Recepcionado:,"469.000,00",,
20-1115-00-1094017-1-1,707,Total Referencial:,"49,973.92",Total Recepcionado:,"49,973.92",,
21-1701-00-1187366-1-1,708,Total Referencial:,"297,028.60",Total Adjudicado:,"107,663.00",Total Recepcionado:,"107,663.00"
20-1205-00-1092571-1-1,709,Total Referencial:,"28.000,00",Total Recepcionado:,"28.000,00",,
20-1701-00-1044207-0-E,710,Total Adjudicado:,"77.440,00",Total Recepcionado:,"77.440,00",,
21-1507-00-1151524-1-1,711,Total Referencial:,"78,629.55",Total Adjudicado:,"18,901.20",Total Recepcionado:,"18,901.20"
20-1432-00-1089675-1-1,712,Total Referencial:,"39.993,00",Total Recepcionado:,"39.993,00",,
20-0591-00-1048623-0-E,713,Total Adjudicado:,"26.000,00",Total Recepcionado:,"26.000,00",,
21-0139-00-1111485-1-1,714,Total Referencial:,"28.814,00",Total Recepcionado:,"28.814,00",,
21-0907-00-1118468-1-1,715,Total Referencial:,"205,000.00",Total Adjudicado:,"192,290.00",Total Recepcionado:,"192,290.00"
20-0148-00-1101274-1-1,716,Total Referencial:,"1.120.000,00",Total Recepcionado:,"910.817,25",,
20-1604-00-1048825-0-E,717,Total Adjudicado:,"25.030,00",Total Recepcionado:,"25.030,00",,
20-1301-00-1088038-1-1,718,Total Referencial:,"338.000,00",Total Recepcionado:,"337.190,00",,
21-0903-00-1169980-1-1,719,Total Referencial:,"169.055,00",Total Adjudicado:,"122.264,00",Total Recepcionado:,"122.264,00"
