cuce,list_n,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma
20-1312-00-1097682-1-1,1057,57,5121000,34200,Cartucho de electrolitos i ? Smart 30 PRO CARTRIDGE Cartucho de 50 determinaciones,cartucho,"2,00","1.850,00","3.700,00",,,,"2,00","1.850,00","3.700,00",Contratado,
20-1312-00-1097682-1-1,1057,58,5121000,34200,DIFF M-52 LISANTE PROCEDENCIA CHINA FRASCO X 500 ml,Frasco,"13,00","695,00","9.035,00",,,,"13,00","695,00","9.035,00",Contratado,
20-1312-00-1097682-1-1,1057,59,5121000,34200,HAI CHAGAS KIT x 96 determinaciones Prueba de hemaglutinación indirecta para la detección de anticuerpos contra el Tripanosoma cruzi. Antígeno 12 ml de suspen,kit,"26,00","580,00","15.080,00",,,,"26,00","580,00","15.080,00",Contratado,
20-1312-00-1097682-1-1,1057,60,5121000,34200,Creatin Kinasa MB R1 2×35 mL + R2 1×18 mL,kit,"1,00","4.560,00","4.560,00",,,,,,,Declarado Desierto por,
20-1312-00-1097682-1-1,1057,61,5121000,34200,Calibrador de Proteínas Específicas 5×1 mL LECTURA CON CODIGO DE BARRAS PARA 430,kit,"1,00","4.700,00","4.700,00",,,,,,,Declarado Desierto por Descalificación,
20-1810-00-1092612-1-1,1058,1,8011000,25900,"SERVICIOS MANUALES PARA EL PROYECTO: REACTIVACION ECONOMICA A FAMILIAS AFECTADAS POR EL CORONAVIRUS(CUIDADO, LIMPIEZA Y MANTENIMIENTO DE AREAS VERDES)",GLOBAL,"1,00","49.900,00","49.900,00",,,,"1,00","49.900,00","49.900,00",Contratado,Cronograma 0
20-1119-00-1094837-1-1,1059,1,4229000,43400,ELECTROBISTURÍ,Pza.,"1,00","149.000,00","149.000,00",REY MEDICA S.R.L.,"137.000,00","137.000,00","1,00","137.000,00","137.000,00",Contratado,Cronograma 0
20-1119-00-1094837-1-1,1059,2,4218000,43400,MONITOR MULTIPARAMETRICO CON CAPNOGRAFO,Pza.,"1,00","47.000,00","47.000,00",REY MEDICA S.R.L.,"45.000,00","45.000,00","1,00","45.000,00","45.000,00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,1,5121000,34200,Paracetamol (Acetaminofeno) 500mg,Comprimi do,"20,000.0",0.21,"4,200.00",,,,"20,000.00",0.14,"2,800.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,2,5121000,34200,Metildopa (Alfametildopa) 500mg,Comprimi do,200.00,1.9,380.00,,,,,,,Declarado Desierto por Descalificación,Cronograma 0
21-1801-00-1116551-1-1,1060,3,5121000,34200,Bencilpenicilina benzatínica 2.400.000UI,Inyectable,50.00,11.22,561.00,,,,50.00,7.0,350.00,Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,4,5121000,34200,Clorfenamina (Clorfeniramina)10mg,Inyectable,100.00,2.05,205.00,,,,100.00,1.5,150.00,Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,5,5121000,34200,Metamizol (Dipirona) 1g,Inyectable,"3,500.00",1.82,"6,370.00",,,,"3,500.00",1.0,"3,500.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,6,5121000,34200,Multivitaminas según concentración estándar,Comprimi do,"5,000.00",0.47,"2,350.00",,,,"5,000.00",0.25,"1,250.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,7,5121000,34200,Alcohol etílico (Etanol) 70 a 95%,Solución 1 l,200.00,22.68,"4,536.00",,,,200.00,20.95,"4,190.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,8,5121000,34200,Complejo  B (B1 + B6 + B12) según concentración estándar,Inyectable,"2,000.00",3.1,"6,200.00",,,,"2,000.00",1.2,"2,400.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,9,5121000,34200,Dextrometorfano bromhidrato 10mg/5ml,Jarabe,500.00,9.59,"4,795.00",,,,500.00,6.0,"3,000.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,10,5121000,34200,Diclofenaco Sódico 75mg,Inyectable,800.00,1.45,"1,160.00",,,,800.00,0.85,680.00,Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,11,5121000,34200,Furosemida 10mg/ml,Inyectable,900.00,1.8,"1,620.00",,,,900.00,1.3,"1,170.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,12,5121000,34200,Cianocobalamina (Vitamina B12) 1mg/ml,Inyectable,100.00,4.89,489.00,,,,,,,Declarado Desierto por Descalificación,Cronograma 0
21-1801-00-1116551-1-1,1060,13,5121000,34200,Ketorolaco 30mg/ml,Inyectable,"1,000.00",6.3,"6,300.00",,,,"1,000.00",2.2,"2,200.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,14,5121000,34200,Levofloxacina 500mg,comprimid o,"1,100.00",2.82,"3,102.00",,,,"1,100.00",1.5,"1,650.00",Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,15,5121000,34200,Prednisona 20mg,Comprimi do ranurado,500.00,0.92,460.00,,,,500.00,0.85,425.00,Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,16,5121000,34200,Cotrimoxazol (Sulfametoxazol + Trimetoprima)400/80mg,Comprimi do,500.00,0.42,210.00,,,,500.00,0.28,140.00,Contratado,Cronograma 0
21-1801-00-1116551-1-1,1060,17,5121000,34200,Amoxicilina 500mg,Comprimi do,"1,000.00",0.58,580.00,Unnamed: 0,Unnamed: 1,Unnamed: 2,"1,000.00.1",0.45,450.00,Contratado,
21-1801-00-1116551-1-1,1060,18,5121000,34200,Amoxicilina + inhibidor betalactamasa 500mg + según disponobilidad,Comprimi do,"1,000.00",6.36,"6,360.00",,,,"1,000.00",4.99,"4,990.00",Contratado,
21-1801-00-1116551-1-1,1060,19,5121000,34200,Antigripal (Paracetamol + Antihistamínico + Vasoconstrictor con o sin Cafeína) según disponobilidad,Comprimi do,"18,000.0",0.54,"9,720.00",,,,"18,000.00",0.49,"8,820.00",Contratado,
21-1801-00-1116551-1-1,1060,20,5121000,34200,Dicloxacilina sódica 500mg,Cápsula,"1,000.00",1.24,"1,240.00",,,,"1,000.00",0.9,900.00,Contratado,
21-1801-00-1116551-1-1,1060,21,5121000,34200,Butilbromuro de Hioscina (Butilescopolamina) 10mg,Comprimi do,"1,000.00",1.55,"1,550.00",,,,"1,000.00",1.4,"1,400.00",Contratado,
21-1801-00-1116551-1-1,1060,22,5121000,34200,Cefixima 400mg,Comprimi do o Cápsula,300.00,7.38,"2,214.00",,,,300.00,2.8,840.00,Contratado,
21-1801-00-1116551-1-1,1060,23,5121000,34200,Dexametasona 4mg/ml,Inyectable,"2,800.00",2.05,"5,740.00",,,,"2,800.00",0.9,"2,520.00",Contratado,
21-1801-00-1116551-1-1,1060,24,5121000,34200,Cefradina 500mg,Cápsula o Comprimi do,500.00,2.23,"1,115.00",,,,500.00,1.22,610.00,Contratado,
21-1801-00-1116551-1-1,1060,25,5121000,34200,Colecalciferol (Vitamina D3) 025mcg,Comprimi do,500.00,3.42,"1,710.00",,,,,,,Declarado Desierto por Descalificación,
21-1801-00-1116551-1-1,1060,26,5121000,34200,Diclofenaco Sódico 50mg,Comprimi do,"5,000.00",0.18,900.00,,,,"5,000.00",0.1,500.00,Contratado,
21-1801-00-1116551-1-1,1060,27,5121000,34200,Ergotamina tartrato + Cafeína 1mg+100mg,Comprimi do,499.00,2.6,"1,297.40",,,,499.00,2.4,"1,197.60",Contratado,
21-1801-00-1116551-1-1,1060,28,5121000,34200,Solución de glucosa 5% (1.000ml),Solución parenteral,100.00,13.44,"1,344.00",,,,,,,Declarado Desierto por Descalificación,
21-1801-00-1116551-1-1,1060,29,5121000,34200,Zinc (como sulfato) 20mg,Comprimi do,"1,000.00",0.73,730.00,,,,"1,000.00",0.5,500.00,Contratado,
21-1801-00-1116551-1-1,1060,30,5121000,34200,Complejo  B (B1 + B6 + B12) según concentración estándar,Comprimi do,"3,000.00",0.22,660.00,,,,"3,000.00",0.18,540.00,Contratado,
21-1801-00-1116551-1-1,1060,31,5121000,34200,Bencilpenicilina benzatínica 1.200.000UI,Inyectable,20.00,6.27,125.40,,,,20.00,4.5,90.00,Contratado,
21-1801-00-1116551-1-1,1060,32,5121000,34200,Omeprazol 20mg,Cápsula,"5,000.00",0.57,"2,850.00",,,,"5,000.00",0.35,"1,750.00",Contratado,
21-1801-00-1116551-1-1,1060,33,5121000,34200,Calcio + Vitamina D 500mg,Comprimi do o Cápsula,"1,000.00",0.62,620.00,,,,"1,000.00",0.58,580.00,Contratado,
21-1801-00-1116551-1-1,1060,34,5121000,34200,Ceftriaxona 1g,Inyectable,"1,000.00",10.27,"10,270.00",,,,"1,000.00",5.0,"5,000.00",Contratado,
21-1801-00-1116551-1-1,1060,35,5121000,34200,Ciprofloxacina 500mg,Comprimi do,"1,500.00",0.7,"1,050.00",,,,"1,500.00",0.55,825.00,Contratado,
21-1801-00-1116551-1-1,1060,36,5121000,34200,Solución ringer lactato 1.000ml,Solución parenteral,100.00,10.9,"1,090.00",,,,,,,Declarado Desierto por Descalificació,
21-1801-00-1116551-1-1,1060,37,5121000,34200,Ibuprofeno,Comprimi do,"1,000.00",0.31,310.00,,,,"1,000.00",0.28,280.00,Contratado,
21-1801-00-1116551-1-1,1060,38,5121000,34200,"Solución Fisiológica 0,9% (1.000ml)",Solución parenteral,200.00,10.71,"2,142.00",,,,,,,Declarado Desierto por Descalificación,
21-1801-00-1116551-1-1,1060,39,5121000,34200,Solución ringer normal 1.000ml,Solución parenteral,200.00,10.7,"2,140.00",,,,,,,Declarado Desierto por Descalificación,
21-1801-00-1116551-1-1,1060,40,5121000,34200,Ácido acetil salicílico 100mg,Comprimi do,"5,000.00",0.26,"1,300.00",,,,"5,000.00",0.25,"1,250.00",Contratado,
21-1801-00-1116551-1-1,1060,41,5121000,34200,Ácido Ascorbico (Vitamina C) 500mg/ml (2ml),Inyectable,"1,896.00",3.2,"6,067.20",,,,"1,896.00",2.29,"4,341.84",Contratado,
21-1801-00-1116551-1-1,1060,42,5121000,34200,Ácido acetil salicílico 500mg,Comprimi do,"5,500.00",0.32,"1,760.00",,,,,,,Declarado Desierto por Descalificación,
21-1801-00-1116551-1-1,1060,43,5121000,34200,Amoxicilina 500mg/5ml,frasco,100.00,12.72,"1,272.00",,,,100.00,10.0,"1,000.00",Contratado,
21-1801-00-1116551-1-1,1060,44,5121000,34200,"Carvedilol 12,5mg",Comprimi do,"2,000.00",2.12,"4,240.00",,,,"2,000.00",1.7,"3,400.00",Contratado,
21-1801-00-1116551-1-1,1060,45,5121000,34200,Butilbromuro de Hioscina (Butilescopolamina) 10mg,Inyectable,500.00,4.79,"2,395.00",,,,500.00,4.6,"2,300.00",Contratado,
21-1801-00-1116551-1-1,1060,46,5121000,34200,Clorfenamina (Clorfeniramina) 4mg,Comprimi do,"2,000.00",0.29,580.00,,,,"2,000.00",0.2,400.00,Contratado,
21-1801-00-1116551-1-1,1060,47,5121000,34200,Cefotaxima 1 gr,Inyectable,"1,000.00",7.35,"7,350.00",,,,"1,000.00",4.8,"4,800.00",Contratado,
21-1801-00-1116551-1-1,1060,48,5121000,34200,Domperidona,Comprimi do,4.00,0.5,2.00,,,,,,,Declarado Desierto por Descalificación,
21-1801-00-1116551-1-1,1060,49,5121000,34200,Azitromicina 500mg,Comprimi do,"1,500.00",5.56,"8,340.00",,,,"1,500.00",3.0,"4,500.00",Contratado,
20-0418-38-1045184-0-E,1061,1,4217000,34200,GUANTES DE LATEX PARA EXAMINACION AMBIDEXTRO (AMBIDIESTRO) (TALLA M),CAJA DE 50 UNIDADE S,"75,00",,,DIANSETH SRL,"75,00","5.625,00","75,00","75,00","5.625,00",Contratado,Cronograma
20-0418-38-1045184-0-E,1061,2,4217000,34200,"MASCARRILLAS MEDICAS EQUIPO DE PROTECCION RESPIRATORIA BARBIJO (No 95, FFP2 O SU EQUIVALENTE) SIN VALVULA. O K N 95 CON VáLVULA DE EXHALACIóN Y SELLO FACIAL, AJUSTE CóMODO, DISEñO PLEGABLE VERTICAL, C",PIEZA,"51,00",,,ORLANDO DANIEL CHUNGARA DELGADO,"30,00","1.530,00","51,00","30,00","1.530,00",Contratado,Cronograma
20-0418-38-1045184-0-E,1061,3,4217000,34200,"TRAJE PROTECTOR TIPO MAMELUCO LAVABLE TRAJE CON CAPUCHA, CREMALLERA FRONTAL Y ELáSTICOS EN MANILLAS, TOBILLOS Y CINTURA, TELA TASLAN NYLON ó TELA PRADA ENGOMADA (IMPERMEABLE, REUSABLE, LAVABLE, ROMPE",PIEZA,"100,00",,,TELMO FERNANDEZ CONDORI,"110,00","11.000,00","100,00","110,00","11.000,00",Contratado,Cronograma
20-0418-38-1045184-0-E,1061,4,4217000,34200,BATAS QUIRURGICAS,PIEZA,"50,00",,,TELMO FERNANDEZ,"110,00","5.500,00","50,00","110,00","5.500,00",Contratado,Cronograma
20-1129-00-1057755-2-1,1062,1,5022000,31150,Arroz Entero de Calidad (envasado de 1 @),Arroba,"2.030,00","61,00","123.830,00",BARRERA AMADOR GUIDO,"58,00","117.740,00","2.030,00","58,00","117.740,00",Contratado,Cronograma 0
20-1129-00-1057755-2-1,1062,2,5019000,31150,Sal (Bolsa de 1 Kg.),Kg.,"2.030,00","1,00","2.030,00",BARRERA AMADOR GUIDO,"1,00","2.030,00","2.030,00","1,00","2.030,00",Contratado,Cronograma 0
20-1129-00-1057755-2-1,1062,3,5015000,31150,Aceite (5 Litros),Bidon,"2.030,00","56,00","113.680,00",BARRERA AMADOR GUIDO,"55,00","111.650,00","2.030,00","55,00","111.650,00",Contratado,Cronograma 0
20-1129-00-1057755-2-1,1062,4,5016000,31150,Azúcar refinada (envasado de 1 @),Arroba,"2.030,00","53,00","107.590,00",BARRERA AMADOR GUIDO,"50,00","101.500,00","2.030,00","50,00","101.500,00",Contratado,Cronograma 0
20-1129-00-1057755-2-1,1062,5,5019000,31150,Fideo en Paquetes de 400 Gr.de formas variadas,Paquete,"1.015,00","58,00","58.870,00",BARRERA AMADOR GUIDO,"55,00","55.825,00","1.015,00","55,00","55.825,00",Contratado,Cronograma 0
20-1225-00-1098598-1-1,1063,1,4112000,43400,"PREVENCION, CONTROL Y ATENCION DEL CORONAVIRUS COVID - 19 (ADQ. DE EQUIPAMIENTO MEDICO PARA AMBULANCIA C.S. MOROCOLLO)",GLOBAL,"1,00","25.000,00","25.000,00",,,,"1,00","25.000,00","25.000,00",Contratado,Cronograma 0
20-1507-00-1051985-0-E,1064,1,5110000,34200,PREVENCIÓN CONTROL Y ATENCIÓN DEL CORONAVIRUS (ADQUISICIÓN DE EQUIPAMIENTO MEDICO LOTE No 3 ÍTEM 53),GLB,"10,00",,,COMERCIAL INDUSTRIAL AGROPECUARIA CIAGRO S.A.,"4.872,00","48.720,00","10,00","4.872,00","48.720,00",Contratado,Cronograma
20-1801-00-1047035-0-E,1065,1,5011000,31150,ALIMENTACION,RACION,"1,00",,,ROCA CORDOVA OSVALDO,"91.800,00","91.800,00","1,00","42.609,00","42.609,00",Contratado,Cronograma
20-1508-00-1044020-0-E,1066,1,5310000,39400,MAMELUCO DESCARTABLE (OVEROL),PZA,"200,00",,,LORA CAMARGO IVANNA JIMENA,"150,00","30.000,00","200,00","150,00","30.000,00",Contratado,Cronograma
20-1508-00-1044020-0-E,1066,2,4217000,39400,GAFAS DE PROTECCION CON SELLADORES,PZA,"150,00",,,LORA CAMARGO IVANNA JIMENA,"130,00","19.500,00","150,00","130,00","19.500,00",Contratado,Cronograma
20-1206-00-1041332-0-E,1067,1,5110000,34200,ITEM 002: GUANTES DE NITRILO MARCA CONFIT PROCEDENCIA MALASIA,CAJA,"100,00",,,MEDICAL ESENS S.R.L.,"80,00","8.000,00","100,00","80,00","8.000,00",Contratado,Cronograma
20-1206-00-1041332-0-E,1067,2,5110000,34200,ITEM 001: BARBIJO N95 MARCA 3M PROCEDENCIA USA,PIEZA,"100,00",,,MEDICAL ESENS S.R.L.,"60,00","6.000,00","100,00","60,00","6.000,00",Contratado,Cronograma
20-1206-00-1041332-0-E,1067,3,5110000,34200,ITEM 006: GUANTES DESECHABLES TALLA L MARCA ANBEED PROCEDENCIA IMPORTADO,CAJA,"50,00",,,KADILA PHARMACEUTICALS S.R.L.,"53,00","2.650,00","50,00","53,00","2.650,00",Contratado,Cronograma
20-1206-00-1041332-0-E,1067,4,5110000,34200,ITEM 004: BARBIJOS CAJA X 50 MARCA ANBEED PROCEDENCIA IMPORTANDO,CAJA,"100,00",,,KADILA PHARMACEUTICALS S.R.L.,"101,00","10.100,00","100,00","101,00","10.100,00",Contratado,Cronograma
20-1206-00-1041332-0-E,1067,5,5110000,34200,ITEM 005: GUANTES DESECHABLES TALLA M MARCA ANBEED PROCEDENCIA IMPORTADO,CAJA,"150,00",,,KADILA PHARMACEUTICALS S.R.L.,"45,00","6.750,00","150,00","45,00","6.750,00",Contratado,Cronograma
20-1206-00-1041332-0-E,1067,6,5110000,34200,ITEM 003: MASCARILLA CON TIRAS DESECHABLE MARCA RYG PROCEDENCIA PERU,CAJA,"38,00",,,MEDICAL ESENS S.R.L.,"100,00","3.800,00","38,00","100,00","3.800,00",Contratado,Cronograma
20-1205-00-1094153-1-1,1068,1,5611000,34600.0,CATRE METALICO,UNIDAD,10.0,"1,950.00","19,500.00",,,,,,,Resuelto,Cronograma 0
20-1205-00-1094153-1-1,1068,2,5611000,34600.0,ESCRITORIO METALICO,UNIDAD,159.0,"1,270.00","201,930.00",,,,,,,Resuelto,Cronograma 0
20-1205-00-1094153-1-1,1068,3,5611000,34600.0,VELADOR METALICO,UNIDAD,11.0,650.00,"7,150.00",,,,,,,Resuelto,Cronograma 0
20-1205-00-1094153-1-1,1068,4,5611000,34600.0,MESA DE MAYO,UNIDAD,100.0,600.00,"60,000.00",,,,,,,Resuelto,Cronograma 0
20-1205-00-1094153-1-1,1068,5,5611000,34600.0,GRADILLA METALICA,UNIDAD,100.0,380.00,"38,000.00",,,,,,,Resuelto,Cronograma 0
20-1205-00-1094153-1-1,1068,6,5611000,34600.0,BIOMBO METALICO,UNIDAD,100.0,820.00,"82,000.00",,,,,,,Resuelto,Cronograma 0
20-1205-00-1094153-1-1,1068,7,5611000,34600.0,PORTA SUEROS,UNIDAD,100.0,320.00,"32,000.00",,,,,,,Resuelto,Cronograma 0
21-1227-00-1113899-1-1,1069,1,4213000,33100,"BARBIJO TIPO KN95, CAPAS DE PROTECCION, CON DURACION APROX. DE 60 HORAS UTILES ALTA CAPACIDAD DE FILTRACION BACTERIANA, TRANSPIRABLE, NO ENTRETEGIDO CON REGISTRO FDA, REGISTRO CE, REGISTRO AGEMED",UNIDAD,"10,000.0",6.5,"65,000.00",,,,"10,000.00",6.5,"65,000.00",Contratado,Cronograma 0
20-0382-00-1038880-0-E,1070,1,4218000,43400,MONITOR MULTIPARAMETRICO,EQUIPO,"10,00",,,ORIENTE MARVI S.R.L.,"67.000,00","670.000,00",,,,Contratado,Cronograma
20-0382-00-1038880-0-E,1070,2,4218000,43400,"MONITOR MULTIPARAMETRICO 12""",EQUIPOS,"12,00",,,BIOTECNO LTDA.,"85.000,00","1.020.000,00",,,,Contratado,Cronograma
20-0423-00-1051578-0-E,1071,1,4229000,39400,BARBIJOS DESECHABLES,PIEZA,"14.500,0",,,MILCAR SRL,"3,40","49.300,00","14.500,00","3,40","49.300,00",Contratado,Cronograma
21-0423-00-1139841-1-1,1072,1,5113160,34200,Heparina - Heparina 5000 UI/ML,INYECTA BLE,"1,100.00",45.0,"49,500.00",,,,"1,100.00",45.0,"49,500.00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,1,4213211,33200,"Toallas de hospital - toallas medianas color blanco, celeste y azul de 40 cm x  50cm",pza,"20,00","54,00","1.080,00",,,,"20,00","50,00","1.000,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,2,4618160,33200,Botas de seguridad - botas de tela color verde tela kaki,pza,"20,00","30,00","600,00",,,,"20,00","20,00","400,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,3,5212151,33200,Cobertores - frazadas de plaza y media frisado de ambas caras,pza,"10,00","80,00","800,00",,,,"10,00","75,00","750,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,4,4214280,33200,Ropa o soporte vascular o de compresión - delantera de cuerina de 1 metro de largo y medio metro de ancho,pza,"10,00","70,00","700,00",,,,"10,00","65,00","650,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,5,4213210,33200,Mantas de hospital o edredones o edredones - envoltorio de tela doble de 50 cm x 50 cm de color verde o celeste tela kaki,pza,"12,00","40,00","480,00",,,,"12,00","35,00","420,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,6,4213150,33200,Pijamas para pacientes - pijamas adulto tallas G. XL color verde kaki,pza,"10,00","125,00","1.250,00",,,,"10,00","110,00","1.100,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,7,1116213,33200,Tela bordada - campos de mayo de 90 cm x 60 cm de color verde tela kaki,pza,"12,00","32,00","384,00",,,,"12,00","30,00","360,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,8,5212170,33200,Toallas de manos - toallas pequeñas de mano 40x30 cm,pza,"15,00","10,00","150,00",,,,"15,00","9,50","142,50",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,9,4213150,33200,"Batas de hospital - batas para pacientes tela kaki color celeste tallas G, XL",pza,"25,00","105,00","2.625,00",,,,"25,00","90,00","2.250,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,10,4213210,33200,Mantas de hospital o edredones o edredones - hule cuerina ancho 85 cm. de largo1.50 m.,pza,"45,00","68,00","3.060,00",,,,"45,00","65,00","2.925,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,11,4213211,33200,Toallas de hospital - toallas gran color blanco rosado y celeste,pza,"30,00","65,00","1.950,00",,,,"30,00","60,00","1.800,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,12,4213210,33200,Almohadas de hospital - almohadas ancho 45 cm. largo 75 cm. color celeste,pza,"10,00","50,00","500,00",,,,"10,00","45,00","450,00",Contratado,Cronograma 0
21-1324-00-1167432-1-1,1073,13,4213210,33200,Mantas de hospital o edredones o edredones - envoltorio de tela doble de 100 cm x 100 cm de color verde o celeste tela kaki,pza,"12,00","65,00","780,00",Unnamed: 0,Unnamed: 1,Unnamed: 2,"12,00.1","60,00","720,00",Contratado,
21-1324-00-1167432-1-1,1073,14,4213210,33200,Sábanas para hospitales o fundas de colchones - sabanillas tela kaki 1.50 m. de ancho y 2 m. de largo,pza,"30,00","60,00","1.800,00",,,,"30,00","55,00","1.650,00",Contratado,
21-1324-00-1167432-1-1,1073,15,4213150,33200,Pijamas para pacientes - pijamas pediátricas talla M yS con dibujos,Pza,"15,00","80,00","1.200,00",,,,"15,00","75,00","1.125,00",Contratado,
21-1324-00-1167432-1-1,1073,16,4213160,33200,Chaquetas o batas para personal médico - gorros de tela color verde tela kaki,pza,"20,00","15,00","300,00",,,,"20,00","14,50","290,00",Contratado,
21-1324-00-1167432-1-1,1073,17,5212150,33200,Sábanas - sabanas superiores tela caqui de ancho 1.40 m largo 2.40 m. color celeste,Pza,"25,00","58,00","1.450,00",,,,"25,00","55,00","1.375,00",Contratado,
21-1324-00-1167432-1-1,1073,18,5212150,33200,Sábanas - sabanas inferiores con liga tela caqui de ancho 1.40 m. por 2 m. color celeste,Pza,"25,00","68,00","1.700,00",,,,"25,00","65,00","1.625,00",Contratado,
21-1324-00-1167432-1-1,1073,19,4213150,33200,Batas de hospital - batas maternas tela kaki color celeste  talla G. XL,pza,"15,00","110,00","1.650,00",,,,"15,00","90,00","1.350,00",Contratado,
21-1324-00-1167432-1-1,1073,20,4213210,33200,Sábanas para hospitales o fundas de colchones - sabanillas con liga para camillas de 2 metros de largo y 1 de ancho tela kaki,pza,"52,00","50,00","2.600,00",,,,"52,00","48,00","2.496,00",Contratado,
21-1324-00-1167432-1-1,1073,21,4213210,33200,Sábanas para hospitales o fundas de colchones - fundas tela kaki de ancho 45 centímetros de largo 75 centímetros  color celeste,pza,"20,00","20,00","400,00",,,,"20,00","19,00","380,00",Contratado,
21-1324-00-1167432-1-1,1073,22,4214160,33200,Cubrecamas - cubrecamas edredones de ancho 1.50 m. de largo 2.20 m. color celeste,pza,"20,00","150,00","3.000,00",,,,"20,00","140,00","2.800,00",Contratado,
21-1324-00-1167432-1-1,1073,23,4213210,33200,Mantas de hospital o edredones o edredones - envoltorio de tela doble de 80cm x 80 cm de color verde o celeste tela kaki,pza,"12,00","55,00","660,00",,,,"12,00","50,00","600,00",Contratado,
21-1324-00-1167432-1-1,1073,24,5212170,33200,Toallas de manos - toallas con figuras 90 x 60 cm,pza,"10,00","25,00","250,00",,,,"10,00","24,50","245,00",Contratado,
21-1324-00-1167432-1-1,1073,25,4213150,33200,Batas de hospital - batas quirúrgicas con puño tela kaki color verde o celeste,pza,"40,00","114,00","4.560,00",,,,"40,00","100,00","4.000,00",Contratado,
21-1324-00-1167432-1-1,1073,"tallas XXL, XL",,,,,,,,,,,,,,,
21-1324-00-1167432-1-1,1073,Total Recepcionado:,,,,,,,,,,,,,,,
20-1201-00-1042520-0-E,1074,1,1235000,34200.0,HIPOCLORITO DE CALCIO,BALDE,"20,00",,,FIORILO TAPIA WALTER,"2.350,00","47.000,00",,,,Contratado,Cronograma
20-1805-00-1037421-0-E,1075,1,5019000,31120,ASDQUISICION DE EMERGENCIA DE ALIMENTOS PERECIBLES Y NO PERECIBLES PARA LA EMERGENCIA SANITARIA PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS EN EL MUNICIPIO DE GUAYARAMERIN CORRESPONDIENTE A,GLOBAL,"1,00",,,MAIMURA SIERRA ANGEL ANTONIO,"50.000,00","50.000,00","1,00","50.000,00","50.000,00",Contratado,Cronograma
20-1205-00-1084820-1-1,1076,1,4217000,39400,FONENDOSCOPIO ADULTO,UNIDAD,260.0,690.0,"179,400.00",,,,260.0,690.0,"179,400.00",Contratado,Cronograma 0
20-1205-00-1084820-1-1,1076,2,4217000,39400,TENSIOMETRO ANEROIDE ADULTO,UNIDAD,260.0,690.0,"179,400.00",,,,260.0,690.0,"179,400.00",Contratado,Cronograma 0
20-1205-00-1084820-1-1,1076,3,4217000,39400,LENTES DE PROTECCION ANTIPARRA,UNIDAD,500.0,55.0,"27,500.00",,,,500.0,55.0,"27,500.00",Contratado,Cronograma 0
20-1514-00-1041816-0-E,1077,1,4213000,33300,TRAJES DE PROTECCION A35,PIEZA,"600,00",,,ARCE ROJAS HERNAN GUSTAVO,"120,00","72.000,00","600,00","120,00","72.000,00",Contratado,Cronograma
20-1514-00-1041816-0-E,1077,2,4213000,33300,GAFAS DE SEGURIDAD,PIEZA,"80,00",,,ARCE ROJAS HERNAN GUSTAVO,"25,00","2.000,00","80,00","25,00","2.000,00",Contratado,Cronograma
20-1514-00-1041816-0-E,1077,3,4213000,33300,GUANTES DE NITRILO COLOR AZUL CAJA X 100 UNID.,CAJA,"80,00",,,ARCE ROJAS HERNAN GUSTAVO,"90,00","7.200,00","80,00","90,00","7.200,00",Contratado,Cronograma
20-1514-00-1041816-0-E,1077,4,4213000,33300,GORROS QUIRURGICOS DESCARTABLES CAJA X 100 UNID.,CAJA,"80,00",,,ARCE ROJAS HERNAN GUSTAVO,"85,00","6.800,00","80,00","85,00","6.800,00",Contratado,Cronograma
