cuce,número,código_unspsc,objeto_de_gasto,descripción_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razón_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado,cronograma,numero,codigo_unspsc,descripcion_del_bien_o_servicio,nombre_o_razon_social_del_proponente_adjudicado
20-1320-00-1046198-0-E,4,5611000,43200,"VELADOR METALICO: UN CAJON Y UNCOMPARTIMIENTO EN LA PARTE INFERIOR, EN ACERO INOXIDABLE CON 4 PATAS CON REGATONES DE GOMA ANTI DESLIZABLES. ESTRUCTURA: CON PINTURA ANTICORROSIVA EPOXICA SECADA AL HORN",UNIDAD,10,,,ZAMBRANA CHOQUE NELSON,800,8000,10,800,8000,Contratado,Cronograma,,,,
20-1320-00-1046198-0-E,5,5611000,43200,"ESTANTE METALICO: CON PARANTES ANGULAR DE ALTA RESISTENCIA CON 6 BANDEJAS REFORZADAS. ESTRUCTURA: CON PINTURA ANTICORROSIVA EPOXICA SECADA AL HORNO. DIMENSIONES: ALTO= 2M ANCHO= 1M, FONDO= 40M.",UNIDAD,6,,,ZAMBRANA CHOQUE NELSON,900,5400,6,900,5400,Contratado,Cronograma,,,,
20-1320-00-1046198-0-E,6,5611000,43200,"BIOMBO: DE 3 CUERPOS CON RUEDAS DE ALTO TRAFICO, PINTURA EPOXICA AL HORNO",UNIDAD,15,,,ZAMBRANA CHOQUE NELSON,1100,16500,15,1100,16500,Contratado,Cronograma,,,,
20-1320-00-1046198-0-E,7,5611000,43200,"CASILLERO: UN CUERPO CON 2 DIVISIONES CON SUS RESPECTIVAS CHAPAS DE ALTA SEGURIDAD Y JALADORES, PINTURA EPOXICA AL HORNO. DIMENSIONES: ALTO= 1,80M. ANCHO: 0,40M FONDO= 0,43M",UNIDAD,20,,,ZAMBRANA CHOQUE NELSON,1240,24800,20,1240,24800,Contratado,Cronograma,,,,
20-1320-00-1047918-0-E,1,4214000,34200,BARBIJOS N95 (TSP406- FFP2 CON VALVULA VERDE),UNIDAD,110,,,RODRIGUEZ MORALES CLAUDIA,70,7700,110,70,7700,Contratado,Cronograma,,,,
20-1320-00-1047918-0-E,2,4214000,34200,BARBIJOS N95 (FFP3 CON VALVULA BLANCO),UNIDAD,20,,,RODRIGUEZ MORALES CLAUDIA,80,1600,20,80,1600,Contratado,Cronograma,,,,
20-1320-00-1047918-0-E,3,4214000,34200,BARBIJOS N95 (NIOSH- HY8710 SIN VALVULA),UNIDAD,76,,,RODRIGUEZ MORALES CLAUDIA,60,4560,76,60,4560,Contratado,Cronograma,,,,
20-1320-00-1047918-0-E,4,4214000,34200,BARBIJOS N95 (DELTAPLUS M1200VBR-PFF25 CON VALVULA AMARILLA),UNIDAD,89,,,RODRIGUEZ MORALES CLAUDIA,70,6230,89,70,6230,Contratado,Cronograma,,,,
20-1320-00-1047918-0-E,5,4214000,34200,BARBIJO N95 (3M CON VALVULA AMARILLA),UNIDAD,11,,,RODRIGUEZ MORALES CLAUDIA,80,880,11,80,880,Contratado,Cronograma,,,,
20-1320-00-1051155-0-E,1,4229000,34200,COMPRA DE BARBIJOS C.S.I. TARATA (COVID-19),PZA.,1000,,,GEDESA LTDA,25.9,25900,1000,25.9,25900,Contratado,Cronograma,,,,
20-1320-00-1051176-0-E,1,4214000,34200,CLOREXIDINA JABONOSA (2% 5 LITROS),FRASCO,60,,,"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.",380,22800,60,380,22800,Contratado,Cronograma,,,,
20-1320-00-1051176-0-E,2,4214000,34200,ALCOHOL EN GEL CON TAPA (SIN FRAGANCIA),FRASCO,50,,,"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.",35,1750,50,35,1750,Contratado,Cronograma,,,,
20-1320-00-1051176-0-E,3,4214000,34200,CLOREXIDINA ACUOSA,FRASCO,10,,,"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.",424,4240,10,424,4240,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,1,4218000,43400,CATRE DE DOS MOVIMIENTOS,PIEZA,10,,,ZAMBRANA CHOQUE NELSON,4200,42000,10,4200,42000,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,2,4412000,43400,CASILLERO METALICO DE DOS CUERPOS,PIEZA,10,,,ZAMBRANA CHOQUE NELSON,2200,22000,10,2200,22000,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,3,4214000,43400,TUBO DE OXIGENO DE 6 METROS CUBICOS,PIEZA,10,,,ZAMBRANA CHOQUE NELSON,4900,49000,10,4900,49000,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,4,4214000,43400,COLCHON DE ESPONJA DE ALTA RESISTENCIA,PIEZA,10,,,ZAMBRANA CHOQUE NELSON,1100,11000,10,1100,11000,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,5,4412000,43400,VELADOR METALICO,PIEZA,10,,,ZAMBRANA CHOQUE NELSON,800,8000,10,800,8000,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,6,4214000,43400,SABANAS SOBRE SABANAS FUNDAS CUBRECAMAS Y FRAZADA,JUEGO,30,,,ZAMBRANA CHOQUE NELSON,600,18000,30,600,18000,Contratado,Cronograma,,,,
20-1322-00-1041959-0-E,7,4214000,43400,ALMOHADAS,PIEZA,10,,,ZAMBRANA CHOQUE NELSON,75,750,10,75,750,Contratado,Cronograma,,,,
20-1322-00-1042020-0-E,1,5019000,31150,ADQUISICION DE VIVERES Y ALIMENTOS PERECEDEROS PARA LA ASISTENCIA DE LAS FAMILIARES VULNERABLES DE ARBIETO EN ATENCION A LA EMERGENCIA SANITARIA COVID -19 Y CUARENTENA NACIONAL,GLOBAL,1,,,ARCE ROMERO DE TENORIO ANA SHIRLEY,149950,149950,1,149950,149950,Contratado,Cronograma,,,,
20-1322-00-1051625-0-E,1,2712000,43700,ADQUISICION DE PULVERIZADORA DE CAMPO MECANIZADA PARA LA DESINFECCION DEL COVID-19 EN EL MUNICIPIO DE ARBIETO,EQUIPO,1,,,PRIVET - AGROMAR S.R.L.,20880,20880,1,20880,20880,Contratado,Cronograma,,,,
20-1324-00-1039785-0-E,1,4713000,39100,ALCOHOL EN GEL DE LITRO C/TAPA FLIP TOP,BOTE,875,,,CORTEZ CORTEZ SERGIO FERNANDO,29,25375,875,29,25375,Contratado,Cronograma,,,,
20-1324-00-1039785-0-E,2,4713000,39100,ABON LIQUIDO DE 1 LITRO CON TAPA FLIP TOP MARCA CLEAN HAMD.,BOTE,300,,,CORTEZ CORTEZ SERGIO FERNANDO,12,3600,300,12,3600,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,1,4713000,39100,"BOLSAS NEGRAS PEQUEñAS 50X65CM DE 30 MICRONES, PAQ DE 50 UND",PAQ,50,,,RIOS RIVAS NOEL FREDDY,41,2050,50,41,2050,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,2,4713000,39100,CLORITO DESINFECTANTE BLANQUEADOR BIDON DE 5 LITROS ARCHER,BIDON,80,,,RIOS RIVAS NOEL FREDDY,42,3360,80,42,3360,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,3,4713000,39100,BASUREROS CON TAPA VAIVEN DE 15 LITROS,PZA,8,,,RIOS RIVAS NOEL FREDDY,35,280,8,35,280,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,4,4713000,39100,JABóN EN BARRA ANTIBACTERIAL BOLIVAR,CAJA,3,,,RIOS RIVAS NOEL FREDDY,225,675,3,225,675,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,5,4712000,39100,"BOLSAS ROJAS GRANDES 90X110CM DE 30 MICRONES, PAQ DE 10 UND",PAQ,80,,,RIOS RIVAS NOEL FREDDY,28,2240,80,28,2240,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,6,4713000,39100,"BOLSAS ROJAS PEQUEÑAS 50X65 CM DE 30 MICRONES, PAQ DE 50 UND",PAQ,50,,,RIOS RIVAS NOEL FREDDY,42.5,2125,50,42.5,2125,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,7,4713000,39100,"BOLSAS NEGRAS GRANDE 90X110CM DE 30 MICRONES, PAQ DE 10 UND",PAQ,80,,,RIOS RIVAS NOEL FREDDY,26,2080,80,26,2080,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,8,4713000,39100,ALCOHOL EN GEL  BIDON DE 5 LITROS CLASICC,BIDON,20,,,RIOS RIVAS NOEL FREDDY,195,3900,20,195,3900,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,9,4713000,39100,JABON LíQUIDO  FRASCO DE 360 ML FRAGANCIA MIX CAJA DE 12 UND CLASICC,FRASCO,100,,,RIOS RIVAS NOEL FREDDY,16,1600,100,16,1600,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,10,4713000,39100,PAPEL TOALLA ROLLO DE 80 CORTES HOJA DOBLE PAQ DE 16 ROLLOS HOGAR.,JAVA,15,,,RIOS RIVAS NOEL FREDDY,105,1575,15,105,1575,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,11,4713000,39100,GUANTES EXTRA LARGOS DE 40 CM OLA,PARES,60,,,RIOS RIVAS NOEL FREDDY,14.5,870,60,14.5,870,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,12,4713000,39100,AMBIENTADOR EN SPRAY CAJA DE 12 UND X 360 ML TODO BRILLO,CAJA,5,,,RIOS RIVAS NOEL FREDDY,135,675,5,135,675,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,13,4713000,39100,SANITIZADOR DE MANOS FRASCO DE 360 ML CAJA DE 12 UND CARISA,FCO,200,,,RIOS RIVAS NOEL FREDDY,22,4400,200,22,4400,Contratado,Cronograma,,,,
20-1324-00-1043951-0-E,14,4713000,39100,"DETERGENTE GRANULADO FRAGANCIA LIMON DE 3.8 KG, SACO DE 3 SACHETS LIMON OMO",SACO,6,,,RIOS RIVAS NOEL FREDDY,210,1260,6,210,1260,Contratado,Cronograma,,,,
20-1324-00-1045452-0-E,1,1235000,34200,"DUPLALIM DESINFECTANTE VIRICIDA BACTERICIDA, BIDON DE 60 LITROS",BIDON,10,,,VETERQUIMICA BOLIVIANA SRL,2300,23000,10,2300,23000,Contratado,Cronograma,,,,
20-1324-00-1045895-0-E,1,1235000,34200,"DUPLALIM DESINFECTANTE VIRICIDA,BACTERISIDA, DIDON DE 60 LITROS",BIDON,10,,,VETERQUIMICA BOLIVIANA SRL,2300,23000,10,2300,23000,Contratado,Cronograma,,,,
20-1324-00-1045899-0-E,1,1235000,34200,"DUPLALIM DESINFECTANTE VIRICIDA, BACTERICIDA BIDON DE 60 LITROS",BIDON,10,,,VETERQUIMICA BOLIVIANA SRL,2300,23000,10,2300,23000,Contratado,Cronograma,,,,
20-1324-00-1046098-0-E,1,4618000,43400,BOTAS DESECHABLES HASTA LA RODILLA,PARES,500,,,LOPEZ FLORES RONALD OCTAVIO,8,4000,500,8,4000,Contratado,Cronograma,,,,
20-1324-00-1046098-0-E,2,4618000,43400,BATAS DESECHABLE CON PUñO,PZA,500,,,LOPEZ FLORES RONALD OCTAVIO,30,15000,500,30,15000,Contratado,Cronograma,,,,
20-1324-00-1046098-0-E,3,4214000,43400,CAMA MANUAL DE 2 MOVIMIENTOS INCLUYE COLCHON,PZA,1,,,LOPEZ FLORES RONALD OCTAVIO,5350,5350,1,5350,5350,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,1,4110000,39400,TRíPODES PORTA SUERO CON 5 RUEDAS,PZA,2,,,LOPEZ FLORES RONALD OCTAVIO,760,1520,2,760,1520,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,2,4110000,39400,ESTETOSCOPIO ADULTO DOBLE CAMPANA,PZA,7,,,LOPEZ FLORES RONALD OCTAVIO,1800,12600,7,1800,12600,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,3,4110000,39400,TENSIóMETROS DIGITALES AUTOMáTICO,PZA,5,,,LOPEZ FLORES RONALD OCTAVIO,450,2250,5,450,2250,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,4,4110000,39400,TERMóMETROS DIGITALES CON INFRARROJO DE FRENTE,PZA,10,,,LOPEZ FLORES RONALD OCTAVIO,890,8900,10,890,8900,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,5,4110000,39400,RELOJ DE PARED,PZA,1,,,LOPEZ FLORES RONALD OCTAVIO,140,140,1,140,140,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,6,4110000,39400,OXIMETRO DE PULSO PORTATIL,PZA,3,,,LOPEZ FLORES RONALD OCTAVIO,320,960,3,320,960,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,7,4110000,39400,VELADORES MESA DE NOCHE CON PERFILES DE ALUMINIO,PZA,2,,,LOPEZ FLORES RONALD OCTAVIO,2500,5000,2,2500,5000,Contratado,Cronograma,,,,
20-1324-00-1046428-0-E,8,4110000,39400,ESTETOSCOPIO PEDIáTRICO DOBLE CAMPANA,PZA,3,,,LOPEZ FLORES RONALD OCTAVIO,1800,5400,3,1800,5400,Contratado,Cronograma,,,,
20-1324-00-1046502-0-E,1,4214000,33300,"OVEROLES DESCARTABLES,MAMELUC O CON CAPUCHA BLANCO",PZA,145,,,ROMERO HEREDIA NOELIA EDITH,150,21750,145,150,21750,Contratado,Cronograma,,,,
20-1324-00-1046502-0-E,2,4214000,33300,"CUBRE ZAPATOS DESCARTABLES,CAJA DE 100 UNIDADES.",CAJA,10,,,ROMERO HEREDIA NOELIA EDITH,30,300,10,30,300,Contratado,Cronograma,,,,
20-1327-00-1047559-0-E,1,2711000,43700,ADQUISICION DE 2 TERMO NEBULIZADORES PARA FUMIGACION DEL VIRUS COVID 19,GLOBAL,2,,,AGROFARVET SRL,12700,25400,2,12700,25400,Contratado,Cronograma,,,,
20-1331-00-1040706-0-E,1,5121000,34200,COMPRA DE EQUIPAMIENTO E INSUMOS PARA LA PREVENCION CONTROL DEL CORONAVIRUS(COVID-19 EN EL GOBIERNO AUTONOMO MUNICIPAL DE TOTORA),GLOBAL,1,,,VELIZ GUZMAN ISAIAS,44120,44120,1,44120,44120,Contratado,Cronograma,,,,
20-1331-00-1040706-0-E,2,5121000,34200,COMPRA DE EQUIPAMIENTO E INSUMOS PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS(COVID - 19) EN EL GOBIERNO AUTONOMO MUNICIPAL DE TOTORA,GLOBAL,1,,,TERRAZAS RIVAS MIGUEL ANGEL,18798,18798,1,18798,18798,Contratado,Cronograma,,,,
20-1331-00-1040706-0-E,3,5121000,34200,COMPRA DE EQUIPAMIENTO E INSUMOS PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS(COVID - 19) EN EL GOBIERNO AUTONOMO MUNICIPAL DE TOTORA,GLOBAL,1,,,SANDOVAL ALCOCER MONICA NAYRA,9200,9200,1,9200,9200,Contratado,Cronograma,,,,
20-1331-00-1040706-0-E,4,5121000,34200,COMPRA DE EQUIPAMIENTO E INSUMOS PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS(COVID - 19) EN EL GOBIERNO AUTONOMO MUNICIPAL DE TOTORA,GLOBAL,1,,,DISPROMED SRL.,34600,34600,1,34600,34600,Contratado,Cronograma,,,,
20-1331-00-1040706-0-E,5,5121000,34200,COMPRA DE EQUIPAMIENTO E INSUMOS PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS(COVID - 19) EN EL GOBIERNO AUTONOMO MUNICIPAL DE TOTORA,GLOBAL,1,,,VARGAS ROMERO ANDRES AURELIO,6800,6800,1,6800,6800,Contratado,Cronograma,,,,
20-1331-00-1040706-0-E,6,5121000,34200,COMPRA DE EQUIPAMIENTO E INSUMOS PARA LA PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS(COVID - 19) EN EL GOBIERNO AUTONOMO MUNICIPAL DE TOTORA,GLOBAL,1,,,RASNATOVIC AYALA MARIA ALEJANDRA,1500,1500,1,1500,1500,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,1,5121000,34200,LENTES DE PROTECCIóN,PIEZA,40,,,GONZALES AUCA FRANKLIN,72,2880,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,2,5121000,34200,OVEROL DESECHABLE,PIEZA,100,,,GONZALES AUCA FRANKLIN,180,18000,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,3,5121000,34200,GUANTES DESCARTABLES No 7,CAJA,150,,,TERRAZAS MONTENEGRO ANDRE NICOLAS,38,5700,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,4,5121000,34200,GUANTES DE NITRILO TALLA M,CAJA,10,,,GONZALES AUCA FRANKLIN,65,650,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,5,5121000,34200,BUTILBROMURO DE HIOSCINA (BUTILESCOPOLAMINA),20 MG/ML,600,,,MEJIA MEDRANO EDITH ROXANA,4.17,2502,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,6,5121000,34200,ACIDO ASCORBICO (VITAMINA C),"500 MG/ML, (2ML)",500,,,MEJIA MEDRANO EDITH ROXANA,2.5,1250,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,7,5121000,34200,"""PROPIONATO DE AMNONIO CUATERNARIO, CLORHIDRATO DE POLIHEXAMETILENO DE BIGUANIDA. DE APLICCIóN ESPUMOSA.""",FRASCO,200,,,THOMPSON OTERO ELIZABETH,200,40000,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,8,5121000,34200,GEL REFRIGERANTE TRASLADO DE MUESTRAS MEDIANO 400ML,PIEZA,72,,,GONZALES AUCA FRANKLIN,48,3456,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,9,5121000,34200,DICLOFENACO SóDICODICLOFENACO SóDICO,"1%, (20 G)",1500,,,MEJIA MEDRANO EDITH ROXANA,8.46,12690,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,10,5121000,34200,SOLUCIóN FISIOLóGICA,"0,9% (1.000 ML)",240,,,MEJIA MEDRANO EDITH ROXANA,9.65,2316,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,11,5121000,34200,"""AMINOPROPILDODECILPR OPANODIAMINA,CLORURO DE DIDECILDIMETILAMONIO; SULFATANTES. """,BIDON,30,,,THOMPSON OTERO ELIZABETH,625,18750,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,12,5121000,34200,JERINGA DESCARTABE 10 ML. C./AGUJA,PIEZA,10000,,,TERRAZAS MONTENEGRO ANDRE NICOLAS,0.48,4800,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,13,5121000,34200,SALES DE REHIDRATACIóN,SEGúN,2500,,,MEJIA MEDRANO EDITH,1.96,4900,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,14,5121000,34200,METAMIZOL (DIPIRONA),1 G,1500,,,MEJIA MEDRANO EDITH ROXANA,1.82,2730,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,15,5121000,34200,TELA ADHESIVA MICROPORE 5 CM X 9.1 MTR,PIEZA,200,,,RASNATOVIC AYALA MARIA ALEJANDRA,28,5600,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,16,5121000,34200,BARBIJO DESCARTABLE,CAJA,400,,,GONZALES AUCA FRANKLIN,120,48000,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,17,5121000,34200,ALCOHOL MEDICINAL 70% 1000 ML.,FRASCO,200,,,RASNATOVIC AYALA MARIA ALEJANDRA,29.9,5980,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,18,5121000,34200,COMPLEJO  B (B1 + B6 + B12),SEGúN CONCEN TRACIóN,2500,,,MEJIA MEDRANO EDITH ROXANA,3.1,7750,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,19,5121000,34200,SOLUCIóN DE CLOREXIDINA 2 %,"2,00%",40,,,GONZALES AUCA FRANKLIN,403,16120,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,20,5121000,34200,DICLOFENACO SóDICO,75 MG,2500,,,MEJIA MEDRANO EDITH ROXANA,1.42,3550,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,21,5121000,34200,ALCOHOL EN GEL,FRASCO,258,,,GONZALES AUCA FRANKLIN,49.5,12771,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,22,5121000,34200,PARACETAMOL (ACETAMINOFENO),500 MG,20000,,,MEJIA MEDRANO EDITH ROXANA,0.21,4200,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,23,5121000,34200,BARBIJO DESCARTABLE N95,PIEZA,300,,,GONZALES AUCA FRANKLIN,50,15000,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,24,5121000,34200,METOCLOPRAMIDA,10 MG,2000,,,MEJIA MEDRANO EDITH ROXANA,0.38,760,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,25,5121000,34200,BUTILBROMURO DE HIOSCINA (BUTILESCOPOLAMINA),10 MG,5000,,,MEJIA MEDRANO EDITH ROXANA,1.51,7550,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,26,5121000,34200,GUANTES DE NITRILO TALLA L,CAJA,10,,,GONZALES AUCA FRANKLIN,65,650,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,27,5121000,34200,TUBO PARA TRASLADO DE MUESTRA 50 ML,PIEZA,36,,,GONZALES AUCA FRANKLIN,15,540,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,28,5121000,34200,GUANTES DESCARTABLES No 6 1⁄2,CAJA,150,,,TERRAZAS MONTENEGRO ANDRE NICOLAS,38,5700,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,29,5121000,34200,CONSERVADORA PEQUEñA 1 LTR PARA  TRASLADO DE MUESTRAS,PIEZA,36,,,GONZALES AUCA FRANKLIN,28,1008,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,30,5121000,34200,JERINGA DESCARTABLE 5 ML. C./AGUJA,PIEZA,15000,,,RASNATOVIC AYALA MARIA ALEJANDRA,0.49,7350,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,31,5121000,34200,CONSERVADORA MEDIANA 7LTS PARA  TRASLADO DE MUESTRAS,PIEZA,36,,,GONZALES AUCA FRANKLIN,35,1260,,,,Contratado,Cronograma,,,,
20-1334-00-1052442-0-E,32,5121000,34200,GEL REFRIGERANTE TRASLADO DE MUESTRAS PEQUEñO 100ML,PIEZA,36,,,GONZALES AUCA FRANKLIN,40,1440,,,,Contratado,Cronograma,,,,
20-1335-00-1041095-0-E,1,4217000,34200,ADQUISICION DE PRODUCTOS DE 1RA. NECESIDAD PARA PREVENCION DE CORONAVIRUS (COVIC-19),1,300,,,GONZALES AUCA FRANKLIN,120,36000,300,120,36000,Contratado,Cronograma,,,,
20-1335-00-1041095-0-E,2,4214000,34200,ADQUISICION DE PRODUCTOS DE 1RA. NECESIDAD PARA PREVENCION DE CORONAVIRUS (COVIC-19),1,80,,,GONZALES AUCA FRANKLIN,55,4400,80,55,4400,Contratado,Cronograma,,,,
20-1335-00-1041095-0-E,3,5121000,34200,ADQUISICION DE PRODUCTOS DE 1RA. NECESIDAD PARA PREVENCION DE CORONAVIRUS (COVIC-19),1,300,,,SPARTAN DE BOLIVIA SRL,32,9600,300,32,9600,Contratado,Cronograma,,,,
20-1335-00-1044075-0-E,1,4213000,34200,BATAS DESECHABLES,PIEZA,200,,,GONZALES AUCA FRANKLIN,40,8000,200,40,8000,Contratado,Cronograma,,,,
20-1335-00-1044075-0-E,2,4213000,34200,GORROS DESECHABLES,PIEZA,500,,,GONZALES AUCA FRANKLIN,0.5,250,500,0.5,250,Contratado,Cronograma,,,,
20-1335-00-1044075-0-E,3,4213000,34200,"GUANTES NITRILLO TALLA ""M""",CAJA,100,,,GONZALES AUCA FRANKLIN,75,7500,100,75,7500,Contratado,Cronograma,,,,
20-1335-00-1044075-0-E,4,4213000,34200,GAFAS DE PROTECCION,UNIDAD,50,,,GONZALES AUCA FRANKLIN,80,4000,50,80,4000,Contratado,Cronograma,,,,
20-1335-00-1044075-0-E,5,4213000,34200,OVEROLES DESECHABLES,PIEZA,20,,,GONZALES AUCA FRANKLIN,120,2400,20,120,2400,Contratado,Cronograma,,,,
20-1335-00-1044075-0-E,6,4213000,34200,BOTAS DESECHABLES,PIEZA,200,,,GONZALES AUCA FRANKLIN,4,800,200,4,800,Contratado,Cronograma,,,,
20-1335-00-1051065-0-E,1,5121000,34200,MASCARILLA TIPO QUIRURGICA (USO MEDICO) - USO ERN ZONAS DE ALTO RIEGO HOSPITALES CON PACIENTES COVID// DE ACUERDO A ESPECIFICACIONES TECNICAS,CAJAS POR 50 PIEZA,220,,,AYALA ONTIVEROS SABINA,145,31900,220,145,31900,Contratado,Cronograma,,,,
20-1335-00-1051065-0-E,2,5121000,34200,MASCARILLA KN95 //DE ACUERDO A ESPECIFICACIONES TECNICAS,PIEZA,1062,,,AYALA ONTIVEROS SABINA,17,18054,1062,17,18054,Contratado,Cronograma,,,,
20-1336-00-1039138-0-E,1,4213000,34500,"PREVENCIÓN CONTROL Y ATENCIÓN DEL CORONAVIRUS (COMPRA DE BATAS DESCARTABLES 3M, MASCARILLAS FACIALES Y MAMELUCOS CON CAPUCHAS)",GLB,1,,,WILLIAN SANDRO HERBAS ORELLANA,52450,52450,1,52450,52450,Contratado,Cronograma,,,,
20-1336-00-1039179-0-E,1,4217000,34500,PREVENCION  CONTROL Y ATENCION DEL CORONAVIRUS (COMPRA DE BARBIJOS  N95 CON FILTRO 3M PARA EL CENTRO D SALUD ARANI),GLB,1,,,WILLIAN SANDRO HERBAS ORELLANA,48000,48000,1,48000,48000,Contratado,Cronograma,,,,
20-1342-00-1038626-0-E,1,4112000,34200,COMPRA DE INSUMOS PARA BARRERAS DE PROTECCION CONTRA EL COVID-19,GLB,1,,,DISPROMED SRL.,33040,33040,1,33040,33040,Contratado,Cronograma,,,,
20-1342-00-1049449-0-E,1,4229000,43400,COMPRA DE EQUIPOS DE ASPIRACIÓN QUIRÚRGICO PARA LA ATENCIÓN DE PACIENTES CON COVID-19,PZA,3,,,GEDESA LTDA,13572,40716,3,13572,40716,Contratado,Cronograma,,,,
20-1342-00-1049493-0-E,1,4214000,34200,RINGER NORMAL ISOT (INF X 1000 ML),SOLUCIO N,520,,,DROGUERIA INTI S.A.,10.7,5564,520,10.7,5564,Contratado,Cronograma,,,,
20-1342-00-1049493-0-E,2,4214000,34200,PARACETAMOL 500 MG,COMP,60000,,,CRUZ GUTIERREZ MARCO ANTONIO,0.1,6000,60000,0.1,6000,Contratado,Cronograma,,,,
20-1342-00-1049493-0-E,3,4214000,34200,FISIOLOGICO 0.9 ISOT (INF X 1000 ML),SOLUCIO N,500,,,DROGUERIA INTI S.A.,10.44,5220,500,10.44,5220,Contratado,Cronograma,,,,
20-1342-00-1049493-0-E,4,4214000,34200,PARACETAMOL DE 100 MG,FRASCO,1000,,,CRUZ GUTIERREZ MARCO ANTONIO,3.8,3800,1000,3.8,3800,Contratado,Cronograma,,,,
20-1342-00-1049493-0-E,5,4214000,34200,SALBUTAMOL (0.1 MG/INHALACION),UNIDAD,50,,,MEJIA MEDRANO EDITH ROXANA,20.8,1040,50,20.8,1040,Contratado,Cronograma,,,,
20-1342-00-1049493-0-E,6,4214000,34200,ALCOHOL MEDICINAL 70% (1000 ML),SOLUCIO N,80,,,INDUSTRIA QUIMICA BOLIVIANA INQUIBOL S.R.L.,23,1840,80,23,1840,Contratado,Cronograma,,,,
