cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-1312-00-1045467-0-E,1148,Total Adjudicado:,81208.5,Total Recepcionado:,81208.5,,
20-4601-00-1049430-0-E,1149,Total Adjudicado:,2520000,,,,
20-1734-00-1049181-0-E,1150,Total Adjudicado:,141810,Total Recepcionado:,141810,,
20-1307-00-1053849-1-1,1151,Total Referencial:,150000,Total Adjudicado:,81760,Total Recepcionado:,81760
20-1205-00-1046853-0-E,1152,Total Adjudicado:,1400000,Total Recepcionado:,1400000,,
20-1605-00-1038840-0-E,1153,Total Adjudicado:,419084.31,Total Recepcionado:,419084.31,,
20-1520-00-1087760-2-1,1154,Total Referencial:,135895,Total Adjudicado:,68200,Total Recepcionado:,
20-1505-00-1096376-1-1,1155,Total Referencial:,48000,Total Recepcionado:,48000,,
20-1301-00-1092969-1-1,1156,Total Referencial:,16600,Total Recepcionado:,16600,,
20-1521-00-1090127-1-1,1157,Total Referencial:,280200,Total Recepcionado:,276820,,
20-1205-00-1092438-1-1,1158,Total Referencial:,99000,Total Recepcionado:,99000,,
20-0906-03-1049145-0-E,1159,Total Adjudicado:,39600,Total Recepcionado:,39600,,
20-1206-00-1052316-0-E,1160,Total Adjudicado:,47100,Total Recepcionado:,47100,,
21-1511-00-1170103-1-2,1161,Total Referencial:,94100,Total Adjudicado:,92261,Total Recepcionado:,92261
20-1228-00-1083465-1-1,1162,Total Referencial:,49992,Total Recepcionado:,49992,,
21-1701-00-1150267-1-2,1163,Total Referencial:,41420,,,,
20-1301-00-1051162-0-E,1164,Total Adjudicado:,817700,,,,
20-0046-21-1034322-0-E,1165,Total Adjudicado:,38590,Total Recepcionado:,38590,,
21-0046-00-1164231-1-1,1166,Total Referencial:,39000,Total Recepcionado:,21000,,
20-1734-00-1049032-0-E,1167,Total Adjudicado:,180000,Total Recepcionado:,180000,,
21-4601-02-1177053-1-1,1168,Total Referencial:,88920,Total Adjudicado:,88920,Total Recepcionado:,
20-1404-00-1044170-0-E,1169,Total Adjudicado:,27500,Total Recepcionado:,27500,,
20-1801-00-1048761-0-E,1170,Total Adjudicado:,351668,Total Recepcionado:,351668,,
20-4601-00-1048099-0-E,1171,Total Adjudicado:,29000,Total Recepcionado:,29000,,
20-1805-00-1037428-0-E,1172,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-1315-00-1040471-0-E,1173,Total Adjudicado:,28750,Total Recepcionado:,28750,,
21-0901-02-1175869-1-1,1174,Total Referencial:,337504,Total Recepcionado:,337504,,
20-1905-00-1092940-1-2,1175,Total Referencial:,99060.52,Total Recepcionado:,99060.52,,
20-0902-00-1041529-0-E,1176,Total Adjudicado:,122000,Total Recepcionado:,122000,,
20-1302-00-1098777-1-1,1177,Total Referencial:,700000,Total Recepcionado:,660000,,
20-1310-00-1039801-0-E,1178,Total Adjudicado:,48010,Total Recepcionado:,48010,,
20-1338-00-1064387-1-1,1179,Total Referencial:,375030,Total Adjudicado:,372300,Total Recepcionado:,372300
20-0418-07-1047680-0-E,1180,Total Adjudicado:,134000,Total Recepcionado:,134000,,
20-1325-00-1096586-1-1,1181,Total Referencial:,35000,Total Recepcionado:,28000,,
20-1206-00-1052339-0-E,1182,Total Adjudicado:,22500,Total Recepcionado:,22500,,
20-1606-00-1039665-0-E,1183,Total Adjudicado:,111650,Total Recepcionado:,111650,,
20-1205-00-1039912-0-E,1184,Total Adjudicado:,5778481,Total Recepcionado:,5778481,,
20-1232-00-1041560-0-E,1185,Total Adjudicado:,665528,Total Recepcionado:,665528,,
20-1227-00-1102082-1-1,1186,Total Referencial:,314920,Total Recepcionado:,314920,,
20-1306-00-1064138-1-1,1187,Total Referencial:,1076733.1600000001,Total Adjudicado:,551304.41,Total Recepcionado:,551304.41
20-1205-00-1099152-1-1,1188,Total Referencial:,1350000,Total Recepcionado:,1275000,,
20-1604-00-1040583-0-E,1189,Total Adjudicado:,194590,Total Recepcionado:,194590,,
20-1336-00-1096897-1-2,1190,Total Referencial:,75075,Total Recepcionado:,74600.5,,
20-1228-00-1094083-1-1,1191,Total Referencial:,30000,Total Recepcionado:,30000,,
20-1243-00-1096717-1-1,1192,Total Referencial:,32400,Total Recepcionado:,32400,,
20-1605-00-1044339-0-E,1193,Total Adjudicado:,49000,Total Recepcionado:,49000,,
21-0207-04-1108794-1-1,1194,Total Referencial:,49940,Total Recepcionado:,38590,,
20-1312-00-1040647-0-E,1195,Total Adjudicado:,21960,Total Recepcionado:,21960,,
20-1803-00-1046673-0-E,1196,Total Adjudicado:,49895,Total Recepcionado:,49895,,
20-1205-00-1039563-0-E,1197,Total Adjudicado:,24888,Total Recepcionado:,24888,,
20-4601-03-1039441-0-E,1198,Total Adjudicado:,42000,Total Recepcionado:,42000,,
20-1701-00-1040288-0-E,1199,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-1801-00-1079080-1-1,1200,Total Referencial:,477007,Total Recepcionado:,263219.2,,
20-0901-02-1093991-1-1,1201,Total Referencial:,1572800,Total Recepcionado:,989040,,
20-1301-00-1044774-0-E,1202,Total Adjudicado:,225000,Total Recepcionado:,225000,,
20-1508-00-1048488-0-E,1203,Total Adjudicado:,37166,Total Recepcionado:,37166,,
21-1520-00-1153808-1-1,1204,Total Referencial:,,,,,
20-4601-03-1072915-1-1,1205,Total Referencial:,617500,Total Adjudicado:,609500,Total Recepcionado:,609500
20-1119-00-1078302-1-1,1206,Total Referencial:,187400,Total Adjudicado:,168400,Total Recepcionado:,168400
20-0418-07-1049163-0-E,1207,Total Adjudicado:,150000,Total Recepcionado:,150000,,
20-0418-07-1049392-0-E,1208,Total Adjudicado:,235250,Total Recepcionado:,235250,,
20-1306-00-1088781-1-1,1209,Total Referencial:,95700,Total Adjudicado:,66100,Total Recepcionado:,76000
20-0418-07-1052709-0-E,1210,Total Adjudicado:,215140,Total Recepcionado:,215140,,
21-1541-00-1148288-1-1,1211,Total Referencial:,360900,Total Adjudicado:,352050,Total Recepcionado:,352050
20-1228-00-1086342-1-1,1212,Total Referencial:,34700,Total Recepcionado:,34700,,
20-1511-00-1059731-2-1,1213,Total Referencial:,83936,Total Adjudicado:,75932.8,Total Recepcionado:,75932.8
20-1204-00-1046116-0-E,1214,Total Adjudicado:,49270,Total Recepcionado:,49270,,
20-1505-00-1095642-1-1,1215,Total Referencial:,22000,Total Recepcionado:,22000,,
20-1201-00-1042532-0-E,1216,Total Adjudicado:,843897.6,Total Recepcionado:,843897.6,,
20-0902-43-1039821-0-E,1217,Total Adjudicado:,42338.7,Total Recepcionado:,42338.7,,
20-1301-00-1044750-0-E,1218,Total Adjudicado:,54940,,,,
20-1501-00-1046439-0-E,1219,Total Adjudicado:,45500,,,,
20-1602-00-1082146-1-1,1220,Total Referencial:,335480.6,Total Recepcionado:,213112.17,,
20-1537-00-1048908-0-E,1221,Total Adjudicado:,49022.5,Total Recepcionado:,49022.5,,
20-1260-00-1040312-0-E,1222,Total Adjudicado:,21729.5,Total Recepcionado:,21729.5,,
20-1303-00-1047149-0-E,1223,Total Adjudicado:,21600,Total Recepcionado:,21600,,
20-1905-00-1052466-0-E,1224,Total Adjudicado:,120000,,,,
20-1801-00-1085882-1-1,1225,Total Referencial:,32700,Total Recepcionado:,27291,,
20-1410-00-1091890-2-1,1226,Total Referencial:,119900,Total Adjudicado:,115970,,
20-1526-00-1056613-1-1,1227,Total Referencial:,611887.52,Total Adjudicado:,221735,Total Recepcionado:,221735
20-0906-00-1074870-1-1,1228,Total Referencial:,150000,Total Recepcionado:,100000,,
20-1301-00-1093009-1-1,1229,Total Referencial:,67500,Total Recepcionado:,67500,,
20-0906-03-1048681-0-E,1231,Total Adjudicado:,28000,Total Recepcionado:,28000,,
20-1266-00-1039885-0-E,1232,Total Adjudicado:,80370,Total Recepcionado:,80370,,
21-0901-02-1180371-1-1,1233,Total Referencial:,206000,,,,
20-1605-00-1039246-0-E,1234,Total Adjudicado:,65900,Total Recepcionado:,65900,,
20-1801-00-1087205-1-1,1236,Total Referencial:,470000,Total Recepcionado:,418000,,
20-1205-00-1090637-1-1,1237,Total Referencial:,80000,Total Recepcionado:,80000,,
20-0903-02-1041291-0-E,1238,Total Adjudicado:,2999996.3,,,,
20-4601-00-1040995-0-E,1239,Total Adjudicado:,9926102,,,,
20-1701-00-1043411-0-E,1240,Total Adjudicado:,127725,Total Recepcionado:,127725,,
21-0047-15-1150641-1-1,1241,Total Referencial:,,,,,
20-1117-00-1067920-1-1,1242,Total Referencial:,999000,Total Adjudicado:,989133,Total Recepcionado:,989133
20-1301-00-1091109-1-1,1243,Total Referencial:,18000,Total Recepcionado:,17800,,
20-0903-02-1093901-1-1,1244,Total Referencial:,28750,Total Recepcionado:,9200,,
20-1517-00-1050734-0-E,1245,Total Adjudicado:,28320,Total Recepcionado:,28320,,
20-4601-03-1063747-1-1,1246,Total Referencial:,254500,Total Adjudicado:,249500,Total Recepcionado:,249500
20-4601-03-1063747-1-1,1246,Total Referencial:,499900,Total Adjudicado:,492949,Total Recepcionado:,490894
20-1206-00-1090761-1-1,1247,Total Referencial:,34545,Total Recepcionado:,34545,,
20-1206-00-1090761-1-1,1247,Total Referencial:,51448,Total Recepcionado:,51448,,
20-1404-00-1050949-0-E,1248,Total Adjudicado:,75900,,,,
20-1336-00-1039138-0-E,1249,Total Adjudicado:,52450,Total Recepcionado:,52450,,
20-1204-00-1071782-1-1,1251,Total Referencial:,140000,Total Adjudicado:,125000,Total Recepcionado:,125000
20-1206-00-1042080-0-E,1252,Total Adjudicado:,202000,Total Recepcionado:,202000,,
20-1910-00-1042945-0-E,1253,Total Adjudicado:,52300,Total Recepcionado:,52300,,
20-1302-00-1049894-0-E,1254,Total Adjudicado:,204000,Total Recepcionado:,204000,,
20-1206-00-1093902-1-1,1255,Total Referencial:,49987.5,Total Recepcionado:,49987.5,,
20-1302-00-1049065-0-E,1256,Total Adjudicado:,85000,Total Recepcionado:,85000,,
20-1807-00-1044347-0-E,1257,Total Adjudicado:,49695,Total Recepcionado:,49695,,
20-1301-00-1044324-0-E,1258,Total Adjudicado:,70000,,,,
20-1605-00-1047199-0-E,1259,Total Adjudicado:,86400,Total Recepcionado:,86400,,
20-1606-00-1038881-0-E,1260,Total Adjudicado:,93000,Total Recepcionado:,93000,,
20-1236-00-1045801-0-E,1261,Total Adjudicado:,24645,Total Recepcionado:,24645,,
20-1610-00-1049506-0-E,1262,Total Adjudicado:,49713,Total Recepcionado:,49713,,
20-1315-00-1044974-0-E,1263,Total Adjudicado:,73704.5,,,,
21-1507-00-1179497-1-1,1264,Total Referencial:,91000,Total Adjudicado:,26000,Total Recepcionado:,26000
20-1228-00-1084134-1-3,1265,Total Referencial:,46907,Total Recepcionado:,46907,,
20-1701-00-1042229-0-E,1266,Total Adjudicado:,72000,Total Recepcionado:,72000,,
21-1501-00-1116526-1-1,1267,Total Referencial:,39600,Total Recepcionado:,36543,,
20-0423-00-1051605-0-E,1268,Total Adjudicado:,49993.8,Total Recepcionado:,49993.8,,
20-1501-00-1093862-1-1,1269,Total Referencial:,340050,Total Recepcionado:,340050,,
20-1515-00-1091009-1-1,1270,Total Referencial:,137491.12,Total Adjudicado:,136915.02,Total Recepcionado:,136915.02
20-1301-00-1049825-0-E,1271,Total Adjudicado:,490000,,,,
20-1101-00-1051733-0-E,1272,Total Adjudicado:,420000,Total Recepcionado:,420000,,
20-1262-00-1041729-0-E,1273,Total Adjudicado:,24000,Total Recepcionado:,24000,,
20-1331-00-1081731-1-1,1274,Total Referencial:,650000,Total Adjudicado:,535180,Total Recepcionado:,535180
20-1801-00-1094609-1-1,1276,Total Referencial:,49300,Total Recepcionado:,41900,,
20-1537-00-1049216-0-E,1277,Total Adjudicado:,47589,Total Recepcionado:,47589,,
20-1245-00-1087810-1-1,1278,Total Referencial:,34875,Total Recepcionado:,34875,,
20-1801-00-1079261-1-2,1279,Total Referencial:,64000,Total Recepcionado:,64000,,
20-1517-00-1080401-2-1,1280,Total Referencial:,106627.97,Total Adjudicado:,106447.75,Total Recepcionado:,106447.75
20-1301-00-1083996-1-1,1281,Total Referencial:,21000,Total Recepcionado:,21000,,
20-1506-00-1078451-1-1,1282,Total Referencial:,900000,Total Adjudicado:,899713,Total Recepcionado:,899713
20-1307-00-1068707-1-2,1283,Total Referencial:,803020,Total Adjudicado:,719635,Total Recepcionado:,719635
20-0903-02-1088270-1-1,1284,Total Referencial:,28750,Total Recepcionado:,13052.5,,
20-1430-00-1098955-1-1,1285,Total Referencial:,49280,Total Recepcionado:,47770,,
20-1701-00-1038910-0-E,1286,Total Adjudicado:,903805,Total Recepcionado:,903805,,
20-1243-00-1096313-1-1,1287,Total Referencial:,28200,Total Recepcionado:,28200,,
20-1301-00-1044792-0-E,1288,Total Adjudicado:,34000,,,,
20-1221-00-1047168-0-E,1289,Total Adjudicado:,38025,Total Recepcionado:,38025,,
20-1734-00-1046435-0-E,1290,Total Adjudicado:,51000,Total Recepcionado:,51000,,
20-1205-00-1039379-0-E,1291,Total Adjudicado:,46204.2,Total Recepcionado:,46204.2,,
20-1319-00-1061307-1-1,1292,Total Referencial:,119999.5,Total Adjudicado:,40888.39,Total Recepcionado:,40888.39
20-4601-03-1042171-0-E,1293,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-1521-00-1044718-0-E,1294,Total Adjudicado:,49400,Total Recepcionado:,49400,,
20-1755-00-1044450-0-E,1295,Total Adjudicado:,160200,Total Recepcionado:,160200,,
20-1301-00-1086368-1-1,1296,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1260-00-1038127-0-E,1297,Total Adjudicado:,46501,Total Recepcionado:,46501,,
20-1507-00-1052292-0-E,1298,Total Adjudicado:,114000,Total Recepcionado:,114000,,
21-1324-00-1151227-1-1,1299,Total Referencial:,49800,Total Recepcionado:,31800,,
20-1312-00-1038597-0-E,1300,Total Adjudicado:,39410,Total Recepcionado:,39410,,
20-0906-00-1079395-1-1,1301,Total Referencial:,249000,Total Recepcionado:,249000,,
21-1302-00-1118192-2-1,1302,Total Referencial:,24800,Total Recepcionado:,24800,,
20-1315-00-1043187-0-E,1303,Total Adjudicado:,30053,Total Recepcionado:,30053,,
20-1312-00-1049200-0-E,1304,Total Adjudicado:,115000,Total Recepcionado:,115000,,
20-1301-00-1042277-0-E,1305,Total Adjudicado:,33000,,,,
20-0901-02-1092260-1-1,1306,Total Referencial:,126500,Total Recepcionado:,126500,,
20-0903-02-1052328-0-E,1307,Total Adjudicado:,43413,Total Recepcionado:,3992,,
20-1605-00-1052678-0-E,1308,Total Adjudicado:,235000,Total Recepcionado:,235000,,
20-1410-00-1041605-0-E,1309,Total Adjudicado:,33000,Total Recepcionado:,33000,,
21-1221-00-1145689-1-1,1310,Total Referencial:,36280.5,Total Recepcionado:,34170,,
20-1805-00-1037405-0-E,1311,Total Adjudicado:,120000,Total Recepcionado:,120000,,
20-0905-00-1038247-0-E,1312,Total Adjudicado:,83250,Total Recepcionado:,83250,,
20-1734-00-1046676-0-E,1313,Total Adjudicado:,25000,Total Recepcionado:,25000,,
21-1342-00-1138323-1-1,1314,Total Referencial:,24980.440000000002,Total Recepcionado:,19995,,
20-0660-12-1050737-0-E,1315,Total Adjudicado:,21465,Total Recepcionado:,21465,,
20-1607-00-1097468-1-1,1316,Total Referencial:,94250,Total Recepcionado:,76800,,
21-1541-00-1149419-1-1,1317,Total Referencial:,174690,Total Adjudicado:,163980,Total Recepcionado:,163980
20-1301-00-1047249-0-E,1318,Total Adjudicado:,450000,,,,
20-1206-00-1050727-0-E,1319,Total Adjudicado:,25000,Total Recepcionado:,25000,,
20-1414-00-1101689-1-1,1320,Total Referencial:,27500,Total Recepcionado:,27500,,
20-1228-00-1084045-1-1,1321,Total Referencial:,49000,Total Recepcionado:,49000,,
20-1312-00-1041871-0-E,1322,Total Adjudicado:,28500,Total Recepcionado:,28500,,
20-1228-00-1084027-1-1,1323,Total Referencial:,49985,Total Recepcionado:,49985,,
20-1103-00-1063828-2-1,1324,Total Referencial:,465000,Total Adjudicado:,459200,Total Recepcionado:,459200
20-1205-00-1090746-1-1,1325,Total Referencial:,87400,Total Recepcionado:,50350,,
20-4601-00-1050983-0-E,1326,Total Adjudicado:,786480,,,,
20-1301-00-1044039-0-E,1327,Total Adjudicado:,152472.4,,,,
20-1312-00-1040952-0-E,1328,Total Adjudicado:,287038,Total Recepcionado:,287038,,
20-1302-00-1048229-0-E,1329,Total Adjudicado:,23040,Total Recepcionado:,23040,,
20-1119-00-1052229-2-1,1330,Total Referencial:,157950,Total Adjudicado:,155250,Total Recepcionado:,155250
20-1301-00-1086286-1-1,1331,Total Referencial:,26000,Total Recepcionado:,26000,,
20-1807-00-1048822-2-1,1332,Total Referencial:,453114,Total Adjudicado:,232320,Total Recepcionado:,232320
20-1301-00-1051184-0-E,1333,Total Adjudicado:,39000,Total Recepcionado:,39000,,
20-0046-26-1040239-0-E,1334,Total Adjudicado:,42000,Total Recepcionado:,42000,,
20-1810-00-1041795-0-E,1335,Total Adjudicado:,36000,,,,
20-1801-00-1038029-0-E,1336,Total Adjudicado:,1197115,Total Recepcionado:,1197115,,
20-1301-00-1044871-0-E,1337,Total Adjudicado:,608400,,,,
20-1734-00-1046562-0-E,1338,Total Adjudicado:,77642.8,Total Recepcionado:,77642.8,,
20-0906-00-1038935-0-E,1339,Total Adjudicado:,554400,Total Recepcionado:,554400,,
20-1334-00-1074269-1-1,1340,Total Referencial:,752250,Total Adjudicado:,505271,Total Recepcionado:,505271
20-1605-00-1042985-0-E,1341,Total Adjudicado:,51900,Total Recepcionado:,51900,,
20-1206-00-1038823-0-E,1342,Total Adjudicado:,49000,Total Recepcionado:,49000,,
20-1312-00-1040465-0-E,1343,Total Adjudicado:,67500,Total Recepcionado:,67500,,
20-1533-00-1079560-1-1,1344,Total Referencial:,221190,Total Adjudicado:,211000,Total Recepcionado:,211000
20-1205-00-1046832-0-E,1345,Total Adjudicado:,142100,,,,
20-1225-00-1098601-1-1,1346,Total Referencial:,25000,Total Recepcionado:,25000,,
20-1262-00-1046408-0-E,1347,Total Adjudicado:,37670,Total Recepcionado:,37670,,
21-1529-00-1125523-1-1,1348,Total Referencial:,99790,Total Adjudicado:,40000,Total Recepcionado:,40000
20-1306-00-1049697-0-E,1349,Total Adjudicado:,48900,Total Recepcionado:,48900,,
20-1215-00-1047834-0-E,1350,Total Adjudicado:,99750,,,,
20-1326-00-1083072-1-1,1351,Total Referencial:,117260,Total Adjudicado:,94376,Total Recepcionado:,94376
20-1909-00-1062244-1-1,1352,Total Referencial:,419730,Total Adjudicado:,414975,Total Recepcionado:,414975
20-1430-00-1099125-1-1,1353,Total Referencial:,61780,Total Recepcionado:,60900,,
20-1606-00-1039649-0-E,1354,Total Adjudicado:,35779.8,Total Recepcionado:,35779.8,,
20-0513-00-1085116-1-1,1355,Total Referencial:,89690,Total Adjudicado:,48931,Total Recepcionado:,48931
20-1502-00-1087386-1-2,1356,Total Referencial:,1000000,Total Adjudicado:,994000,Total Recepcionado:,994000
20-1734-00-1049043-0-E,1357,Total Adjudicado:,93960,Total Recepcionado:,93960,,
20-0905-00-1046872-0-E,1358,Total Adjudicado:,37000,Total Recepcionado:,37000,,
20-1301-00-1046022-0-E,1359,Total Adjudicado:,16500,Total Recepcionado:,16500,,
20-1330-00-1099486-1-1,1360,Total Referencial:,,,,,
20-1606-00-1048986-0-E,1361,Total Adjudicado:,139000,Total Recepcionado:,139000,,
20-1302-00-1051576-0-E,1362,Total Adjudicado:,230000,Total Recepcionado:,230000,,
20-1312-00-1040417-0-E,1363,Total Adjudicado:,187500,Total Recepcionado:,187500,,
20-4601-03-1075710-1-1,1364,Total Referencial:,525000,Total Adjudicado:,498500,Total Recepcionado:,498500
20-1531-00-1082272-2-1,1365,Total Referencial:,610660,Total Adjudicado:,610020,Total Recepcionado:,610020
20-1406-00-1073798-1-1,1366,Total Referencial:,39000,Total Recepcionado:,37440,,
20-0903-02-1075150-1-1,1367,Total Referencial:,28750,Total Recepcionado:,20930,,
20-1801-00-1073699-1-1,1368,Total Referencial:,60360,Total Recepcionado:,53560,,
20-1501-00-1081299-1-1,1369,Total Referencial:,930000,Total Recepcionado:,927000,,
21-0423-00-1104626-1-1,1370,Total Referencial:,49984,Total Recepcionado:,49984,,
20-1601-00-1093785-1-1,1371,Total Referencial:,49918,Total Recepcionado:,29497,,
21-0901-02-1151455-1-1,1372,Total Referencial:,95607.5,Total Recepcionado:,64120,,
21-1605-00-1129263-1-1,1373,Total Referencial:,90000,Total Adjudicado:,52500,Total Recepcionado:,52500
21-1605-00-1129263-1-1,1373,Total Referencial:,80000,Total Adjudicado:,50000,Total Recepcionado:,50000
20-1324-00-1046098-0-E,1374,Total Adjudicado:,24350,Total Recepcionado:,24350,,
20-1206-00-1052348-0-E,1375,Total Adjudicado:,27622,Total Recepcionado:,27622,,
20-0903-00-1042769-0-E,1376,Total Adjudicado:,29750,Total Recepcionado:,29750,,
20-1507-00-1083439-1-1,1377,Total Referencial:,174050,Total Adjudicado:,127150,Total Recepcionado:,127150
20-1801-00-1087317-1-1,1378,Total Referencial:,410000,Total Recepcionado:,409999,,
20-1306-00-1051502-0-E,1379,Total Adjudicado:,47135,Total Recepcionado:,47135,,
20-1201-00-1038606-0-E,1380,Total Adjudicado:,24000,Total Recepcionado:,24000,,
20-1324-00-1046502-0-E,1381,Total Adjudicado:,22050,Total Recepcionado:,22050,,
20-1303-00-1041821-0-E,1382,Total Adjudicado:,45000,Total Recepcionado:,45000,,
20-1338-00-1064029-1-1,1383,Total Referencial:,165390,Total Adjudicado:,156000,Total Recepcionado:,156000
20-1805-00-1037414-0-E,1384,Total Adjudicado:,101300,Total Recepcionado:,101300,,
20-1301-00-1044812-0-E,1385,Total Adjudicado:,246660,,,,
20-1312-00-1046260-0-E,1387,Total Adjudicado:,72600,Total Recepcionado:,137850,,
20-0411-00-1077215-1-1,1388,Total Referencial:,402690,Total Recepcionado:,402690,,
20-1227-00-1095667-1-1,1389,Total Referencial:,60810,Total Recepcionado:,60810,,
20-1306-00-1039682-0-E,1390,Total Adjudicado:,171140,Total Recepcionado:,171140,,
20-1430-00-1102234-1-1,1391,Total Referencial:,23950,Total Recepcionado:,23887,,
20-1301-00-1100106-1-1,1392,Total Referencial:,800000,Total Recepcionado:,542350,,
20-1701-00-1047928-0-E,1393,Total Adjudicado:,28608,Total Recepcionado:,28608,,
20-1221-00-1039367-0-E,1394,Total Adjudicado:,536340,Total Recepcionado:,536340,,
20-1205-00-1088454-1-1,1395,Total Referencial:,652110,Total Recepcionado:,652110,,
20-1514-00-1094130-1-1,1396,Total Referencial:,118925,Total Adjudicado:,114300,Total Recepcionado:,114300
20-1801-00-1045163-0-E,1397,Total Adjudicado:,27510,Total Recepcionado:,27510,,
20-1245-00-1087780-1-1,1398,Total Referencial:,25098,Total Recepcionado:,25098,,
20-1605-00-1041125-0-E,1399,Total Adjudicado:,430150,Total Recepcionado:,430150,,
20-1255-00-1048083-0-E,1400,Total Adjudicado:,21374,Total Recepcionado:,21374,,
20-1325-00-1097228-1-1,1401,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1122-00-1094092-1-1,1402,Total Referencial:,49462.3,Total Recepcionado:,48080,,
20-0418-07-1051585-0-E,1403,Total Adjudicado:,24907.52,Total Recepcionado:,24907.52,,
20-1336-00-1094706-1-1,1404,Total Referencial:,240000,Total Recepcionado:,240000,,
21-1501-00-1117118-1-1,1405,Total Referencial:,49500,Total Recepcionado:,49500,,
20-0908-36-1075749-1-1,1406,Total Referencial:,498320,Total Adjudicado:,336570.2,Total Recepcionado:,
20-1119-00-1092838-1-2,1407,Total Referencial:,198500,Total Adjudicado:,83759,Total Recepcionado:,
20-1120-00-1042350-0-E,1408,Total Adjudicado:,61864,Total Recepcionado:,61864,,
21-1301-00-1121636-1-1,1409,Total Referencial:,42000,Total Recepcionado:,42000,,
21-1266-00-1116386-1-1,1410,Total Referencial:,159264,Total Adjudicado:,147000,Total Recepcionado:,147000
20-1312-00-1040943-0-E,1411,Total Adjudicado:,24000,Total Recepcionado:,24000,,
20-1907-00-1096959-1-1,1412,Total Referencial:,36740.6,Total Recepcionado:,36740.6,,
20-1312-00-1040965-0-E,1413,Total Adjudicado:,49200,Total Recepcionado:,49200,,
20-0418-07-1047188-0-E,1414,Total Adjudicado:,355600,Total Recepcionado:,355600,,
21-0423-00-1147977-1-1,1415,Total Referencial:,48750,Total Recepcionado:,48750,,
20-1501-00-1077776-1-1,1416,Total Referencial:,39390,Total Recepcionado:,39390,,
20-1120-00-1076029-1-1,1417,Total Referencial:,1079846,Total Adjudicado:,1032118,Total Recepcionado:,1032118
20-1302-00-1050075-0-E,1418,Total Adjudicado:,56800,Total Recepcionado:,56800,,
20-1734-00-1046545-0-E,1419,Total Adjudicado:,45050,Total Recepcionado:,45050,,
20-0418-07-1043375-0-E,1420,Total Adjudicado:,60000,Total Recepcionado:,60000,,
20-1315-00-1040617-0-E,1421,Total Adjudicado:,171100,Total Recepcionado:,171100,,
20-1206-00-1089600-1-2,1422,Total Referencial:,450000,Total Recepcionado:,450000,,
21-1610-00-1147923-1-1,1423,Total Referencial:,179200,Total Adjudicado:,168700,Total Recepcionado:,168700
20-1414-00-1087985-1-1,1424,Total Referencial:,27493.05,Total Recepcionado:,27493.05,,
21-0901-02-1160154-1-2,1425,Total Referencial:,254000,Total Recepcionado:,254000,,
20-4601-03-1038370-0-E,1426,Total Adjudicado:,27524,Total Recepcionado:,27524,,
21-0513-00-1106566-1-1,1427,Total Referencial:,199182,Total Adjudicado:,156850,Total Recepcionado:,
20-1315-00-1039774-0-E,1428,Total Adjudicado:,28280,Total Recepcionado:,28280,,
20-1427-00-1069040-1-1,1429,Total Referencial:,330500,Total Adjudicado:,330410.5,,
20-1201-00-1038630-0-E,1430,Total Adjudicado:,27100,Total Recepcionado:,27100,,
20-1227-00-1044454-0-E,1431,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-1701-00-1043643-0-E,1432,Total Adjudicado:,271440,Total Recepcionado:,271440,,
20-1205-00-1090713-1-1,1433,Total Referencial:,280000,Total Recepcionado:,233800,,
20-1301-00-1047108-0-E,1434,Total Adjudicado:,570912,Total Recepcionado:,570912,,
20-1319-00-1081122-1-1,1435,Total Referencial:,392050,Total Adjudicado:,146039,Total Recepcionado:,146039
21-0901-02-1146612-1-2,1436,Total Referencial:,63000,Total Recepcionado:,37125,,
20-1801-00-1040119-0-E,1437,Total Adjudicado:,28500,Total Recepcionado:,28500,,
20-0901-02-1097093-1-1,1438,Total Referencial:,69000,Total Recepcionado:,69000,,
20-1605-00-1038233-0-E,1439,Total Adjudicado:,32085,Total Recepcionado:,32085,,
20-4601-00-1037880-0-E,1440,Total Adjudicado:,46800,Total Recepcionado:,46800,,
20-1302-00-1051626-0-E,1441,Total Adjudicado:,26100,Total Recepcionado:,26100,,
20-1605-00-1089646-1-1,1442,Total Referencial:,297604,Total Adjudicado:,297540,Total Recepcionado:,297540
20-1119-00-1088571-1-1,1443,Total Referencial:,285000,Total Adjudicado:,275000,Total Recepcionado:,275000
20-4601-00-1037552-0-E,1444,Total Adjudicado:,36310,Total Recepcionado:,36310,,
20-1507-00-1052002-0-E,1445,Total Adjudicado:,111000,Total Recepcionado:,111000,,
20-1514-00-1041858-0-E,1446,Total Adjudicado:,31500,Total Recepcionado:,31500,,
20-1317-00-1041739-0-E,1447,Total Adjudicado:,38500,Total Recepcionado:,38500,,
20-0423-00-1080997-1-1,1448,Total Referencial:,36350,Total Recepcionado:,36350,,
20-1345-00-1067251-1-1,1449,Total Referencial:,644410,Total Adjudicado:,376520,Total Recepcionado:,376520
20-0903-00-1041033-0-E,1450,Total Adjudicado:,760000,,,,
