tema,cuce,entidad,tipo_contratacion,modalidad,objeto,estado.x,subasta,fecha_presentacion,fecha_publicacion,archivos,formularios,ficha_proceso,persona_contacto,garantia,costo_pliego,arpc,reunion_aclaracion,fecha_adjudicacion_desierta,departamento,normativa,numero,codigo_unspsc,objeto_de_gasto,descripcion_del_bien_o_servicio,unidad_de_medida,cantidad,precio_referencial_unitario,precio_referencial_total,nombre_o_razon_social_del_proponente_adjudicado,precio_unitario_adjudicado,total_adjudicado,cantidad_recepcionada,precio_unitario_real,monto_real_ejecutado,estado.y,cronograma
covid,20-0908-00-1047029-0-E,Gobierno Autónomo Departamental Del Beni,Bienes,CD,Aduisicion De Un Autoclave De 21 Litros Para El Centro Centinela Covid 19 Dependiente Del Gobierno Autonomo Dptal Del Beni,Contratado,NA,NA,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Fernando Perez Vargas (Telf: 46-24830),NA,NA,-,NA,2020-03-25,Beni,NB-SABS (D.S.0181),1,4110000,43400,ADUISICION DE UN AUTOCLAVE DE 21 LITROS PARA EL CENTRO CENTINELA COVID 19 DEPENDIENTE DEL GOBIERNO AUTONOMO DPTAL DEL BENI,PIEZAS,1,NA,NA,LIDERMED S.R.L.,25000,25000,1,25000,25000,Contratado,Cronograma
covid,20-0908-00-1043619-0-E,Gobierno Autónomo Departamental Del Beni,Bienes,CD,Adquisicion De Equipos Medicos 15 Camas Hospitalarias Para Adulto Con Colchon Para El Centro Centinela Covid-19 Depediente Del Gobierno Autonomo Departamental Del Beni,Contratado,NA,NA,2020-06-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Fernando Perez Vargas (Telf: 46-24830),NA,NA,-,NA,2020-03-25,Beni,NB-SABS (D.S.0181),1,4110000,43400,ADQUISICION DE EQUIPOS MEDICOS 15 CAMAS HOSPITALARIAS PARA ADULTO CON COLCHON PARA EL CENTRO CENTINELA COVID-19 DEPEDIENTE DEL GOBIERNO AUTONOMO DEPARTAMENTAL DEL BENI,PIEZAS,15,NA,NA,LIDERMED S.R.L.,9000,135000,15,9000,135000,Contratado,Cronograma
covid,20-0902-43-1044746-0-E,Hospital Del Norte,Bienes,CM,Adquisicion De Agua Para Inyeccion Y Antisepticos De Uso Hospitalario Covid - 19,Contratado,NA,NA,2020-06-29,Res. de Adjudicacion (nota)Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitivaActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rene Napoleon Mamani Choque (Telf: 2864070),NA,NA,-,NA,2020-06-03,La Paz,NB-SABS (D.S.0181),1,5121000,34200,AGUA PARA INYECCION,INYECTA BLE,10000,NA,NA,OVIEDO HUERTA AYDA LILA,0.6,6000,10000,0.6,6000,Contratado,Cronograma
covid,20-1313-00-1047071-0-E,Gobierno Autonomo Municipal De Colomi,Bienes,OF,Adquisiciã??N De Insumos De Bioseguridad Covid 19,Contratado,NA,NA,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Calixtino Lopez . (Telf: 4340640),NA,NA,-,NA,2020-05-26,Cochabamba,Otra Normativa especifica,1,4214000,34200,BARBIJOS DESCARTABLES DE 3 PLIEGUES,PIEZA,220,NA,NA,DISLAB IMPORTACIONES S.R.L.,200,44000,220,200,44000,Contratado,Cronograma
covid,20-0906-00-1046824-0-E,Gobierno Autónomo Departamental De Tarija,Bienes,EM,Adquisicion De Test Individual Covid-19 Para La Prevencion Control Y Atencion De La Pandemia A Solicitud De La Secretaria Departamental De Desarrollo Humano Dependiente Del Gobierno Autonomo Departamental De Tarija,Contratado,NA,NA,2020-06-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Antonio Marcelo Casso Nieva (Telf: .),NA,NA,-,NA,2020-06-12,Tarija,NB-SABS (D.S.0181),1,4213000,34200,TEST INDIVIDUAL COVID-19,PIEZAS,10000,NA,NA,ARBOTT LTDA.,85,850000,10000,85,850000,Contratado,Cronograma
covid,20-0908-00-1046956-0-E,Gobierno Autónomo Departamental Del Beni,Bienes,CD,Adquisicion De Quince Porta Sueros Rodables Para El Centro Centinela Covid 19 Dependiente Del Gobierno Autonomo Dptal Del Beni,Contratado,NA,NA,2020-06-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Fernando Perez Vargas (Telf: 46-24830),NA,NA,-,NA,2020-03-25,Beni,NB-SABS (D.S.0181),1,4110000,43400,15 PORTA SUEROS RODABLES,PIEZAS,15,NA,NA,LIDERMED S.R.L.,1800,27000,15,1800,27000,Contratado,Cronograma
covid,20-0908-00-1046937-0-E,Gobierno Autónomo Departamental Del Beni,Bienes,CD,Adquisicion De Equipos Medicos 5 Camas Hospitalaria Pediatrica Con Colchon Para El Centro Centinela Covid 19 Dependiente Del Gobierno Autonomo Dptal Del Beni,Contratado,NA,NA,2020-06-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Fernando Perez Vargas (Telf: 46-24830),NA,NA,-,NA,2020-03-25,Beni,NB-SABS (D.S.0181),1,4229000,43400,5 CAMAS HOSPITALARIA PEDIATRICA CON COLCHON,PIEZAS,5,NA,NA,LIDERMED S.R.L.,12000,60000,5,12000,60000,Contratado,Cronograma
covid,20-0417-00-1042499-0-E,Caja Nacional De Salud - Cns,Bienes,CD,Adquisiciã?N De Productos QuãMicos Farmacã?Uticos ? Medicamentos Covid-19 Lote 10,Contratado,NA,NA,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Elsi Sara Saenz Callejas (Telf: 2333496 - 2311630),NA,NA,-,NA,2020-05-14,La Paz,NB-SABS (D.S.0181),1,5121000,34200,MORFINA SULFATO 10GM/ML,AMPOLLA,7590,NA,NA,COFARBOL LTDA,11.5,87285,7590,11.5,87285,Contratado,Cronograma
covid,20-0417-00-1042511-0-E,Caja Nacional De Salud - Cns,Bienes,CD,Adquisiciã?N De Productos QuãMicos Farmacã?Uticos ? Medicamentos Covid-19 Lote 9,Contratado,NA,NA,2020-06-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Elsi Sara Saenz Callejas (Telf: 2333496 - 2311630),NA,NA,-,NA,2020-05-14,La Paz,NB-SABS (D.S.0181),1,5121000,34200,HIDROXICLOROQUINA SULFATO,COMPRI MIDO,65140,NA,NA,LABORATORIOS IFA S.A.,4.1,267074,65140,4.1,267074,Contratado,Cronograma
covid,20-0908-00-1047018-0-E,Gobierno Autónomo Departamental Del Beni,Bienes,CD,Adquisicion De Dos Estabilizador Para El Centro Centinela Covid 19 Dependiente Del Gobierno Autonomo Dptal Del Beni,Contratado,NA,NA,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Fernando Perez Vargas (Telf: 46-24830),NA,NA,-,NA,2020-03-25,Beni,NB-SABS (D.S.0181),1,4110000,43400,ADQUISICION DE DOS ESTABILIZADOR PARA EL CENTRO CENTINELA COVID 19 DEPENDIENTE DEL GOBIERNO AUTONOMO DPTAL DEL BENI,PIEZAS,2,NA,NA,LIDERMED S.R.L.,10000,20000,2,10000,20000,Contratado,Cronograma
oxigeno,20-1346-00-1047059-0-E,Gobierno Autonomo Municipal De Cocapata,Bienes,CM,Adquisicion De Tanques De Oxigeno Medicinal,Contratado,NA,NA,2020-06-29,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Delia Rojas Mamani (Telf: 4368962),NA,NA,-,NA,2020-05-28,Cochabamba,NB-SABS (D.S.0181),1,4110000,43400,CILINDRO DE ALUMINIO 02 COMPLETO CAPACIDAD M3,UNIDAD,4,NA,NA,PRAXAIR BOLIVIA S.R.L.,3650,14600,4,3650,14600,Contratado,Cronograma
oxigeno,20-1312-00-1037166-1-2,Gobierno Autonomo Municipal De Sacaba,Bienes,ANPE,Servicios Y Equipamiento Hospital Solomon Klein (Adquisición De Oxigeno Medicinal Para El  Hospital Solomon Klein),Contratado,NA,2020-07-03,2020-06-29,Documento Base de ContratacionConvocatoriaRes. de Adjudicacion (nota)Informe de la Comision/Responsable de EvaluacionContrato/Orden de Compra/Orden de Servicio,FORM 100FORM 170FORM 200,Ver Ficha,Jose Angel Olmos Rojas (Telf: 4702301),NA,NA,-,NA,2020-07-06,Cochabamba,NB-SABS (D.S.0181),1,5121000,34200,OXIGENO MEDICINAL,metros cub,8000,14,112000,PRAXAIR BOLIVIA S.R.L.,14,112000,NA,NA,NA,Contratado,Cronograma 0
oxigeno,20-0417-09-1047028-0-E,Caja Nacional De Salud - Regional La Paz,Bienes,CM,20 Pza. Manometro De Oxigeno. Administracion Hies Luo,Contratado,NA,NA,2020-06-29,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Brayan Luis Cabrera Vera (Telf: 2-901777),NA,NA,-,NA,2020-06-15,La Paz,NB-SABS (D.S.0181),1,2410000,39800,20 PZA. MANOMETRO DE OXIGENO. ADMINISTRACION HIES LUO,PZA.,20,NA,NA,MARTINEZ VILASECA ROBERTO,2500,50000,NA,NA,NA,Contratado,Cronograma
alcohol,20-0417-05-1047153-0-E,Caja Nacional De Salud (Regional Oruro),Bienes,CM,Alcohol 70% (Alm.Medic),Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Roxana Quispe Cortez (Telf: 5251480),NA,NA,-,NA,2020-06-02,Oruro,NB-SABS (D.S.0181),1,4214000,34200,ALCOHOL 70%,FCO,2000,NA,NA,GAMARRA AILLON ANA LOURDES ROCIO,19.5,39000,2000,19.5,39000,Contratado,Cronograma
alcohol,20-0417-04-1047244-0-E,Caja Nacional De Salud Regional Cochabamba,Bienes,CD,Compra Alcohol En Gel De 500ml Para Supervision Regional De Enfermeria Gestion 2020,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Boris Javier Alarcon Hinojosa (Telf: 4234378),NA,NA,-,NA,2020-05-04,Cochabamba,NB-SABS (D.S.0181),1,4228000,34200,ALCOHOL EN GEL DE 500ML,FCO,20000,NA,NA,SPARTAN DE BOLIVIA SRL,20,400000,NA,NA,NA,Contratado,Cronograma
alcohol,20-0418-10-1047064-0-E,Caja Petrolera De Salud Administracion Regional Camiri,Bienes,CD,"Adquisicion De 200 Overoles, 200 Batas Descechables, 50 Cajas De Guantes, 50 Paquetes De Gorra, , 50 Paquetes De Cubre, Zapatos Y 60 Protectores Faciales, 50 Cajas De Barbijos, 1.000 Mascarillas Medicas, 5.000 Guantes Esteriles De Nitrilo, 200 Delantales De Plastico, 60 Gafas Protectoras, 1.000 Frascos De Alcohol En Gel De 500 Ml, 350 Jabones Liquido, 1500 Unidades De Toalla Desechable , 500 Bolsas Para Desecho Hospitalario, 10 Bolsas Para Cadaveres 50 Unidades De Funda Colchon Plastica.",Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de ServicioContrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Elio Aoiz Carballo (Telf: 9528535),NA,NA,-,NA,2020-04-21,Santa Cruz,NB-SABS (D.S.0181),1,4618000,34200,"ADQUISICION DE 200 OVEROLES, 200 BATAS DESCECHABLES, 50 CAJAS DE GUANTES, 50 PAQUETES DE GORRA, , 50 PAQUETES DE CUBRE, ZAPATOS Y 60 PROTECTORES FACIALES",UNIDADE S,1,NA,NA,INTERMEDICAL S.R.L.,59100,59100,NA,NA,NA,Contratado,Cronograma
coronavirus,20-1818-00-1047271-0-E,Gobierno Autonomo Municipal De Baures,Bienes,CD,"Adquisicion De Insumos, Medicamentos Y Reactivos - Emergencia Coronavirus",Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Jose Luis Suarez Perez (Telf: 67271485),NA,NA,-,NA,2020-03-27,Beni,D.S. 4174 (COVID-19),1,5121000,34200,"ADQUISICION DE INSUMOS, MEDICAMENTOS Y REACTIVOS - EMERGENCIA CORONAVIRUS",GLOBAL,1,NA,NA,ROSA ALICIA ONI ATIARE,125828.44,125828.44,NA,NA,NA,Contratado,Cronograma
coronavirus,20-1301-00-1047249-0-E,Gobierno Autonomo Municipal De Cochabamba,Bienes,CD,"Adquisicion De Monitor Con Capnografia Y Presion Invasiva 2 Para La Prevencion, Control Y Atencion Del Coronavirus",Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Hamel Let Jacinto Ossa Lozada (Telf: 4258103- 4425810-4258030),NA,NA,-,NA,2020-06-01,Cochabamba,NB-SABS (D.S.0181),1,4214000,43400,MONITOR CON CAPNOGRAFIA Y PRESION INVASIVA 2,PIEZA,3,NA,NA,COMPAÑIA DE SERVICIOS INTERNACIONALES LIMITADA COSIN LTDA.,150000,450000,NA,NA,NA,Contratado,Cronograma
coronavirus,20-1301-00-1047272-0-E,Gobierno Autonomo Municipal De Cochabamba,Bienes,CD,Adquisicion Llave De Tres Vias Y Sondas Foley Para La Atencion Coronavirus,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota),FORM 400,Ver Ficha,Hamel Let Jacinto Ossa Lozada (Telf: 4258103- 4425810-4258030),NA,NA,-,NA,2020-06-04,Cochabamba,NB-SABS (D.S.0181),1,4217000,34200,LLAVE DE TRES VIAS SIN ALARGADOR,PIEZA,1000,NA,NA,TERRAZAS RIVAS MIGUEL ANGEL,3.5,3500,NA,NA,NA,Contratado,Cronograma
coronavirus,20-1303-00-1047149-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Equipos De Fumigacion Para La Prevencion Control Y Atencion Del Coronavirus En El Municipio De Sipe Sipe,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-03-27,Cochabamba,NB-SABS (D.S.0181),1,2110000,43700,MOTOFUMIGADORA DE 25 LITROS,EQUIPO,6,NA,NA,ARMANDO CESPEDES SOTO,3600,21600,6,3600,21600,Contratado,Cronograma
coronavirus,20-1221-00-1047168-0-E,Gobierno Autonomo Municipal De Colquiri,Bienes,CM,Prevencion Control Y Atencion Del Coronavirus (Adquisicion De Tunel De Desineccion Peatonal),Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Omar Fernando Roman Fernandez (Telf: 71554270),NA,NA,-,NA,2020-04-24,La Paz,NB-SABS (D.S.0181),1,1310000,34500,ESTRUCTURAS TUNEL DE DESINFECCION PEATONAL,UNIDAD,15,NA,NA,FLORES MIER RICHARD HEBERT,2535,38025,15,2535,38025,Contratado,Cronograma
coronavirus,20-0906-03-1047134-0-E,Servicio Departamental De Salud Tarija - Sedes,Bienes,CM,Compra Instrumental Menor Medico Qurugico Para Laboratorio - Programa Coronavirus Sedes Tarija,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rolando Lizarazu Garzon (Telf: 4-6643257),NA,NA,-,NA,2020-06-26,Tarija,NB-SABS (D.S.0181),1,4112000,34200,ALCOHOL ISOPROPILICO GRADO PCR: (X 500 ML),FRASCO,2,NA,NA,EMPRESA  SUMINISTRO DEL LABORATORIO CIENTIFICO S.R.L.,1200,2400,2,1200,2400,Contratado,Cronograma
coronavirus,20-0418-07-1047188-0-E,Caja Petrolera De Salud Administracion Departamental Santa Cruz,Bienes,CD,"Aquisicion De Insumos Hospitalarios (Botas Descartables, Gorros Y Guantes) Para Ejecucion Del Plan De Contingencia Departamental Coronavirus Covid 19 Unid. Jtra. De Servicio De Salud Cps (Ds 4174 Cioronavirus Covid 19)",Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Julio Cesar Bonilla Yerbales (Telf: 3339111),NA,NA,-,NA,2020-05-22,Santa Cruz,D.S. 4174 (COVID-19),1,4213000,34200,BOTAS DESCARTABLES PARA CIRUGIA,PAR,10000,NA,NA,ABUAWAD TELCHI MARIA DEL ROSARIO,1.6,16000,10000,1.6,16000,Contratado,Cronograma
coronavirus,20-1402-00-1046625-0-E,Gobierno Autonomo Municipal De Caracollo,Bienes,CD,Prevencion Control Y Atencion Del Coronavirus - Adq. De Materiales De Construccion Para El Mant. Y Mejoramiento Centro De Capacitacion Cadea Para Zona De Aislamiento Covid - 19 Y De Tanques De Agua Con Bases Metalicos,Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Rene Freddy Nina Antonio (Telf: 25290005),NA,NA,-,NA,2020-04-28,Oruro,NB-SABS (D.S.0181),1,3116000,34500,CINTA AISLANTE GRANDE,PZA,4,NA,NA,SALINAS LAURA DE CATARI IRMA SALOME,15,60,4,15,60,Contratado,Cronograma
coronavirus,20-1303-00-1047204-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Equipamiento Para El Area De Aislamiento Para Combatir El Coronavirus (Covid-19),Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-05-19,Cochabamba,NB-SABS (D.S.0181),1,4214000,39400,MASCARILLA DE OXIGENO PEDIATRICO,PIEZA,5,NA,NA,VELIZ GUZMAN ISAIAS,110,550,5,110,550,Contratado,Cronograma
covid,20-1801-00-1046356-0-E,Gobierno Autonomo Municipal De Santisima Trinidad,Bienes,EM,Adquisicion De Feretros (Segunda Compra) Por Emergencia Del Covid-19 En Cumplimiento Al Decreto Supremo N° 4228/2020,Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,"Eulis Cuellar Cardona (Telf: 4621477, 4621322)",NA,NA,-,NA,2020-06-24,Beni,NB-SABS (D.S.0181),1,2323000,31300,FERETROS,PIEZA,50,NA,NA,IRIARTE DORADO KAREN,450,22500,50,450,22500,Contratado,Cronograma
covid,20-1801-00-1046818-0-E,Gobierno Autonomo Municipal De Santisima Trinidad,Bienes,EM,Adquisicion De Alimentacion Para Medicos Voluntarios De Otros Departamentos Que Daran Continuidad A Las Acciones De Apoyo En La Asistencia De Salud De Los Pacientes Con Sintomas De Covid - 19,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioInformeRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,"Eulis Cuellar Cardona (Telf: 4621477, 4621322)",NA,NA,-,NA,2020-06-12,Beni,NB-SABS (D.S.0181),1,5011000,31150,ALIMENTACION,RACION,1,NA,NA,DAMARYS VACA SALINAS,49920,49920,1,49920,49920,Contratado,Cronograma
covid,20-0902-01-1047261-0-E,Servicio Departamental De Salud La Paz Sedes,Bienes,CM,Adquisición De Guantes Desechables Para Covid - 19 Unidad De Epidemiologia E Investigación,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Ondarza Cofiel (Telf: 2443885),NA,NA,-,NA,2020-06-29,La Paz,NB-SABS (D.S.0181),1,4214000,34500,GUANTES DESECHABLES,CAJAS,665,NA,NA,INMEDENT S.R.L.,75,49875,665,75,49875,Contratado,Cronograma
covid,20-0902-01-1047265-0-E,Servicio Departamental De Salud La Paz Sedes,Bienes,CM,Adquisición De Trajes De Bioseguridad Tipo 3 Para Covid - 19,Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Marco Antonio Ondarza Cofiel (Telf: 2443885),NA,NA,-,NA,2020-06-29,La Paz,NB-SABS (D.S.0181),1,4213000,34500,TRAJES DE PROTECCIÓN,PIEZAS,526,NA,NA,INMEDENT S.R.L.,95,49970,526,95,49970,Contratado,Cronograma
covid,20-0374-00-1047368-0-E,Agencia De Gobierno Electronico Y Tecnologias De Informacion Y Comunicacion,Bienes,CM,Adquisicion De Insumos De Bioseguridad Por Emergencia Sanitaria Covid - 19,Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Pamela Gutierrez Loza (Telf: ),NA,NA,-,NA,2020-05-29,La Paz,NB-SABS (D.S.0181),1,1115000,34500,BARBIJOS,PIEZAS,800,NA,NA,ORELLANA VILLALOBOS JOSE ANGEL,58,46400,800,58,46400,Contratado,Cronograma
covid,20-0902-43-1047092-0-E,Hospital Del Norte,Bienes,CM,Adquisicion De Pruebas Rapidas Para Covid 19,Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Esther Jimena Hilario Espejo (Telf: 2864070),NA,NA,-,NA,2020-06-25,La Paz,NB-SABS (D.S.0181),1,5121000,34200,PRUEBA RAPIDA PARA COVID 19 LGG/LGM,CAJA X25UNID ADES,11,NA,NA,LESO ANALITICO S.R.L.,3990,43890,11,3990,43890,Contratado,Cronograma
covid,20-0046-20-1044683-0-E,Seguro Social Universitario - La Paz,Bienes,CM,"Elaboracion Y Armado De Divisiones Del Area Destinada A Pacientes Covid - 19, Considerando 3 Manparas De 4 Mts. De Largo X 2,60 Mts. De Alto Y Cuatro Puertas Corredizas Dobles De 2,4 Mts. De Ancho X 2,60 De Alto, Los Cuales Rendran Policarbonato Y Vidrio",Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de ServicioActa o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Javier Rodrigo Arratia Chipana (Telf: 2434262),NA,NA,-,NA,2020-06-08,La Paz,NB-SABS (D.S.0181),1,3010000,24110,"ELABORACION Y ARMADO DE DIVISIONES DEL AREA DESTINADA A PACIENTES COVID - 19, CONSIDERANDO 3 MANPARAS DE 4 MTS. DE LARGO X 2,60 MTS. DE ALTO Y CUATRO PUERTAS CORREDIZAS DOBLES DE 2,4 MTS. DE ANCHO X 2",PIEZA,1,NA,NA,LUDEÑO LAGUNA RUBEN DANIEL,23500,23500,1,23500,23500,Contratado,Cronograma
covid,20-1604-00-1047073-0-E,Gobierno Autonomo Municipal De Yacuiba,Bienes,CD,Adquisicion De Combustible Diesel Oil Para Cubrir Las Actividades Del Covid-19,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Informe,FORM 400,Ver Ficha,Oscar Guido Quisbert  (Telf: 6822021 / 6822206),NA,NA,-,NA,2020-06-24,Tarija,NB-SABS (D.S.0181),1,1510000,34100,DIESEL OIL,LITRO,55000,NA,NA,AQUINO ALVARADO IVAN ELIAS,3.72,204600,NA,NA,NA,Contratado,Cronograma
covid,20-1313-00-1047098-0-E,Gobierno Autonomo Municipal De Colomi,Bienes,OF,Adquisicion De Insumos Para Traslado De Paciente Y Adquisicion Material De Limpieza Y Desinfeccion Para El Covid 19,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Calixtino Lopez . (Telf: 4340640),NA,NA,-,NA,2020-05-26,Cochabamba,Otra Normativa especifica,1,4713000,39100,AMIQUIN PLUS 750 ML,PIEZA,300,NA,NA,DISLAB IMPORTACIONES S.R.L.,250,75000,300,250,75000,Contratado,Cronograma
covid,20-1201-00-1046786-0-E,Gobierno Autonomo Municipal De La Paz,Bienes,CM,Adquisiciã?N De Midalozam Para Atencion De Pacientes Covid 19 - Hospital Municipal La Portada - Gestion 2020,Contratado,NA,NA,2020-06-30,Res. de Adjudicacion (nota)Contrato/Orden de Compra/Orden de Servicio,FORM 400,Ver Ficha,Victor Hugo Humerez Collque (Telf: 2203034),NA,NA,-,NA,2020-05-07,La Paz,NB-SABS (D.S.0181),1,5121000,34200,MEDICAMENTOS EN PRESENTACION LIQUIDA- MIDAZOLAM (3ML) 5MG/ML AMPOLLA,INYECTA BLE,3000,NA,NA,COFARBOL LTDA,16.5,49500,NA,NA,NA,Contratado,Cronograma
covid,20-1303-00-1046157-0-E,Gobierno Autonomo Municipal De Sipe Sipe,Bienes,CM,Compra De Mascarillas Ffp2 Kn95 Y Lentes De Seguridad Para La Atencion De Pacientes En Esta Emergencia Sanitaria Del Covid-19 Para El Hospital Señor De Los Milagros De Sipe Sipe,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Leonardo Hinojosa Siles (Telf: 4381932),NA,NA,-,NA,2020-05-19,Cochabamba,NB-SABS (D.S.0181),1,5310000,33300,GAFAS DE SEGURIDAD MEDICA,PIEZA,110,NA,NA,VARGAS ZABALAGA MARCIA SDENKA,160,17600,110,160,17600,Contratado,Cronograma
covid,20-0908-00-1047150-0-E,Gobierno Autónomo Departamental Del Beni,Bienes,CD,Adquisicion De Dos Concentradores De Oxigeno Para El Centro Centinela Covid 19 Dependiente Del Gobierno Autonomo Dptal Beni,Contratado,NA,NA,2020-06-30,Contrato/Orden de Compra/Orden de ServicioRes. de Adjudicacion (nota)Acta o informe de recepcion definitiva,FORM 400FORM 500,Ver Ficha,Luis Fernando Perez Vargas (Telf: 46-24830),NA,NA,-,NA,2020-04-18,Beni,NB-SABS (D.S.0181),1,4110000,43400,ADQUISICION DE DOS CONCENTRADORES DE OXIGENO PARA EL CENTRO CENTINELA COVID 19 DEPENDIENTE DEL GOBIERNO AUTONOMO DPTAL BEN,PIEZAS,2,NA,NA,LIDERMED S.R.L.,25000,50000,2,25000,50000,Contratado,Cronograma
