cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-1605-00-1042981-0-E,Total Adjudicado:,51352,Total Recepcionado:,51352,,
21-1310-00-1107618-1-1,Total Referencial:,76181,Total Recepcionado:,73914.9,,
21-0417-03-1153688-1-1,Total Referencial:,38400,Total Recepcionado:,24960,,
20-1201-00-1036263-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0411-00-1090290-1-1,Total Referencial:,44710,Total Recepcionado:,35840,,
20-1801-00-1085827-1-1,Total Referencial:,56100,Total Recepcionado:,54000,,
21-1324-00-1181257-1-1,Total Referencial:,,,,,
21-1324-00-1181257-1-1,Total Recepcionado:,,,,,
21-1706-00-1150531-1-1,Total Referencial:,145898.28,Total Recepcionado:,81537,,
20-0906-03-1040726-0-E,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-1801-00-1040664-0-E,Total Adjudicado:,196300,Total Recepcionado:,196300,,
20-0902-01-1046764-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-0902-00-1042169-0-E,Total Adjudicado:,2103492.2,Total Recepcionado:,2103492.2,,
20-1801-00-1090589-1-1,Total Referencial:,105650,Total Recepcionado:,105335,,
20-1262-00-1090068-1-1,Total Referencial:,342824,Total Adjudicado:,342000,Total Recepcionado:,342000
20-4601-03-1042164-0-E,Total Adjudicado:,49499,Total Recepcionado:,49499,,
20-1801-00-1085845-1-1,Total Referencial:,71400,Total Recepcionado:,35689.8,,
21-0905-00-1183120-1-1,Total Referencial:,45500,Total Recepcionado:,45500,,
20-1739-00-1089001-1-2,Total Referencial:,345388,Total Recepcionado:,324488,,
20-0902-44-1046068-1-1,Total Referencial:,114000,Total Adjudicado:,114000,,
20-0417-06-1094715-1-1,Total Referencial:,45000,Total Recepcionado:,36000,,
20-0902-40-1045866-1-1,Total Referencial:,385000,Total Adjudicado:,313500,Total Recepcionado:,313500
20-1432-00-1098297-1-1,Total Referencial:,23361,Total Recepcionado:,23361,,
20-0908-36-1049447-0-E,Total Adjudicado:,43120,Total Recepcionado:,43120,,
20-1305-00-1098038-1-1,Total Referencial:,518010,,,,
20-1312-00-1092390-1-1,Total Referencial:,945599.8500000001,Total Recepcionado:,652430.39,,
20-0417-09-1076008-1-1,Total Referencial:,76136.68000000001,Total Adjudicado:,60912.119999999995,Total Recepcionado:,60912.119999999995
20-0138-00-1062014-2-1,Total Referencial:,308040,Total Adjudicado:,308040,Total Recepcionado:,308040
20-0902-01-1052116-0-E,Total Adjudicado:,49950,Total Recepcionado:,49950,,
21-0138-00-1155207-1-1,Total Referencial:,326139,Total Adjudicado:,324500,Total Recepcionado:,324500
20-0908-36-1049457-0-E,Total Adjudicado:,39159.259999999995,Total Recepcionado:,39159.259999999995,,
21-1801-00-1129860-1-1,Total Referencial:,49999.5,Total Recepcionado:,49999.5,,
20-0411-00-1093396-1-1,Total Referencial:,33000,Total Recepcionado:,33000,,
20-0906-03-1038141-0-E,Total Adjudicado:,44268,Total Recepcionado:,44268,,
20-1113-00-1095071-1-1,Total Referencial:,49990,Total Recepcionado:,49990,,
21-0901-02-1170907-1-1,Total Referencial:,34020,Total Recepcionado:,23058,,
20-0411-00-1080395-1-1,Total Referencial:,148500,Total Recepcionado:,114675,,
20-1604-00-1093201-1-1,Total Referencial:,49960,Total Recepcionado:,49960,,
20-1336-00-1039179-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-0046-30-1053022-1-1,Total Referencial:,165000,Total Adjudicado:,150000,Total Recepcionado:,150000
21-0417-09-1142442-2-1,Total Referencial:,75000,Total Adjudicado:,74989.5,Total Recepcionado:,74989.5
20-1324-00-1045895-0-E,Total Adjudicado:,23000,Total Recepcionado:,23000,,
20-1720-00-1063331-2-1,Total Referencial:,73500,Total Adjudicado:,71588.61,,
20-1720-00-1063331-2-1,Total Referencial:,70492.8,Total Adjudicado:,70242.8,,
20-1720-00-1063331-2-1,Total Referencial:,45000,Total Adjudicado:,44500,,
20-1720-00-1063331-2-1,Total Referencial:,95350,Total Adjudicado:,94915,,
20-0417-09-1046756-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-0417-01-1048555-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1734-00-1046430-0-E,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-0660-12-1051697-0-E,Total Adjudicado:,10573.5,Total Recepcionado:,10573.5,,
20-0417-07-1078116-2-1,Total Referencial:,97500,Total Adjudicado:,48000,Total Recepcionado:,48000
20-0422-00-1055916-1-1,Total Referencial:,200000,Total Adjudicado:,42550,Total Recepcionado:,42550
20-0249-00-1037836-0-E,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-4601-00-1047422-0-E,Total Adjudicado:,49950,Total Recepcionado:,49950,,
21-0046-28-1114271-1-1,Total Referencial:,913741.2,Total Adjudicado:,299969.8,Total Recepcionado:,333819.8
21-0905-00-1164404-1-1,Total Referencial:,49440,Total Recepcionado:,49440,,
21-0417-01-1107706-1-1,Total Referencial:,32500,Total Recepcionado:,27500,,
20-1801-00-1088790-1-1,Total Referencial:,49967.4,Total Recepcionado:,48396,,
20-1201-00-1038983-0-E,Total Adjudicado:,24310,,,,
21-0417-03-1119794-2-1,Total Referencial:,650000,Total Adjudicado:,340000,Total Recepcionado:,340000
20-1734-00-1046499-0-E,Total Adjudicado:,35000,Total Recepcionado:,35000,,
21-1346-00-1113450-1-1,Total Referencial:,29422,Total Recepcionado:,23867.5,,
20-1423-00-1067905-1-3,Total Referencial:,186195.51,Total Adjudicado:,185322.38999999998,Total Recepcionado:,185322.38999999998
20-1801-00-1041822-0-E,Total Adjudicado:,98745,Total Recepcionado:,98745,,
20-1805-00-1052605-0-E,Total Adjudicado:,44400,Total Recepcionado:,44400,,
20-1301-00-1050046-0-E,Total Adjudicado:,103280,,,,
21-0423-00-1131722-1-1,Total Referencial:,48000,Total Recepcionado:,48000,,
21-0138-00-1111157-1-1,Total Referencial:,228846,Total Adjudicado:,228846,Total Recepcionado:,224842.1
20-1501-00-1099374-1-1,Total Referencial:,119890,Total Recepcionado:,119458,,
20-0903-00-1030531-2-1,Total Referencial:,179640,Total Adjudicado:,156643.8,Total Recepcionado:,156643.8
20-1302-00-1036469-0-E,Total Adjudicado:,25600,Total Recepcionado:,25600,,
20-1260-00-1044138-0-E,Total Adjudicado:,888950,Total Recepcionado:,888950,,
20-1201-00-1088213-1-1,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
20-1201-00-1043248-0-E,Total Adjudicado:,273000,Total Recepcionado:,273000,,
20-1305-00-1051966-0-E,Total Adjudicado:,600000,,,,
21-0418-03-1152683-1-1,Total Referencial:,39919.8,Total Recepcionado:,34304,,
20-1604-00-1039058-0-E,Total Adjudicado:,1206203.6,Total Recepcionado:,1206203.6,,
21-1517-00-1171331-1-1,Total Referencial:,25795,Total Recepcionado:,21835,,
20-1604-00-1042004-0-E,Total Adjudicado:,448443.75,,,,
21-0417-06-1120423-1-1,Total Referencial:,105478,Total Adjudicado:,84598,Total Recepcionado:,84598
20-0046-00-1040185-0-E,Total Adjudicado:,278850,Total Recepcionado:,278850,,
20-1312-00-1038592-0-E,Total Adjudicado:,49940,Total Recepcionado:,49940,,
21-1101-00-1173592-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1608-00-1082398-1-1,Total Referencial:,372000,Total Adjudicado:,349290,Total Recepcionado:,349290
20-0903-00-1043531-0-E,Total Adjudicado:,55000,,,,
21-1312-00-1151055-1-1,Total Referencial:,423872.28,Total Adjudicado:,413446.46,Total Recepcionado:,445930.79000000004
20-0901-02-1098588-1-1,Total Referencial:,66780,Total Recepcionado:,66780,,
21-0046-00-1124930-1-1,Total Referencial:,22470,Total Recepcionado:,9362.5,,
21-0901-00-1156120-1-2,Total Referencial:,493552,Total Adjudicado:,358507,Total Recepcionado:,358507
21-0417-06-1120415-1-1,Total Referencial:,487635,Total Adjudicado:,369860,Total Recepcionado:,369860
20-1305-00-1040976-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-0418-07-1048405-0-E,Total Adjudicado:,469000,Total Recepcionado:,469000,,
20-1115-00-1094017-1-1,Total Referencial:,49973.92,Total Recepcionado:,49973.92,,
21-1701-00-1187366-1-1,Total Referencial:,297028.6,Total Adjudicado:,107663,Total Recepcionado:,107663
20-1205-00-1092571-1-1,Total Referencial:,28000,Total Recepcionado:,28000,,
20-1701-00-1044207-0-E,Total Adjudicado:,77440,Total Recepcionado:,77440,,
21-1507-00-1151524-1-1,Total Referencial:,78629.55,Total Adjudicado:,18901.2,Total Recepcionado:,18901.2
20-1432-00-1089675-1-1,Total Referencial:,39993,Total Recepcionado:,39993,,
20-0591-00-1048623-0-E,Total Adjudicado:,26000,Total Recepcionado:,26000,,
21-0139-00-1111485-1-1,Total Referencial:,28814,Total Recepcionado:,28814,,
21-0907-00-1118468-1-1,Total Referencial:,205000,Total Adjudicado:,192290,Total Recepcionado:,192290
20-0148-00-1101274-1-1,Total Referencial:,1120000,Total Recepcionado:,910817.25,,
20-1604-00-1048825-0-E,Total Adjudicado:,25030,Total Recepcionado:,25030,,
20-1301-00-1088038-1-1,Total Referencial:,338000,Total Recepcionado:,337190,,
21-0903-00-1169980-1-1,Total Referencial:,169055,Total Adjudicado:,122264,Total Recepcionado:,122264
20-1262-00-1046448-0-E,Total Adjudicado:,194200,Total Recepcionado:,194200,,
20-0417-09-1082519-1-1,Total Referencial:,100000,Total Adjudicado:,100000,Total Recepcionado:,100000
21-0432-00-1142806-1-1,Total Referencial:,49997,Total Recepcionado:,44731.8,,
20-1206-00-1092751-1-1,Total Referencial:,48880,Total Recepcionado:,48880,,
20-0417-03-1041354-1-1,Total Referencial:,600000,Total Adjudicado:,600000,,
20-1301-00-1087537-1-1,Total Referencial:,58100,Total Recepcionado:,58100,,
20-1607-00-1095694-1-1,Total Referencial:,95040,Total Recepcionado:,91850,,
20-1703-00-1048754-0-E,Total Adjudicado:,49250,Total Recepcionado:,49250,,
21-1201-00-1173153-1-1,Total Referencial:,49000,Total Recepcionado:,49000,,
20-0411-00-1052113-0-E,Total Adjudicado:,1343968,,,,
20-0411-00-1064622-1-1,Total Referencial:,260000,Total Adjudicado:,260000,Total Recepcionado:,260000
21-0660-12-1167277-1-1,Total Referencial:,27950,Total Recepcionado:,10123,,
21-0411-00-1143818-1-1,Total Referencial:,126000,Total Recepcionado:,120000,,
20-1302-00-1049796-0-E,Total Adjudicado:,74868,Total Recepcionado:,74868,,
21-0417-06-1156736-1-1,Total Referencial:,126000,Total Adjudicado:,125970,Total Recepcionado:,125970
20-0170-00-1052641-0-E,Total Adjudicado:,35100,Total Recepcionado:,35100,,
20-0901-02-1098531-1-1,Total Referencial:,34344,Total Recepcionado:,34344,,
20-0138-00-1087718-1-1,Total Referencial:,156600,Total Adjudicado:,138399,Total Recepcionado:,138399
20-1337-00-1065288-1-1,Total Referencial:,119200,Total Adjudicado:,100020,Total Recepcionado:,100020
20-0417-03-1039047-0-E,Total Adjudicado:,117500,Total Recepcionado:,117500,,
20-1206-00-1049028-0-E,Total Adjudicado:,45000,Total Recepcionado:,45000,,
20-1304-00-1052598-0-E,Total Adjudicado:,52000,Total Recepcionado:,52000,,
20-0906-03-1093941-1-1,Total Referencial:,199940,Total Adjudicado:,147648,Total Recepcionado:,147648
21-0901-02-1151441-1-2,Total Referencial:,122512,Total Recepcionado:,107692,,
20-1201-00-1042801-0-E,Total Adjudicado:,74448,Total Recepcionado:,74448,,
20-1305-00-1050247-0-E,Total Adjudicado:,44277,,,,
20-1301-00-1086223-1-1,Total Referencial:,24600,Total Recepcionado:,24300,,
21-1205-00-1178370-1-1,Total Referencial:,29991,Total Recepcionado:,29991,,
20-0382-00-1052802-1-1,Total Referencial:,24817500,Total Adjudicado:,5595000,Total Recepcionado:,5595000
20-1605-00-1039062-0-E,Total Adjudicado:,127050,Total Recepcionado:,127050,,
20-1118-00-1044186-0-E,Total Adjudicado:,28800,Total Recepcionado:,28800,,
21-0432-00-1108847-1-1,Total Referencial:,49300,Total Recepcionado:,49300,,
20-1514-00-1049309-4-2,Total Referencial:,383000,Total Adjudicado:,335900,Total Recepcionado:,335900
20-0417-06-1094741-1-1,Total Referencial:,49500,Total Recepcionado:,38250,,
20-1312-00-1051509-0-E,Total Adjudicado:,26000,Total Recepcionado:,26000,,
20-1304-00-1049207-0-E,Total Adjudicado:,240000,Total Recepcionado:,240000,,
20-1206-00-1041878-0-E,Total Adjudicado:,34740,Total Recepcionado:,34740,,
21-0417-06-1128258-1-1,Total Referencial:,32000,Total Recepcionado:,29000,,
21-0417-06-1122867-1-3,Total Referencial:,275000,Total Adjudicado:,57750,Total Recepcionado:,57750
20-0417-04-1097486-1-1,Total Referencial:,1000000,Total Recepcionado:,1000000,,
20-1314-00-1044086-0-E,Total Adjudicado:,28000,Total Recepcionado:,28000,,
20-1331-00-1040706-0-E,Total Adjudicado:,115018,Total Recepcionado:,115018,,
20-1605-00-1038766-0-E,Total Adjudicado:,26352,Total Recepcionado:,26352,,
21-1803-00-1184206-1-1,Total Referencial:,43500,Total Recepcionado:,43500,,
21-0951-00-1153509-1-1,Total Referencial:,40000,Total Recepcionado:,39400,,
20-1334-00-1098024-1-1,Total Referencial:,77205.85,Total Adjudicado:,75172.75,Total Recepcionado:,75172.75
20-0015-01-1039760-0-E,Total Adjudicado:,600000,Total Recepcionado:,600000,,
20-1402-00-1049257-0-E,Total Adjudicado:,128200,Total Recepcionado:,128200,,
20-1721-00-1069017-1-1,Total Referencial:,215513.79,Total Adjudicado:,210605.27000000002,,
20-1201-00-1040210-0-E,Total Adjudicado:,220350,,,,
20-1124-00-1089082-1-1,Total Referencial:,28000,Total Recepcionado:,20000,,
20-1606-00-1048807-0-E,Total Adjudicado:,620180,Total Recepcionado:,620180,,
20-0046-28-1046108-0-E,Total Adjudicado:,47500,Total Recepcionado:,47500,,
20-0901-02-1078664-1-1,Total Referencial:,100000,Total Adjudicado:,99000,Total Recepcionado:,99000
20-4601-00-1043067-0-E,Total Adjudicado:,49341,Total Recepcionado:,49341,,
21-0138-00-1125896-1-1,Total Referencial:,49560,Total Recepcionado:,49560,,
20-1304-00-1052625-0-E,Total Adjudicado:,86595,Total Recepcionado:,86595,,
20-1342-00-1090673-1-1,Total Referencial:,48793,Total Recepcionado:,43004,,
20-1907-00-1096287-1-1,Total Referencial:,725295,Total Recepcionado:,725295,,
21-1702-00-1129074-1-1,Total Referencial:,48380.7,Total Recepcionado:,21687.9,,
20-1803-00-1051493-0-E,Total Adjudicado:,49710,Total Recepcionado:,49710,,
20-1605-00-1052088-0-E,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-1342-00-1061190-1-1,Total Referencial:,138199,Total Adjudicado:,101351,Total Recepcionado:,101351
20-1301-00-1047410-0-E,Total Adjudicado:,357500,Total Recepcionado:,357500,,
20-1508-00-1048496-0-E,Total Adjudicado:,28055,Total Recepcionado:,28055,,
20-0132-00-1045800-0-E,Total Adjudicado:,26250,,,,
20-1725-00-1061332-1-1,Total Referencial:,699247.8,Total Adjudicado:,240933.47999999998,Total Recepcionado:,240933.47999999998
20-1610-00-1094173-1-1,Total Referencial:,171322,Total Recepcionado:,171322,,
20-1610-00-1094173-1-1,Total Referencial:,395780,Total Recepcionado:,389366,,
21-0903-00-1184023-1-1,Total Referencial:,49000,Total Recepcionado:,20230,,
21-1307-00-1139989-1-1,Total Referencial:,190450,Total Adjudicado:,87000.2,Total Recepcionado:,87000.2
21-1266-00-1133788-1-1,Total Referencial:,49988.54,Total Recepcionado:,44900,,
21-0283-14-1111627-1-1,Total Referencial:,31680,Total Recepcionado:,28800,,
20-1124-00-1048157-0-E,Total Adjudicado:,90539.4,Total Recepcionado:,90539.4,,
20-1312-00-1041292-0-E,Total Adjudicado:,66616.6,Total Recepcionado:,,,
22-0046-00-1192507-1-1,Total Referencial:,49998,Total Recepcionado:,49959.54,,
20-1704-00-1089735-1-1,Total Referencial:,49000,Total Recepcionado:,42000,,
20-0046-10-1038937-0-E,Total Adjudicado:,42000,Total Recepcionado:,42000,,
21-0902-43-1152994-1-1,Total Referencial:,49400,Total Recepcionado:,49400,,
20-0903-00-1038467-0-E,Total Adjudicado:,961354,Total Recepcionado:,961354,,
20-1211-00-1050230-0-E,Total Adjudicado:,74685,,,,
20-1205-00-1088482-1-1,Total Referencial:,263272.8,Total Recepcionado:,263272.8,,
20-0902-43-1050915-0-E,Total Adjudicado:,49973,Total Recepcionado:,49973,,
20-0902-21-1037756-0-E,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-1119-00-1057485-2-1,Total Referencial:,169800,Total Adjudicado:,115500,Total Recepcionado:,115500
20-1124-00-1079091-1-1,Total Referencial:,104710,Total Recepcionado:,75900,,
20-1117-00-1096815-1-1,Total Referencial:,42560,Total Recepcionado:,42560,,
20-0417-09-1070270-1-1,Total Referencial:,900000,Total Adjudicado:,720000,Total Recepcionado:,720000
20-1601-00-1096032-1-1,Total Referencial:,900000,Total Recepcionado:,900000,,
20-1604-00-1083490-1-2,Total Referencial:,1049600,Total Recepcionado:,985600,,
20-1604-00-1083490-1-2,Total Referencial:,422400,Total Recepcionado:,414720,,
20-1604-00-1083490-1-2,Total Referencial:,908800,Total Recepcionado:,898560,,
20-1604-00-1083490-1-2,Total Referencial:,,,,,
20-1604-00-1083490-1-2,Total Recepcionado:,,,,,
20-1604-00-1083490-1-2,Total Referencial:,435200,Total Recepcionado:,435200,,
20-0903-02-1080592-1-1,Total Referencial:,28750,Total Recepcionado:,18687.5,,
19-0417-03-1036590-0-E,Total Adjudicado:,33000,Total Recepcionado:,33000,,
21-0046-31-1133024-1-1,Total Referencial:,46000,Total Recepcionado:,44000,,
20-1263-00-1075145-1-1,Total Referencial:,250130.75,Total Adjudicado:,249416.12,Total Recepcionado:,249416.12
21-1201-00-1166110-1-1,Total Referencial:,33082,Total Recepcionado:,21182,,
20-0905-00-1039159-0-E,Total Adjudicado:,35100,Total Recepcionado:,35100,,
20-1205-00-1099538-1-1,Total Referencial:,108000,Total Recepcionado:,108000,,
20-0046-31-1052035-0-E,Total Adjudicado:,29320,Total Recepcionado:,29320,,
20-1532-00-1098872-1-1,Total Referencial:,45000,Total Recepcionado:,34500,,
20-0418-03-1098841-1-1,Total Referencial:,200000,Total Recepcionado:,200000,,
20-1343-00-1078465-1-1,Total Referencial:,260000,Total Adjudicado:,260000,Total Recepcionado:,260000
20-1201-18-1041025-0-E,Total Adjudicado:,49590,Total Recepcionado:,49590,,
21-1227-00-1113819-1-1,Total Referencial:,252000,Total Recepcionado:,252000,,
20-0417-06-1077824-1-1,Total Referencial:,210000,Total Adjudicado:,210000,Total Recepcionado:,210000
21-0417-09-1121457-1-1,Total Referencial:,46000,Total Recepcionado:,19600,,
20-0905-00-1046037-0-E,Total Adjudicado:,49954.8,Total Recepcionado:,49954.8,,
21-0417-04-1143393-1-1,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
21-0903-00-1139576-1-1,Total Referencial:,49980,Total Recepcionado:,44100,,
20-0417-09-1042473-0-E,Total Adjudicado:,23230,Total Recepcionado:,23230,,
21-1201-00-1152885-1-1,Total Referencial:,190070,Total Adjudicado:,114540,Total Recepcionado:,114540
21-0046-00-1144842-1-1,Total Referencial:,40042.5,Total Recepcionado:,28632,,
20-0417-09-1090096-1-1,Total Referencial:,198000,Total Adjudicado:,198000,Total Recepcionado:,198000
20-4601-00-1050090-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-0141-00-1115883-1-3,Total Referencial:,1272283,Total Adjudicado:,1262500,Total Recepcionado:,1262500
21-0417-06-1156507-1-1,Total Referencial:,43400,Total Recepcionado:,43400,,
20-0902-07-1087078-1-1,Total Referencial:,41894,Total Recepcionado:,33138,,
20-0378-00-1045510-0-E,Total Adjudicado:,22754,Total Recepcionado:,22754,,
21-1327-00-1139964-1-1,Total Referencial:,22310,Total Recepcionado:,21340,,
21-1327-00-1139964-1-1,Total Referencial:,17680,Total Recepcionado:,17680,,
21-0423-00-1152298-1-1,Total Referencial:,48893,Total Recepcionado:,28360,,
20-1128-00-1085463-1-1,Total Referencial:,118305,Total Adjudicado:,77170,Total Recepcionado:,77170
20-1201-00-1088729-1-1,Total Referencial:,39930,Total Recepcionado:,30404,,
21-1208-00-1114126-1-1,Total Referencial:,38209,Total Recepcionado:,24258.9,,
20-1507-00-1094265-1-1,Total Referencial:,299000,Total Adjudicado:,283120,Total Recepcionado:,283120
20-1805-00-1051566-0-E,Total Adjudicado:,200000,Total Recepcionado:,200000,,
20-1336-00-1094734-1-1,Total Referencial:,,,,,
20-1336-00-1094734-1-1,Total Recepcionado:,,,,,
20-1316-00-1054170-1-1,Total Referencial:,120000,Total Adjudicado:,110340,Total Recepcionado:,110340
20-0417-00-1042511-0-E,Total Adjudicado:,267074,Total Recepcionado:,267074,,
20-1315-00-1038792-0-E,Total Adjudicado:,831000,Total Recepcionado:,831000,,
20-1236-00-1091898-1-1,Total Referencial:,128900,Total Recepcionado:,128900,,
21-0046-31-1144403-1-1,Total Referencial:,108500,Total Recepcionado:,78200,,
21-1404-00-1108905-1-1,Total Referencial:,48360,Total Recepcionado:,43485,,
21-0905-06-1162311-1-1,Total Referencial:,24785,Total Recepcionado:,19550,,
21-0901-02-1146652-1-1,Total Referencial:,325000,Total Recepcionado:,169900,,
20-1312-00-1040961-0-E,Total Adjudicado:,472800,Total Recepcionado:,472800,,
20-1201-00-1043329-0-E,Total Adjudicado:,25852,Total Recepcionado:,25852,,
20-1901-00-1096004-1-1,Total Referencial:,47880,Total Recepcionado:,46080,,
21-1312-00-1149847-1-1,Total Referencial:,48805.5,Total Recepcionado:,35120,,
20-1201-00-1043251-0-E,Total Adjudicado:,288000,Total Recepcionado:,288000,,
20-1701-00-1097582-1-1,Total Referencial:,44880,Total Recepcionado:,44880,,
20-0417-09-1046490-0-E,Total Adjudicado:,49750,Total Recepcionado:,49750,,
20-1511-00-1059734-2-1,Total Referencial:,247078,Total Adjudicado:,229265.4,Total Recepcionado:,229265.4
20-0025-00-1096523-1-1,Total Referencial:,47750,Total Recepcionado:,42615,,
20-0411-00-1090242-1-1,Total Referencial:,640000,Total Recepcionado:,640000,,
20-0423-00-1051475-0-E,Total Adjudicado:,34500,Total Recepcionado:,34500,,
20-0903-00-1088310-1-1,Total Referencial:,196570,Total Adjudicado:,158480,Total Recepcionado:,158480
21-1302-00-1183791-1-1,Total Referencial:,99750,Total Adjudicado:,99450,Total Recepcionado:,99450
20-0906-00-1038567-0-E,Total Adjudicado:,256800,Total Recepcionado:,256800,,
21-0046-28-1159317-1-1,Total Referencial:,45650,Total Recepcionado:,30944,,
20-1735-00-1096383-1-1,Total Referencial:,,,,,
20-1735-00-1096383-1-1,Total Recepcionado:,,,,,
20-0902-43-1070970-1-3,Total Referencial:,200000,Total Adjudicado:,109800,Total Recepcionado:,109800
21-0385-00-1137985-1-1,Total Referencial:,32500,Total Recepcionado:,24900,,
20-0423-00-1051417-0-E,Total Adjudicado:,39920,Total Recepcionado:,39920,,
20-0901-02-1096401-1-1,Total Referencial:,35000,Total Recepcionado:,31500,,
20-0901-13-1097036-1-1,Total Referencial:,23220,Total Recepcionado:,17577,,
20-1201-00-1043223-0-E,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-0417-06-1074657-1-1,Total Referencial:,244200,Total Adjudicado:,225000,Total Recepcionado:,225000
20-1301-00-1044266-0-E,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-1734-00-1094209-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-1604-00-1045704-0-E,Total Adjudicado:,49994.7,Total Recepcionado:,49994.7,,
20-1704-00-1098169-1-1,Total Referencial:,42450,Total Recepcionado:,22435,,
20-1501-00-1039880-0-E,Total Adjudicado:,48750,Total Recepcionado:,48750,,
20-0418-07-1048365-0-E,Total Adjudicado:,96000,Total Recepcionado:,96000,,
20-1701-00-1049805-0-E,Total Adjudicado:,49875,,,,
20-1701-00-1039886-0-E,Total Adjudicado:,49972,Total Recepcionado:,49972,,
20-0903-00-1039234-0-E,Total Adjudicado:,366522,Total Recepcionado:,366522,,
20-1501-00-1049384-0-E,Total Adjudicado:,44160,,,,
21-0046-00-1169860-1-1,Total Referencial:,191995,Total Adjudicado:,191000,Total Recepcionado:,191000
20-1801-00-1038684-0-E,Total Adjudicado:,35700,Total Recepcionado:,35700,,
20-0902-43-1039386-1-1,Total Referencial:,199950,Total Adjudicado:,199816.7,Total Recepcionado:,199816.7
20-0906-03-1041863-0-E,Total Adjudicado:,40500,Total Recepcionado:,40500,,
20-0903-00-1072868-2-1,Total Referencial:,288977,Total Adjudicado:,228150,Total Recepcionado:,228150
20-0908-00-1047629-0-E,Total Adjudicado:,120000,,,,
20-1604-00-1040579-0-E,Total Adjudicado:,49772.5,,,,
20-1322-00-1042020-0-E,Total Adjudicado:,149950,Total Recepcionado:,149950,,
21-1605-00-1115909-1-1,Total Referencial:,49000,Total Recepcionado:,23800,,
20-1312-00-1097186-1-1,Total Referencial:,876853.3500000001,Total Recepcionado:,633699.9500000001,,
21-0417-06-1128277-1-1,Total Referencial:,33000,Total Recepcionado:,29000,,
20-0902-42-1038612-0-E,Total Adjudicado:,36511.5,Total Recepcionado:,36511.5,,
21-1302-00-1153588-1-1,Total Referencial:,41445,Total Recepcionado:,41445,,
21-0139-00-1111234-1-1,Total Referencial:,48000,Total Recepcionado:,48000,,
20-1301-00-1095626-1-1,Total Referencial:,87800,Total Recepcionado:,87799.8,,
20-0906-03-1039275-0-E,Total Adjudicado:,44250,Total Recepcionado:,44250,,
20-0148-00-1101280-1-1,Total Referencial:,80000,Total Recepcionado:,59000,,
20-1606-00-1084750-1-1,Total Referencial:,141863,Total Recepcionado:,119038,,
21-1301-00-1152738-1-1,Total Referencial:,437500,Total Adjudicado:,43750,Total Recepcionado:,43750
20-0418-03-1051791-0-E,Total Adjudicado:,1196903,,,,
20-1729-00-1101630-1-1,Total Referencial:,247100,,,,
20-0046-28-1040089-0-E,Total Adjudicado:,48588,Total Recepcionado:,48588,,
20-1305-00-1038255-0-E,Total Adjudicado:,46000,Total Recepcionado:,46000,,
20-0382-00-1040822-0-E,Total Adjudicado:,360000,,,,
20-0903-00-1040963-0-E,Total Adjudicado:,760000,,,,
20-1605-00-1098114-1-1,Total Referencial:,254487,Total Recepcionado:,246803.9,,
20-1605-00-1098114-1-1,Total Referencial:,243690.5,Total Recepcionado:,236257.1,,
20-1605-00-1098114-1-1,Total Referencial:,214527.25,Total Recepcionado:,208001.1,,
20-1605-00-1098114-1-1,Total Referencial:,204395,Total Recepcionado:,198211.4,,
20-1605-00-1098114-1-1,Total Referencial:,78753.75,Total Recepcionado:,76043.2,,
20-1605-00-1098114-1-1,Total Referencial:,110463.5,Total Recepcionado:,106578.7,,
20-1702-00-1051006-0-E,Total Adjudicado:,49977,Total Recepcionado:,49977,,
20-0020-02-1047872-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-4601-03-1089154-1-1,Total Referencial:,,,,,
20-4601-03-1089154-1-1,Total Recepcionado:,,,,,
21-1706-00-1150538-1-1,Total Referencial:,495000,Total Recepcionado:,372000,,
20-0417-06-1083529-1-1,Total Referencial:,77400,Total Adjudicado:,77400,Total Recepcionado:,77400
20-1601-00-1089343-1-1,Total Referencial:,99996,Total Adjudicado:,74997,Total Recepcionado:,74997
20-1605-00-1090128-1-1,Total Referencial:,237500,Total Adjudicado:,222500,Total Recepcionado:,222500
20-0035-01-1097030-1-1,Total Referencial:,49250,Total Recepcionado:,48500,,
21-0411-00-1145342-1-1,Total Referencial:,30000,Total Recepcionado:,29200,,
