cuce,#,CodigoUNSPSC,ObjetodeGasto,DescripciondelBienoServicio,UnidaddeMedida,Cantidad,PrecioReferencialUnitario,PrecioReferencialTotal,NombreoRazonSocialdelProponenteAdjudicado,PrecioUnitarioAdjudicado,TotalAdjudicado,CantidadRecepcionada,PrecioUnitarioReal,MontoRealejecutado,Estado,Cronograma,Nombreproponente,MontoAdjudicado,Nro.de,Montode,Fechade,Monto,Fechade.1,RUPE,TipodeDocumento,Formulario,Fecha
20-1501-00-1079416-1-1,3,4110000,43400,EQUIPO MEDICO DE GABINETE; TIPO FOTOTERAPIA NEONATAL ADJUNTO ESPECIFICACIONES TECNICAS,EQUIPO,"3,00","17.000,00","51.000,00",,,,"3,00","13.460,00","40.380,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,1,4213000,33200,CONFECCIONES TEXTILES,GLOBAL,"1,00","5.440,00","5.440,00",RIBERA FARIÑAS ROBERTO CARLOS,"5.440,00","5.440,00","1,00","5.440,00","5.440,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,2,2613000,43700,OTRA MAQUINARIA Y EQUIPO,GLOBAL,"1,00","48.720,00","48.720,00",RIBERA FARIÑAS ROBERTO CARLOS,"48.347,00","48.347,00","1,00","48.347,00","48.347,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,3,4229000,39400,INSTRUMENTAL MENOR MÉDICO-QUIRÚRGICO,GLOBAL,"1,00","40.618,00","40.618,00",RIBERA FARIÑAS ROBERTO CARLOS,"40.618,00","40.618,00","1,00","40.618,00","40.618,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,4,4229000,43400,EQUIPO MÉDICO Y DE LABORATORIO,GLOBAL,"1,00","60.495,00","60.495,00",RIBERA FARIÑAS ROBERTO CARLOS,"60.495,00","60.495,00","1,00","60.495,00","60.495,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,5,5612000,43110,EQUIPO DE OFICINA Y MUEBLES,GLOBAL,"1,00","35.500,00","35.500,00",RIBERA FARIÑAS ROBERTO CARLOS,"35.500,00","35.500,00","1,00","35.500,00","35.500,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,6,4712000,34500,PRODUCTOS DE MINERALES NO METÁLICOS Y PLÁSTICOS,GLOBAL,"1,00","6.600,00","6.600,00",RIBERA FARIÑAS ROBERTO CARLOS,"6.600,00","6.600,00","1,00","6.600,00","6.600,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1910-00-1080022-1-1,7,4321000,43120,EQUIPO DE COMPUTACIÓN,GLOBAL,"1,00","1.800,00","1.800,00",RIBERA FARIÑAS ROBERTO CARLOS,"1.800,00","1.800,00","1,00","1.800,00","1.800,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,1,5121000,34200,J0168 LEVOFLOXACINA,INYECTA BLE,800.00,46.79,"37,432.00",GRUPO ALCOS S A,46.79,"37,432.00",800.00,46.79,"37,432.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,2,5121000,34200,N0511 MIDAZOLAM,INYECTA BLE,"1,200.00",20.5,"24,600.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,3,5121000,34200,J0150 IMIPENEM + CILASTATINA,INYECTA BLE,"2,000.00",68.3,"136,600.00",LAQFAGAL FARMA INDUSTRIA S.R.L.,59.0,"118,000.00","2,000.00",59.0,"118,000.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,4,5121000,34200,B0103 HEPARINA DE BAJO PESO MOLECULAR,INYECTA BLE,"1,500.00",56.51,"84,765.00",FARMEDICAL S.R.L.,45.0,"67,500.00","1,500.00",45.0,"67,500.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,5,5121000,34200,N0105 FENTANILO CON CONSERVANTE (FOTOSENSIBBLE),INYECTA BLE,800.00,33.6,"26,880.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,6,5121000,34200,N0106 FENTANILO SIN CONSERVANTE (FOTOSENSIBLE),INYECTA BLE,800.00,9.33,"7,464.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,7,5121000,34200,J0155 VANCOMICINA,INYECTA BLE,"1,300.00",25.89,"33,657.00",LAQFAGAL FARMA INDUSTRIA S.R.L.,24.4,"31,720.00","1,300.00",24.4,"31,720.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,8,5121000,34200,A1205 ZINC (COMO SULFATO),SOLUCIO N,"1,000.00",15.23,"15,230.00",LABORATORIOS IFA S.A.,9.0,"9,000.00","1,000.00",9.0,"9,000.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,9,5121000,34200,A1102 ÁCIDO ASCORBICO (VITAMINA C),INYECTA BLE,"3,600.00",2.5,"9,000.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,10,5121000,34200,J0113 AZITROMICINA,COMPRI MIDO,"2,000.00",5.56,"11,120.00",LABORATORIO QUIMICO FARMACEUTICO INDUSTRIAL DELTA S.A.,5.56,"11,120.00","2,000.00",5.56,"11,120.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,11,5121000,34200,M0301 ATRACURIO BESILATO,INYECTA BLE,"2,000.00",44.71,"89,420.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-0046-20-1056170-1-1,12,5121000,34200,N0113 PROPOFOL,INYECTA BLE,"4,800.00",51.86,"248,928.00",LAQFAGAL FARMA INDUSTRIA S.R.L.,44.0,"211,200.00","4,800.00",44.0,"211,200.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-07-1081413-1-1,1,4214000,43400,BOMBA DE INFUSION JERINGA,EQUIPO,"2,00","17.000,00","34.000,00",,,,"2,00","17.000,00","34.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0417-04-1147179-1-1,1,1214190,34200,Oxígeno o - OXIGENO LIQUIDO MEDICINAL - II,KILOGRA MOS,"3,676.00",13.57,"49,883.32",,,,"3,676.00",13.57,"49,883.32",Contratado,Cronograma 0,,,,,,,,,,,
21-1101-00-1176699-1-1,1,1214190,34200,"Oxígeno o - Oxigeno Medicinal Mediante Recarga A Requerimiento, De Lunes A Domingo Incluyendo Feriados, Presentacion Botellon De 6m3",UNID.,500.0,100.0,"50,000.00",,,,500.0,100.0,"50,000.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1221-00-1071793-1-1,1,,,,,,,,,,,,,,,,LOAYZA MARTINEZ COLOMBA,"81.400,00",ANPE N° 21/2020,"81.400,00",24/12/2020,"27.000,00",30/12/2020,1139332,,,
20-1221-00-1071793-1-1,2,,,,,,,,,,,,,,,,MILCAR SRL,"20.320,00",ANPE N° 19/2020,"20.320,00",29/12/2020,"7.300,00",30/12/2020,1141984,,,
20-0906-29-1080041-1-1,1,1015000,31300,"SEMILLA DE MAIZ, variedad ALGARROBAL 102 (CERTIFICADA)",KILOGRA MO,"1,400.00",17.0,"23,800.00",,,,"1,400.00",16.0,"22,400.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0906-29-1080041-1-1,2,1015000,31300,"SEMILLA DE MAIZ, variedad PAIRUMANI AYCHASARA (CERTIFICADA)",KILOGRA MO,"1,304.00",20.0,"26,080.00",,,,"1,304.00",19.0,"24,776.00",Contratado,Cronograma 0,,,,,,,,,,,
20-0418-02-1073508-1-1,1,5116000,34200,OXIGENO LIQUIDO MEDICINAL,KG,"70.600,0","12,84","906.504,00",PRAXAIR BOLIVIA S.R.L.,"12,84","906.504,00","29.483,11","12,84","378.563,13",Contratado,Cronograma 0,,,,,,,,,,,
20-0418-02-1073508-1-1,2,5116000,34200,GAS CARBONICO MEDICINAL,KG,"940,00","15,00","14.100,00",PRAXAIR BOLIVIA S.R.L.,"15,00","14.100,00","75,00","15,00","1.125,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0418-02-1073508-1-1,3,5116000,34200,AIRE GAS MEDICINAL,M3,"94,80","20,00","1.896,00",PRAXAIR BOLIVIA S.R.L.,"20,00","1.896,00","50,00","20,00","1.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0418-02-1073508-1-1,4,5116000,34200,NITROGENO LIQUIDO MEDICINAL,KG,"300,00","30,00","9.000,00",PRAXAIR BOLIVIA S.R.L.,"30,00","9.000,00","75,00","30,00","2.250,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0418-02-1073508-1-1,5,5116000,34200,OXIGENO GAS MEDICINAL,M3,"1.900,00","15,00","28.500,00",PRAXAIR BOLIVIA S.R.L.,"15,00","28.500,00","370,33","15,00","5.555,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0901-02-1169689-1-1,1,2411180,34600,Tanques o cilindros de aire o gas - ADQUISICION DE 64 CILINDROS DE OXIGENO CON MANOMETRO DE 6M3 PARA DIFERENTES SERVICIOS COVID HOSPITAL SANTA BARBARA,GLOBAL,"64,00","2.800,00","179.200,00",,,,"64,00","2.800,00","179.200,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1272-00-1087275-1-2,1,1015000,31300,ADQUISICION DE SEMILLA DE ALFALFA,KILO,"2.036,00","120,00","244.320,00",CONSORCIO BOLIVIANO AGROPECUARIO COBOAGRO S.R.L.,"120,00","244.320,00","2.036,00","120,00","244.320,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0047-34-1087576-1-1,1,1235000,25400,"SERVICIO DE SEGUNDA FUMIGACION CONTRA EL COVID 19 (OFICINA CENTRAL DE LA PAZ, LAS TIENDAS, GALPONES, ALMACENES Y SUPER EMAPAS DE LA PAZ Y EL ALTO)",GLOBAL,"1,00","36.720,00","36.720,00",,,,"1,00","36.720,00","36.720,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0382-00-1040167-0-E,1,4214000,39400,BALON DE OXIGENO DE TRANSPORTE DE 1M3,UNIDAD,"124,00",,,MIRONES ALVAREZ OMAR OSVALDO,"1.800,00","223.200,00","124,00","1.800,00","223.200,00",Contratado,Cronograma,,,,,,,,,,,
20-0382-00-1040167-0-E,2,4217000,43400,TUBOS DE OXIGENO COMPLETO MAS MANOMETRO DE ALTA PRESION 6M3,UNIDAD,"5.160,00",,,MIRONES ALVAREZ OMAR OSVALDO,"2.790,00","14.396.400,00","5.160,00","2.790,00","14.396.400,00",Contratado,Cronograma,,,,,,,,,,,
20-0417-09-1036241-0-E,1,3912000,39800,"4 ITEMS OTROS REPUESTOS Y ACCESORIOS (2 JUEGOS REPUESTOS PARA MANTENIMIENTO PARA SABINA, 4 PZA SENSORES DE PRESION PARA OXIGENO, 1 PZA TARJETA PCB DE CONTROL DE OXIGENO, 2 PZA TRAMPAS DE AGUA ENTRADA)",GLOBAL,1.0,,,SOCIEDAD COMERCIAL E INDUSTRIAL HANSA LIMITADA,"49,700.00","49,700.00",1.0,"49,700.00","49,700.00",Contratado,Cronograma,,,,,,,,,,,
21-1205-00-1149913-1-1,1,1214190,34200,Oxígeno o - OXIGENO GAS 93% A 99%,M3,"20.000,0","15,00","300.000,00",3 H INDUSTRIALES S.R.L.,"12,60","252.000,00","20.000,00","12,60","252.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0906-03-1160468-1-1,1,1214190,34200,Oxígeno o - OXIGENO,GAS,"500,00","100,00","50.000,00",,,,"500,00","100,00","50.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1074700-1-1,1,4110000,43400,AGITADOR HEMATOLOGICO,EQUIPO,"1,00","7.200,00","7.200,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1345-00-1074700-1-1,2,4110000,43400,STAR FAX,EQUIPO,"1,00","24.000,00","24.000,00",ICERLAB SRL.,"23.900,00","23.900,00","1,00","23.900,00","23.900,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1074700-1-1,3,4110000,43400,LAVADOR DE ELISAS,EQUIPO,"1,00","28.000,00","28.000,00",ICERLAB SRL.,"27.900,00","27.900,00","1,00","27.900,00","27.900,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1074700-1-1,4,4110000,43400,MICROSCOPIO BINOCULAR,EQUIPO,"3,00","20.500,00","61.500,00",,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 0,,,,,,,,,,,
20-1345-00-1074700-1-1,5,4110000,43400,TUBO DE OXIGENO DE 6 M3 CON MANOMETRO,EQUIPO,"8,00","2.585,00","20.680,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1345-00-1074700-1-1,6,4110000,43400,TUBOS DE OXIGENO DE 3 M3 CON MANOMETRO,EQUIPO,"3,00","1.850,00","5.550,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1604-00-1085154-1-1,1,4216000,43400,ECOGRAFO CON TECNOLOGIA 4D MULTIPROPOSITO,EQUIPO,"1,00","300.000,00","300.000,00",,,,"1,00","300.000,00","300.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1036242-0-E,1,5121000,34200,OXIGENO MEDICINAL - CILINDRO CARGADO CON OXIGENO GAS MED. DE 6M3(NO INCLUYE CILINDRO) (SEGUN ESPECIFICACIONES TECNICAS),TUBO,"625,00",,,3 H INDUSTRIALES S.R.L.,"80,00","50.000,00","625,00","80,00","50.000,00",Contratado,Cronograma,,,,,,,,,,,
20-0411-00-1081878-1-1,1,4111000,39400,TENSIOMETROS DIGITALES ADULTO PARA LA ATENCION DE PACIENTES CON COVID - 19,PIEZA,"65,00","1.300,00","84.500,00",,,,"65,00","1.090,00","70.850,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-09-1033941-0-E,1,4112000,39800,"5 ITEMS OTROS REPUESTOS Y ACCESORIOS (4 PZA VALVULA DE TRES VIAS, 4 PZA DIAFRAGMA DE VALVULA BOOSTER, 4 JUEGOS MANGUERAS INTERNAS DE OXIGENO, 4 JUEGOS MANGUERAS INTERNAS DE AIRE, 4 PZA",GLOBAL,"1,00",,,CHAVEZ CONDORI JOSE LUIS,"49.000,00","49.000,00","1,00","49.000,00","49.000,00",Contratado,Cronograma,,,,,,,,,,,
21-1301-00-1137489-1-1,1,1214190,34200,Oxígeno o - OXIGENO GAS 93 A 99%,M3,"2.777,00","18,00","49.986,00",,,,"2.777,00","11,00","30.547,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1263-00-1080812-1-1,1,4112000,39400,EQUIPAMIENTO CENTRO DE AISLAMIENTO COVID 19 ? C. HUANCUYO (Adquisición de equipos médicos),GLOBAL,"1,00","250.000,00","250.000,00",CALLISAYA QUISPE RENE,"249.900,00","249.900,00","1,00","249.900,00","249.900,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0908-00-1039113-0-E,1,4214000,34200,OXIGENO MEDICINAL,GAS,"2.777,00",,,SUAREZ VACA RAFAEL,"18,00","49.986,00","2.777,00","18,00","49.986,00",Contratado,Cronograma,,,,,,,,,,,
20-1247-00-1068139-1-1,1,,,,,,,,,,,,,,,,,,,,,,,,Convocatoria,FORM 100 - Inicio de proceso de Bienes,02/10/2020
20-1247-00-1068139-1-1,2,,,,,,,,,,,,,,,,,,,,,,,,Documento Base de Contratacion,FORM 100 - Inicio de proceso de Bienes,02/10/2020
20-1247-00-1068139-1-1,3,,,,,,,,,,,,,,,,,,,,,,,,Enmiendas,FORM 120 - Resolución de Aprobación del Documento Base de Contratación,21/10/2020
20-1247-00-1068139-1-1,4,,,,,,,,,,,,,,,,,,,,,,,,Resolucion de aprobacion del DBC,FORM 120 - Resolución de Aprobación del Documento Base de Contratación,21/10/2020
20-1247-00-1068139-1-1,5,,,,,,,,,,,,,,,,,,,,,,,,Informe de la Comision/Responsable de Evaluacion,FORM 170 - Adjudicación o Declaratoria Desierta,29/10/2020
21-0046-00-1151467-1-1,1,4227171,34200,Productos del sistema de administración de terapia de oxígeno - ADQUISICION DE OXIGENO GAS 93% A 99% PARA EL PERIODO AGOSTO - DICIEMBRE DE 2021 - HOSPITAL EL ALTO SUR,M3,"41,666.0",18.0,"749,988.00",3 H INDUSTRIALES S.R.L.,18.0,"749,988.00","41,666.00",18.0,"749,988.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1316-00-1066159-1-1,1,7213000,42230,CONST. AMBIENTES DE ATENCION COVID -19 CENTRO DE SALUD 11 DE MARZO,GLB,"1,00","200.000,00","200.000,00",JALDIN VILLARROEL JUAN JOSE MANUEL,"198.985,15","198.985,15","1,00","198.985,15","198.985,15",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,1,4214000,39400,TIJERA TRAUMATICA,PIEZA,"2,00","40,00","80,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,2,2712000,43330,MOTOR FUERA DE BORDA 15 HP,EQUIPO,"1,00","27.800,00","27.800,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,3,4010000,43700,AIRE ACONDICIONADO (Aire frio y calor),EQUIPO,"3,00","4.450,00","13.350,00",GUARDIA ORELLANA FROILAN,"4.421,00","13.263,00","3,00","4.421,00","13.263,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,4,4010000,43700,AIRE ACONDICIONADO (Aire frio y calor),EQUIPO,"6,00","3.100,00","18.600,00",GUARDIA ORELLANA FROILAN,"3.064,00","18.384,00","6,00","3.064,00","18.384,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,5,4229000,43400,LARINGOSCOPIO PEDIATRICO,PIEZA,"1,00","830,00","830,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,6,5214000,43400,EQUIPO DE REFRIGERACION,EQUIPO,"1,00","25.000,00","25.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,7,2318000,43700,MAQUINA SELLADORA CONTINUA,EQUIPO,"1,00","25.000,00","25.000,00",GEDESA LTDA,"25.000,00","25.000,00","1,00","25.000,00","25.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,8,4412000,43110,SILLA DE ESPERA DE TRES CUERPOS METÁLICO CROMADO,UNIDAD,"6,00","1.650,00","9.900,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,9,4219000,43110,BACHA METALICA,UNIDAD,"1,00","12.600,00","12.600,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,10,4010000,43700,AIRE ACONDICIONADO (Aire frio y calor),EQUIPO,"1,00","5.560,00","5.560,00",GUARDIA ORELLANA FROILAN,"5.557,00","5.557,00","1,00","5.557,00","5.557,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,11,4010000,43700,AIRE ACONDICIONADO (Aire frio y calor),EQUIPO,"1,00","9.270,00","9.270,00",GUARDIA ORELLANA FROILAN,"9.267,00","9.267,00","1,00","9.267,00","9.267,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,12,3912000,43700,GENERADOR DE ENERGIA 10 KVA,EQUIPO,"1,00","58.400,00","58.400,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,13,4214000,39400,EQUIPO DE PINZA MAGUILL,PIEZA,"3,00","300,00","900,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,14,4010000,43700,AIRE ACONDICIONADO (Aire frio y calor),EQUIPO,"2,00","2.900,00","5.800,00",GUARDIA ORELLANA FROILAN,"2.900,00","5.800,00","2,00","2.900,00","5.800,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1334-00-1074269-2-1,15,4229000,43400,LARINGOSCOPIO ADULTO,PIEZA,"1,00","950,00","950,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1243-00-1088400-1-1,1,4110000,43400,MESA DE CURACIÓN,UNIDAD,"1,00","1.195,00","1.195,00",,,,"1,00","1.195,00","1.195,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1243-00-1088400-1-1,2,4110000,43400,AUTO CLAVE,UNIDAD,"1,00","38.950,00","38.950,00",,,,"1,00","38.950,00","38.950,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1243-00-1088400-1-1,3,4110000,43400,CATRE DE INTERNACION DE DOS MOVIMIENTOS,UNIDAD,"2,00","3.500,00","7.000,00",,,,"2,00","3.500,00","7.000,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1243-00-1088400-1-1,4,4110000,43400,BALANZA METALICA CON TALLIMETRO,UNIDAD,"1,00","2.650,00","2.650,00",,,,"1,00","2.650,00","2.650,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-06-1077567-1-1,1,4110000,43700,EXHIBIDOR DE TRES CUERPOS,EQUIPO,"2,00","23.000,00","46.000,00",,,,"2,00","22.950,00","45.900,00",Contratado,Cronograma 0,,,,,,,,,,,
22-0906-03-1192262-1-1,1,1214190,34200,Oxígeno o - OXIGENO,GAS,"833,00","60,00","49.980,00",,,,"833,00","60,00","49.980,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1240-00-1069730-1-1,1,1235000,34200,PRODUCTOS QUIMICOS Y FARMACEUTICOS,TOTAL,1.00,"150,000.00","150,000.00",GONZALES HUANCA SABINA,"148,663.00","148,663.00",1.0,"148,663.00","148,663.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1128-00-1076554-2-1,1,2510000,43310,Adquisición de ambulancia para la atención de emergencia sanitaria covid-19,GLOBAL,1.00,"408,000.00","408,000.00",TAIYO MOTORS S.A.,"407,856.00","407,856.00",1.0,"407,856.00","407,856.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1227-00-1043361-0-E,1,4214000,39900,REGULADOR DE OXIGENO MEDICINAL MORRIS,GLB,10.0,,,NATALIO FELIPE CONDORI POMA,850.00,"8,500.00",10.0,850.00,"8,500.00",Contratado,Cronograma,,,,,,,,,,,
20-1227-00-1043361-0-E,2,4214000,49900,"BOTELLON DE OXIGENO DE 7M3 ""LLENO""",GLB,10.0,,,NATALIO FELIPE CONDORI POMA,"1,700.00","17,000.00",10.0,"1,700.00","17,000.00",Contratado,Cronograma,,,,,,,,,,,
20-1201-00-1087366-1-1,1,4112000,39800,CARTRIDGE EG7 (CJA. X 25 UNIDADES) PARA EQUIPO DE GASOMETRIA,CAJA,24.0,"1,900.00","45,600.00",,,,24.0,"1,900.00","45,600.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,1,3116000,34600,PLANCHA METALICA (HOJA)-2 MILIMETROS,M2,"120,00","148,50","17.820,00",,,,"120,00","148,50","17.820,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,2,3116000,34600,RESORTE METALICOS-1 PULGADA X 7 CENTIMETROS LARGO S LARGO,PIEZA,"1.693,00","16,00","27.088,00",,,,"1.693,00","16,00","27.088,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,3,3116000,34600,"FIERRO TUBULAR - REDONDO- DE 1 1/2\"" X 1.5 MM X 6 METROS",BARRA,"25,00","65,00","1.625,00",,,,"25,00","65,00","1.625,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,4,3116000,34600,FIERRO TUBULAR - REDONDO- DE 15 MM X 1.5 MM X 6 METROS,BARRA,"25,00","50,00","1.250,00",,,,"25,00","50,00","1.250,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,5,3116000,34600,"FIERRO LISO-1/4\"" X 12 METROS",BARRA,"10,00","20,00","200,00",,,,"10,00","20,00","200,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,6,3116000,34600,"FIERRO ANGULAR EN \""L\"" - DE 1 1/2\"" X 3/16",BARRA,"10,00","138,00","1.380,00",,,,"10,00","138,00","1.380,00",Contratado,Cronograma 0,,,,,,,,,,,
20-1201-00-1079776-1-1,7,3116000,34600,TUBO METALICO - CUADRADO -20 X 20 MILIMETROS X 2 MILIMETROS X 6 METROS,BARRA,"10,00","63,00","630,00",,,,"10,00","63,00","630,00",Contratado,Cronograma 0,,,,,,,,,,,
20-0417-06-1077195-1-1,1,4214000,43400,CILINDROS DE OXIGENO 8M3,PIEZA,20.00,"3,400.00","68,000.00","""MEGAGAS S.R.L.""","2,800.00","56,000.00",20.0,"2,800.00","56,000.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,1,4214000,39400,ESTETOSCOPIO ADULTO,PZA,15.00,210.00,"3,150.00",GUZMAN QUIROGA KATTY ROXANA LILIA,110.00,"1,650.00",15.0,110.00,"1,650.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,2,4214000,39400,AMBU ADULTO,PZA,2.00,780.00,"1,560.00",GUZMAN QUIROGA KATTY ROXANA LILIA,270.00,540.00,2.0,270.00,540.00,Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,3,4214000,39400,SILLA DE RUEDAS,PZA,5.00,"1,800.00","9,000.00",GUZMAN QUIROGA KATTY ROXANA LILIA,"1,300.00","6,500.00",5.0,"1,300.00","6,500.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,4,4214000,39400,CAMILLA GINECOLOGICA,PZA,4.00,"2,800.00","11,200.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,5,4214000,39400,SILLA DE TOMA DE MUESTRAS,PZA,1.00,950.00,950.00,,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,6,4214000,39400,CUNA PEDIATRICA,PZA,6.00,"2,200.00","13,200.00",GUZMAN QUIROGA KATTY ROXANA LILIA,"1,732.00","10,392.00",6.0,"1,732.00","10,392.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,7,4214000,39400,ESTETOSCOPIO PEDIATRICO,PZA,6.00,210.00,"1,260.00",GUZMAN QUIROGA KATTY ROXANA LILIA,75.00,450.00,6.0,75.00,450.00,Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,8,4214000,39400,AMBU PEDIATRICO,PZA,5.00,780.00,"3,900.00",GUZMAN QUIROGA KATTY ROXANA LILIA,255.00,"1,275.00",5.0,255.00,"1,275.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,9,4214000,39400,CAMILLA DE EXAMINACION,PZA,6.00,"1,900.00","11,400.00",IMPORTADORA HONGBOL S.R.L.,"1,400.00","8,400.00",6.0,"1,400.00","8,400.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,10,4214000,39400,TABURETES (GIRATORIO),PZA,2.00,700.00,"1,400.00",GUZMAN QUIROGA KATTY ROXANA LILIA,620.00,"1,240.00",2.0,620.00,"1,240.00",Contratado,Cronograma 0,,,,,,,,,,,
20-1345-00-1066846-1-2,11,4214000,39400,TERMOMETROS DIGITALES INFRARROJO,PZA,21.00,490.00,"10,290.00",PUIG VARGAS ISRAEL CRISTOFER,199.00,"4,179.00",21.0,199.00,"4,179.00",Contratado,Cronograma 0,,,,,,,,,,,
